"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Arctostaphylos"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Convolvulaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Geraniaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Linaceae"	"Lythraceae"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"
15809	24317	"Grächen See"	46.19556	7.845	0	"AWI"	0	-91	77	-5	2	0	16	1	2	0	2	0	24	1	0	0	0	0	0	1	401	0	0	3	1	0	0	1	1	0	48	0	0	0	0	100	122	0	0	0	2	0	0	0	6	0	1	0	0	0	2	0
15809	24317	"Grächen See"	46.19556	7.845	5	"AWI"	5	-59	150	35	4	0	0	0	5	0	2	0	13	0	1	0	0	0	0	1	115	0	0	5	0	1	0	0	0	0	51	0	0	0	0	56	0	0	0	0	5	0	0	1	4	0	5	0	0	0	0	0
15809	24317	"Grächen See"	46.19556	7.845	25	"AWI"	25	40	463	206	3	0	0	3	5	3	2	0	13	2	3	0	1	0	0	2	81	0	0	3	0	0	0	0	0	0	40	0	0	1	0	46	0	0	0	0	1	0	0	1	0	0	5	0	0	0	0	0
15809	24317	"Grächen See"	46.19556	7.845	45	"AWI"	45	157	709	387	1	0	11	1	0	0	2	0	3	0	2	0	0	0	0	0	78	0	0	0	2	0	0	0	0	0	26	0	0	0	0	19	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
15809	24317	"Grächen See"	46.19556	7.845	65	"AWI"	65	295	926	566	0	0	0	1	0	0	1	0	2	1	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	11	0	0	0	0	9	34	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0
15809	24317	"Grächen See"	46.19556	7.845	85	"AWI"	85	436	1123	749	0	0	0	0	2	0	3	0	7	0	0	0	0	0	0	0	77	0	0	0	0	0	0	3	0	0	34	0	0	0	0	25	0	0	0	0	1	0	0	0	1	0	0	0	0	0	6	0
15809	24317	"Grächen See"	46.19556	7.845	105	"AWI"	105	591	1320	929	3	0	0	1	5	0	10	0	37	0	1	0	0	0	1	1	59	0	0	0	0	0	0	6	6	0	95	1	0	3	0	37	0	0	0	0	7	0	0	0	2	0	0	0	0	0	40	0
15809	24317	"Grächen See"	46.19556	7.845	125	"AWI"	125	757	1505	1111	2	0	0	0	3	0	11	0	52	0	2	0	1	0	0	5	85	0	0	0	3	0	0	16	6	0	150	0	0	0	0	106	378	0	0	0	9	0	0	0	8	0	0	1	0	0	15	0
15809	24317	"Grächen See"	46.19556	7.845	145	"AWI"	145	924	1700	1293	3	0	20	0	2	0	9	0	13	0	0	0	0	0	0	0	13	1	0	0	1	0	0	1	0	0	82	0	0	0	0	46	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1
15809	24317	"Grächen See"	46.19556	7.845	165	"AWI"	165	1109	1879	1473	15	0	339	2	1	0	6	0	13	0	0	0	0	0	0	2	18	0	0	0	0	0	0	0	0	0	80	0	0	0	0	19	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0
15809	24317	"Grächen See"	46.19556	7.845	185	"AWI"	185	1293	2048	1653	8	0	51	1	0	0	3	0	5	0	0	0	0	0	0	1	27	0	0	0	3	0	0	0	0	0	182	0	0	0	0	60	87	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0
15809	24317	"Grächen See"	46.19556	7.845	205	"AWI"	205	1489	2198	1838	8	0	194	0	1	0	4	0	3	0	0	0	0	0	0	1	19	0	0	0	1	0	0	1	0	0	90	0	0	0	1	91	0	0	0	0	5	0	0	1	0	0	0	0	0	0	0	0
15809	24317	"Grächen See"	46.19556	7.845	225	"AWI"	225	1706	2387	2014	5	0	52	0	0	0	3	0	18	0	0	0	1	0	0	3	6	0	0	0	5	0	0	2	0	0	53	0	0	0	1	122	0	0	0	0	6	0	0	0	2	1	0	0	0	1	0	0
15809	24317	"Grächen See"	46.19556	7.845	245	"AWI"	245	1925	2593	2213	1	0	58	0	0	0	0	0	14	0	0	0	0	0	0	0	5	0	0	0	4	0	0	0	0	1	70	0	0	0	0	176	194	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0
15809	24317	"Grächen See"	46.19556	7.845	265	"AWI"	265	2102	2903	2456	5	0	25	0	0	0	1	0	3	0	0	0	0	0	0	2	5	0	0	0	0	0	0	0	0	0	40	0	0	0	0	99	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
15809	24317	"Grächen See"	46.19556	7.845	285	"AWI"	285	2295	3178	2698	1	0	22	1	0	0	1	0	16	0	0	0	0	0	0	1	4	1	0	0	1	0	0	0	0	0	50	0	0	0	0	142	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
15809	24317	"Grächen See"	46.19556	7.845	305	"AWI"	305	2494	3441	2940	14	0	27	0	0	0	1	0	15	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	99	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15809	24317	"Grächen See"	46.19556	7.845	325	"AWI"	325	2712	3679	3178	14	0	49	0	0	0	0	0	9	0	0	0	0	0	0	0	7	0	0	0	0	0	1	0	0	0	45	0	0	0	0	78	287	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
15809	24317	"Grächen See"	46.19556	7.845	345	"AWI"	345	2937	3915	3421	20	0	52	0	0	0	6	0	9	0	0	0	0	0	0	3	6	0	0	0	1	0	0	0	0	0	55	0	2	0	0	95	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0
15809	24317	"Grächen See"	46.19556	7.845	365	"AWI"	365	3166	4138	3666	7	0	31	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	22	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15809	24317	"Grächen See"	46.19556	7.845	385	"AWI"	385	3409	4353	3905	22	0	33	0	0	0	0	0	9	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	40	0	1	0	0	45	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
15809	24317	"Grächen See"	46.19556	7.845	405	"AWI"	405	3652	4550	4139	46	1	0	0	0	0	2	0	11	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	45	0	3	0	0	26	0	0	0	0	4	0	0	0	0	0	0	0	2	1	0	0
15809	24317	"Grächen See"	46.19556	7.845	425	"AWI"	425	3837	4711	4309	54	0	0	0	0	0	2	0	7	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	50	0	0	2	0	9	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
15809	24317	"Grächen See"	46.19556	7.845	445	"AWI"	445	4017	4848	4466	22	0	0	0	0	0	1	0	11	0	0	0	0	0	0	2	3	0	0	0	2	0	0	0	0	0	63	0	0	0	0	5	0	0	0	0	8	0	0	0	0	0	0	0	2	2	0	0
15809	24317	"Grächen See"	46.19556	7.845	465	"AWI"	465	4201	4990	4622	33	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	30	0	0	1	0	10	356	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
