"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Corylus"	"Cyperaceae"	"Fabaceae"	"Picea"	"Pinus"	"Poaceae"	"Polygonaceae"	"Quercus"	"Salix"	"Tilia"	"Ulmus"
3446	4462	"Stupino"	52.25	39.83333	3	"AWI"	3	-59	798	167	0	19	4	0	2	0	3	14	7	0	3	220	0	1	0	0	1	0
3446	4462	"Stupino"	52.25	39.83333	8	"AWI"	8	217	1544	728	0	18	1	1	8	0	5	23	26	0	0	106	5	0	1	3	3	3
3446	4462	"Stupino"	52.25	39.83333	13	"AWI"	13	628	2185	1399	0	10	3	4	6	2	19	24	21	0	0	152	1	0	6	0	3	0
3446	4462	"Stupino"	52.25	39.83333	18	"AWI"	18	1347	2596	2092	0	15	3	0	5	0	9	15	24	0	0	87	1	0	2	0	1	0
3446	4462	"Stupino"	52.25	39.83333	23	"AWI"	23	2392	2960	2641	0	21	1	0	0	0	7	11	8	0	0	91	0	0	0	0	1	0
3446	4462	"Stupino"	52.25	39.83333	28	"AWI"	28	2622	3284	2922	0	37	2	0	4	0	5	3	7	0	0	126	2	1	0	0	1	0
3446	4462	"Stupino"	52.25	39.83333	33	"AWI"	33	2810	3586	3176	0	8	2	0	2	0	0	3	4	0	1	84	1	0	1	0	3	0
3446	4462	"Stupino"	52.25	39.83333	38	"AWI"	38	3050	3799	3412	0	13	2	1	1	0	0	7	3	0	0	125	2	0	3	0	2	0
3446	4462	"Stupino"	52.25	39.83333	43	"AWI"	43	3326	3995	3647	0	19	0	0	9	0	7	11	12	0	0	93	2	0	8	0	6	1
3446	4462	"Stupino"	52.25	39.83333	48	"AWI"	48	3706	4187	3882	0	6	0	0	1	0	11	0	0	0	0	136	0	0	0	1	1	0
3446	4462	"Stupino"	52.25	39.83333	53	"AWI"	53	3888	4495	4137	2	28	1	1	8	0	6	49	32	0	0	38	41	0	5	0	3	1
3446	4462	"Stupino"	52.25	39.83333	58	"AWI"	58	4062	4796	4386	0	15	0	0	0	0	13	0	3	0	1	43	2	0	0	0	0	1
3446	4462	"Stupino"	52.25	39.83333	63	"AWI"	63	4276	5062	4644	0	20	2	1	1	0	12	1	8	0	0	145	2	0	4	0	1	0
3446	4462	"Stupino"	52.25	39.83333	68	"AWI"	68	4524	5269	4892	0	38	3	0	4	0	6	1	3	0	0	121	21	0	2	0	3	1
3446	4462	"Stupino"	52.25	39.83333	73	"AWI"	73	4892	5484	5141	0	53	1	0	3	0	1	4	12	0	0	60	2	0	4	0	2	0
3446	4462	"Stupino"	52.25	39.83333	78	"AWI"	78	5125	5889	5480	0	17	0	1	2	0	5	2	5	1	0	106	8	0	0	0	1	0
3446	4462	"Stupino"	52.25	39.83333	88	"AWI"	88	5837	6527	6187	0	9	0	0	0	0	4	3	2	0	0	114	7	0	0	0	0	0
3446	4462	"Stupino"	52.25	39.83333	98	"AWI"	98	6265	7374	6747	0	7	2	0	8	0	16	5	3	0	0	43	7	0	0	2	0	1
