"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fraxinus"	"Gentianaceae"	"Ilex"	"Indeterminable"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Linaceae"	"Onagraceae"	"Papaveraceae"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Saxifragaceae"	"Thalictrum"	"Ulmus"	"Urticaceae"
9816	14521	"Lough Aisling"	53.918802	-9.588546	275	"AWI"	275	7048	9057	8035	47	0	1	4	0	0	37	0	0	0	0	250	8	0	0	0	0	0	0	0	11	0	0	0	0	0	0	176	0	0	38	0	0	73	0	0	0	0	3	0	0	0	39	0
9816	14521	"Lough Aisling"	53.918802	-9.588546	285	"AWI"	285	7332	9335	8350	39	0	0	2	0	0	16	0	0	0	0	325	6	0	0	0	0	0	0	0	8	0	0	0	0	0	0	223	0	0	51	0	0	74	0	0	0	0	6	0	0	0	48	0
9816	14521	"Lough Aisling"	53.918802	-9.588546	293	"AWI"	293	7568	9571	8601	1	0	0	1	0	0	24	0	0	0	0	278	13	0	0	21	0	0	0	0	7	0	0	0	0	0	0	116	0	0	24	1	0	63	0	0	0	0	8	0	0	0	32	0
9816	14521	"Lough Aisling"	53.918802	-9.588546	295	"AWI"	295	7631	9623	8666	0	0	0	4	0	0	14	0	0	0	0	322	9	0	0	0	0	0	0	0	10	0	0	0	0	0	0	171	0	0	14	0	0	49	0	0	0	0	4	0	0	0	32	0
9816	14521	"Lough Aisling"	53.918802	-9.588546	298	"AWI"	298	7699	9719	8758	1	0	1	8	0	0	25	0	0	0	0	315	12	0	0	0	0	0	0	1	6	2	0	0	0	0	0	167	0	0	15	0	0	37	0	0	0	0	2	0	0	0	30	0
9816	14521	"Lough Aisling"	53.918802	-9.588546	303	"AWI"	303	7881	9852	8914	52	0	0	2	0	0	52	0	0	0	0	258	21	0	0	0	0	2	0	1	9	0	0	0	0	0	0	108	0	0	61	0	0	41	0	0	0	0	7	0	0	0	20	0
9816	14521	"Lough Aisling"	53.918802	-9.588546	313	"AWI"	313	8209	10110	9233	0	0	1	4	0	0	57	0	0	0	0	402	12	0	0	0	0	1	0	0	6	2	0	0	0	0	0	185	0	0	4	0	0	59	0	0	0	0	4	0	0	0	65	0
9816	14521	"Lough Aisling"	53.918802	-9.588546	323	"AWI"	323	8533	10361	9554	0	0	0	7	0	0	37	0	0	0	0	358	19	0	0	0	0	3	0	0	12	0	0	0	0	0	0	242	0	0	5	0	0	32	0	0	0	0	7	0	0	0	62	0
9816	14521	"Lough Aisling"	53.918802	-9.588546	333	"AWI"	333	8892	10612	9874	0	0	0	0	0	0	70	0	0	0	0	353	20	0	0	0	0	0	0	0	9	0	0	0	0	0	0	123	0	0	12	0	0	14	0	0	0	0	7	0	0	0	21	0
9816	14521	"Lough Aisling"	53.918802	-9.588546	343	"AWI"	343	9269	10824	10186	0	0	0	0	2	0	58	0	0	0	0	338	16	0	0	0	0	0	0	0	7	1	0	0	0	0	0	227	0	0	7	1	0	3	0	0	0	0	3	0	0	0	10	0
9816	14521	"Lough Aisling"	53.918802	-9.588546	353	"AWI"	353	9670	11007	10492	0	0	0	0	0	0	32	0	0	0	0	290	15	0	0	0	0	0	0	0	17	0	0	0	0	0	0	85	0	0	0	0	0	4	0	0	0	0	16	0	0	0	3	0
9816	14521	"Lough Aisling"	53.918802	-9.588546	358	"AWI"	358	9891	11083	10649	0	0	0	0	0	0	65	0	0	0	0	474	17	0	0	0	0	0	0	0	3	1	0	0	0	0	0	80	0	0	8	0	0	3	0	0	0	0	25	0	0	0	4	0
9816	14521	"Lough Aisling"	53.918802	-9.588546	360	"AWI"	360	9955	11142	10710	1	0	0	0	0	0	430	0	0	0	0	23	40	0	0	0	0	0	1	0	21	4	0	0	0	0	0	7	0	0	56	3	0	1	2	0	0	4	82	0	0	0	0	0
9816	14521	"Lough Aisling"	53.918802	-9.588546	361	"AWI"	361	10046	11151	10734	0	0	0	0	0	0	100	0	0	0	0	456	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	50	0	0	8	0	0	3	0	0	0	0	13	0	0	0	4	0
9816	14521	"Lough Aisling"	53.918802	-9.588546	363	"AWI"	363	10214	11176	10786	0	0	0	0	0	0	57	0	0	0	0	280	7	0	0	0	0	0	0	0	11	0	0	0	0	0	0	22	0	0	2	0	0	0	0	0	0	0	7	0	0	0	2	0
9816	14521	"Lough Aisling"	53.918802	-9.588546	368	"AWI"	368	10565	11242	10924	1	0	0	0	0	0	80	0	0	0	0	509	18	0	0	0	0	0	0	0	3	1	0	0	0	0	0	19	0	0	15	0	0	0	0	0	0	0	14	0	0	0	2	0
9816	14521	"Lough Aisling"	53.918802	-9.588546	370	"AWI"	370	10645	11292	10992	0	0	3	0	0	0	4	0	0	0	0	0	110	0	0	68	0	0	0	0	18	62	0	0	0	0	0	6	0	0	65	2	0	0	0	0	0	0	3	0	4	0	0	0
9816	14521	"Lough Aisling"	53.918802	-9.588546	375	"AWI"	375	10769	11613	11170	0	0	2	0	0	0	13	0	0	0	0	0	114	0	0	0	0	0	0	0	9	38	0	0	0	1	0	3	0	0	45	0	0	0	0	0	1	0	5	0	0	1	0	0
9816	14521	"Lough Aisling"	53.918802	-9.588546	380	"AWI"	380	10843	12059	11322	0	1	2	0	3	0	7	0	0	2	0	0	60	0	1	0	0	0	0	0	23	12	0	0	0	1	0	9	0	0	77	2	0	0	3	0	0	0	16	0	0	0	0	0
9816	14521	"Lough Aisling"	53.918802	-9.588546	385	"AWI"	385	11007	12208	11527	0	0	10	0	0	0	2	0	0	1	0	0	115	0	0	0	0	0	0	0	14	7	0	0	0	0	0	6	0	0	127	0	0	0	1	0	0	5	30	0	0	3	0	0
9816	14521	"Lough Aisling"	53.918802	-9.588546	390	"AWI"	390	11093	12458	11720	0	0	0	0	1	0	4	0	0	1	0	0	105	0	0	0	0	0	0	0	17	5	0	0	0	0	0	4	0	0	141	2	0	0	0	0	0	0	37	0	0	2	0	0
9816	14521	"Lough Aisling"	53.918802	-9.588546	400	"AWI"	400	11411	12797	12125	0	0	6	0	2	0	1	0	0	2	0	1	21	0	1	0	0	0	1	0	11	1	2	0	3	0	0	3	0	0	145	0	0	0	1	0	0	11	38	0	0	3	0	0
9816	14521	"Lough Aisling"	53.918802	-9.588546	405	"AWI"	405	11670	12875	12320	0	0	4	0	10	0	9	0	0	3	0	1	69	0	0	0	0	0	0	0	28	0	0	0	0	1	0	8	0	1	81	0	0	0	0	0	0	0	31	0	4	3	0	0
9816	14521	"Lough Aisling"	53.918802	-9.588546	415	"AWI"	415	12172	13119	12697	0	2	6	0	12	0	10	0	0	7	0	0	114	0	0	0	0	0	0	0	26	4	0	0	0	2	0	8	0	1	154	0	0	0	0	0	0	0	39	0	2	4	0	0
9816	14521	"Lough Aisling"	53.918802	-9.588546	425	"AWI"	425	12820	13395	13108	1	0	4	0	5	0	0	0	0	5	2	2	161	0	0	0	0	0	0	0	11	4	0	0	0	1	0	6	0	5	109	0	0	2	0	0	0	0	51	0	1	3	2	0
9816	14521	"Lough Aisling"	53.918802	-9.588546	430	"AWI"	430	12939	13831	13300	0	0	2	0	5	0	3	0	0	8	0	0	114	0	0	0	0	0	0	0	38	5	0	0	0	4	0	4	0	2	104	0	0	0	0	0	0	0	38	0	0	0	0	0
9816	14521	"Lough Aisling"	53.918802	-9.588546	435	"AWI"	435	13096	14141	13546	0	0	7	0	8	0	9	0	0	7	1	0	183	0	1	0	0	0	0	0	22	5	0	0	0	1	0	3	0	0	148	0	1	0	0	0	0	0	43	0	1	6	0	0
9816	14521	"Lough Aisling"	53.918802	-9.588546	440	"AWI"	440	13169	14675	13758	0	0	4	0	0	0	7	0	0	3	0	0	156	0	0	0	0	0	0	0	14	1	0	2	0	2	0	0	0	1	110	0	0	0	0	0	0	0	22	0	0	0	0	0
9816	14521	"Lough Aisling"	53.918802	-9.588546	445	"AWI"	445	13366	14889	14023	0	1	10	0	1	0	7	0	0	7	1	0	164	0	0	0	0	0	0	0	8	0	0	0	0	1	0	0	0	0	166	0	0	0	0	0	0	0	26	0	0	6	0	0
9816	14521	"Lough Aisling"	53.918802	-9.588546	450	"AWI"	450	13466	15284	14266	0	0	3	0	2	0	5	0	0	4	0	0	104	0	0	0	0	0	0	0	36	0	0	0	0	1	0	2	0	1	103	0	0	0	0	0	0	0	28	0	0	0	0	0
9816	14521	"Lough Aisling"	53.918802	-9.588546	455	"AWI"	455	13712	15465	14527	0	0	3	0	1	0	1	0	0	1	0	0	182	0	0	0	0	0	0	0	12	0	0	0	0	0	0	3	0	1	121	0	1	0	1	0	0	0	40	0	0	8	0	0
9816	14521	"Lough Aisling"	53.918802	-9.588546	460	"AWI"	460	13838	15764	14771	0	1	8	0	0	0	0	0	0	1	0	0	167	0	0	0	0	0	0	0	48	3	0	0	0	2	2	2	0	0	116	4	0	0	0	0	0	0	14	0	0	0	0	0
9816	14521	"Lough Aisling"	53.918802	-9.588546	465	"AWI"	465	14147	15909	15041	0	0	7	0	1	0	5	0	0	4	0	0	181	0	0	0	0	0	0	0	17	0	0	0	0	0	0	1	0	1	152	1	0	1	0	0	0	0	18	0	1	2	0	0
9816	14521	"Lough Aisling"	53.918802	-9.588546	470	"AWI"	470	14319	16161	15314	0	1	3	0	0	0	6	0	0	1	0	0	186	0	2	0	0	0	0	0	33	3	0	0	0	0	0	1	0	0	131	1	0	0	4	0	0	0	6	0	0	1	0	0
9816	14521	"Lough Aisling"	53.918802	-9.588546	475	"AWI"	475	14649	16268	15558	1	0	8	0	0	0	5	0	0	3	0	0	141	0	0	0	0	0	0	0	20	8	0	0	0	1	0	0	0	1	136	1	0	0	2	0	0	0	15	0	0	5	0	0
9816	14521	"Lough Aisling"	53.918802	-9.588546	480	"AWI"	480	14851	16483	15817	0	0	5	0	0	0	3	0	0	5	0	0	150	0	0	0	0	0	0	0	12	0	0	0	0	1	0	1	0	8	129	2	0	0	3	0	0	0	10	0	0	0	0	0
9816	14521	"Lough Aisling"	53.918802	-9.588546	485	"AWI"	485	15368	16598	16027	0	0	3	0	1	0	10	0	0	1	0	0	122	0	0	0	0	0	0	0	12	94	0	0	0	0	0	4	0	0	93	0	0	3	1	0	0	0	1	0	0	8	0	0
9816	14521	"Lough Aisling"	53.918802	-9.588546	490	"AWI"	490	15709	16785	16271	0	0	3	0	0	0	19	0	0	1	0	0	103	0	1	0	0	0	0	0	23	80	0	0	0	1	0	1	0	0	56	2	0	0	3	0	0	0	7	0	0	0	0	0
9816	14521	"Lough Aisling"	53.918802	-9.588546	494	"AWI"	494	15836	17012	16407	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	16	5	0	0	0	0	1	1	0	0	17	1	0	0	0	0	0	0	15	0	2	0	0	0
9816	14521	"Lough Aisling"	53.918802	-9.588546	500	"AWI"	500	15935	17563	16585	0	1	1	0	0	0	1	0	0	1	0	0	21	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	1	33	0	0	1	1	0	0	0	12	0	0	0	0	0
9816	14521	"Lough Aisling"	53.918802	-9.588546	505	"AWI"	505	16063	17795	16768	0	0	1	0	2	0	1	0	0	0	0	1	6	0	0	0	0	0	0	0	7	0	0	0	0	0	0	9	0	0	19	0	0	0	0	0	0	0	2	0	1	0	0	0
9816	14521	"Lough Aisling"	53.918802	-9.588546	510	"AWI"	510	16141	18145	16942	0	0	0	0	0	0	0	0	0	1	0	0	7	0	1	0	0	0	0	0	5	0	0	0	0	0	0	3	0	0	20	0	0	0	0	0	0	0	3	0	0	0	0	0
9816	14521	"Lough Aisling"	53.918802	-9.588546	515	"AWI"	515	16296	18369	17128	1	4	0	0	8	0	0	0	0	1	0	1	5	0	0	0	0	0	0	0	9	0	0	0	0	0	0	15	0	0	14	0	0	0	0	0	0	0	2	0	5	0	0	0
9816	14521	"Lough Aisling"	53.918802	-9.588546	520	"AWI"	520	16394	18669	17309	2	0	0	0	0	0	1	0	0	0	0	2	5	0	0	0	0	0	0	0	11	0	0	0	1	0	0	8	0	0	33	0	0	0	0	0	0	0	5	1	19	0	0	0
