"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Cannabaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Hypericaceae"	"Lamiaceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Scrophulariaceae"	"Thalictrum"	"Tilia"	"Ulmus"
14282	22358	"Cernohorské rašelinište"	50.660758	15.752374	20	"AWI"	20	41	637	282	26	2	19	3	0	8	0	22	1	0	15	10	0	100	1	0	0	0	7	72	0	0	0	0	31	0	0	0	2	0	1	0	1	4	4
14282	22358	"Cernohorské rašelinište"	50.660758	15.752374	30	"AWI"	30	114	837	460	62	1	14	0	0	6	0	22	0	0	11	4	0	165	1	0	0	0	16	55	0	0	0	1	18	0	0	0	1	0	0	1	0	4	8
14282	22358	"Cernohorské rašelinište"	50.660758	15.752374	40	"AWI"	40	301	920	658	65	0	5	0	0	0	0	20	0	0	6	0	0	74	0	0	0	0	5	49	0	0	0	0	20	0	0	0	1	2	0	0	0	0	3
14282	22358	"Cernohorské rašelinište"	50.660758	15.752374	50	"AWI"	50	559	1024	835	66	0	20	0	0	2	1	44	1	0	8	1	0	54	0	0	0	0	9	63	0	0	0	1	23	0	0	0	1	0	0	0	0	1	1
14282	22358	"Cernohorské rašelinište"	50.660758	15.752374	60	"AWI"	60	922	1123	991	90	0	11	0	0	6	1	12	0	1	5	7	0	60	0	0	1	0	10	60	0	0	0	0	16	0	0	0	1	0	0	0	0	0	2
14282	22358	"Cernohorské rašelinište"	50.660758	15.752374	70	"AWI"	70	1010	1478	1245	140	0	51	0	1	5	0	39	1	0	12	13	5	150	0	0	0	0	17	70	0	0	0	0	39	0	0	1	3	0	0	1	0	1	0
14282	22358	"Cernohorské rašelinište"	50.660758	15.752374	80	"AWI"	80	1260	1731	1490	80	1	37	2	1	7	0	41	0	0	17	20	0	70	0	0	0	0	14	41	0	0	0	0	35	0	0	0	0	0	0	0	0	1	1
14282	22358	"Cernohorské rašelinište"	50.660758	15.752374	90	"AWI"	90	1593	1840	1751	38	0	32	2	0	3	1	50	0	0	3	9	0	95	0	0	0	0	12	33	0	0	0	0	30	0	0	0	1	1	1	0	0	0	2
14282	22358	"Cernohorské rašelinište"	50.660758	15.752374	100	"AWI"	100	1648	1905	1790	44	0	25	0	2	6	1	17	2	0	10	8	0	66	0	1	0	0	9	34	0	0	0	0	24	2	0	0	4	0	0	0	0	1	0
14282	22358	"Cernohorské rašelinište"	50.660758	15.752374	110	"AWI"	110	1693	1973	1830	50	1	21	1	0	0	1	35	0	1	12	25	0	80	0	1	0	0	12	41	0	0	0	0	30	0	0	0	0	0	0	0	0	1	4
14282	22358	"Cernohorské rašelinište"	50.660758	15.752374	120	"AWI"	120	1735	2047	1870	73	0	30	0	0	1	2	50	1	0	15	24	0	80	0	0	0	0	11	29	0	0	0	0	25	0	0	0	0	1	0	0	0	0	2
14282	22358	"Cernohorské rašelinište"	50.660758	15.752374	130	"AWI"	130	1814	2104	1929	78	1	17	0	1	3	1	13	0	0	5	7	0	40	0	0	0	0	6	30	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0
14282	22358	"Cernohorské rašelinište"	50.660758	15.752374	140	"AWI"	140	1939	2187	2041	44	0	25	0	0	1	0	23	0	0	6	11	0	45	0	2	0	0	0	40	47	0	0	0	20	0	0	0	1	0	0	0	0	1	0
14282	22358	"Cernohorské rašelinište"	50.660758	15.752374	150	"AWI"	150	2065	2319	2201	65	1	16	1	0	3	0	27	0	0	7	7	0	40	1	0	0	0	8	45	0	0	0	0	21	0	0	0	0	2	0	0	0	1	1
