"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Convolvulaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Frangula"	"Fraxinus"	"Ilex"	"Lamiaceae"	"Ligustrum"	"Lythraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Solanaceae"	"Sorbus"	"Taxus"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
23789	41210	"Bazel-Sluis"	51.13583	4.32306	46	"AWI"	46	5024	5248	5155	0	201	0	1	0	0	0	0	16	2	0	0	13	1	0	63	0	0	0	1	2	0	0	0	4	0	0	24	89	0	0	0	1	0	0	0	0	0	0	0	1	0	2	37	8	0	5	0
23789	41210	"Bazel-Sluis"	51.13583	4.32306	51	"AWI"	51	5047	5264	5177	0	187	0	1	2	1	4	0	15	21	0	4	16	12	0	90	2	2	0	3	0	0	0	2	3	0	0	33	91	0	0	0	0	0	0	0	0	3	2	0	2	0	1	22	10	4	10	1
23789	41210	"Bazel-Sluis"	51.13583	4.32306	56	"AWI"	56	5069	5280	5197	1	229	0	3	1	2	2	0	13	7	0	3	22	12	0	63	0	0	0	1	0	1	0	0	2	0	0	23	112	0	0	0	1	0	0	0	1	7	1	0	1	0	1	20	11	3	7	0
23789	41210	"Bazel-Sluis"	51.13583	4.32306	61	"AWI"	61	5092	5295	5219	0	206	1	0	0	2	2	0	12	10	0	1	16	26	0	29	0	0	0	4	0	0	0	0	5	2	0	20	90	0	0	6	0	0	0	0	0	0	3	0	2	0	4	21	14	0	6	0
23789	41210	"Bazel-Sluis"	51.13583	4.32306	66	"AWI"	66	5114	5309	5241	0	194	0	0	0	1	0	0	8	14	0	1	14	16	0	98	0	0	0	0	2	0	0	0	5	0	0	20	103	0	0	0	0	0	0	0	0	7	2	0	2	0	0	19	12	1	9	0
23789	41210	"Bazel-Sluis"	51.13583	4.32306	71	"AWI"	71	5138	5324	5263	0	164	0	1	0	1	1	0	7	9	1	1	7	5	0	82	0	0	0	0	0	0	1	0	4	0	0	18	73	0	0	0	0	0	0	0	0	0	7	0	2	0	1	86	8	2	4	0
23789	41210	"Bazel-Sluis"	51.13583	4.32306	76	"AWI"	76	5157	5348	5284	0	338	0	0	0	0	0	0	7	5	0	0	4	4	0	95	0	1	0	0	1	0	0	0	0	0	0	15	42	0	0	0	0	0	0	0	0	0	0	0	0	2	0	6	9	0	3	0
23789	41210	"Bazel-Sluis"	51.13583	4.32306	80	"AWI"	80	5173	5365	5298	0	246	0	0	0	2	1	0	9	2	0	1	9	9	0	53	0	0	0	0	2	0	0	0	3	3	0	17	85	0	0	3	2	0	0	0	0	0	3	0	0	0	0	21	12	2	11	0
23789	41210	"Bazel-Sluis"	51.13583	4.32306	84	"AWI"	84	5190	5382	5313	0	433	0	0	0	9	0	0	0	0	0	0	2	3	1	16	0	0	0	0	0	0	0	0	4	0	0	7	93	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	3	0	1	0
23789	41210	"Bazel-Sluis"	51.13583	4.32306	89	"AWI"	89	5211	5401	5331	0	191	0	0	0	14	1	0	7	0	1	0	9	4	0	34	1	0	0	1	3	0	0	0	4	0	0	7	185	0	0	3	0	0	0	0	0	0	0	1	0	2	0	24	2	0	4	0
23789	41210	"Bazel-Sluis"	51.13583	4.32306	93	"AWI"	93	5228	5418	5346	1	192	0	1	0	5	0	0	5	1	0	0	8	10	0	39	0	0	0	0	2	0	0	0	3	0	0	10	187	0	0	0	0	0	0	0	0	0	0	0	0	1	3	30	13	1	4	0
23789	41210	"Bazel-Sluis"	51.13583	4.32306	96	"AWI"	96	5241	5429	5357	0	248	0	0	0	1	0	2	5	1	1	1	9	7	0	48	0	0	0	1	0	0	0	0	3	0	1	17	111	0	0	0	0	0	1	0	0	4	1	2	0	1	5	29	3	0	7	0
23789	41210	"Bazel-Sluis"	51.13583	4.32306	101	"AWI"	101	5264	5446	5375	0	130	0	2	0	4	0	0	4	2	0	1	20	2	0	67	0	0	0	0	0	0	0	0	4	0	0	29	139	0	26	0	0	0	0	0	0	0	0	0	1	0	3	66	18	0	9	0
