"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Cornus"	"Corylus"	"Cupressaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Ilex"	"Juglans"	"Juniperus"	"Ligustrum"	"Myrica"	"Ostrya.Carpinus"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Salix"	"Sambucus"	"Santalaceae"	"Tilia"	"Ulmus"	"Viburnum"	"Vitaceae"
15815	24330	"Les Humelles"	47.39	-0.54639	90	"AWI"	90	962	1721	1382	4	0	2	0	0	17	77	0	2	3	10	0	0	6	132	1	0	31	2	0	0	3	0	4	4	1	0	4	0	2	2	0	2	0	0	0	7	0	3	0	11	1	1	1	2	0
15815	24330	"Les Humelles"	47.39	-0.54639	95	"AWI"	95	1104	1791	1453	0	0	0	0	0	45	57	0	3	5	1	0	0	1	532	0	0	47	8	0	0	1	0	1	1	0	0	12	0	0	0	0	0	0	0	0	9	0	0	0	9	0	0	0	2	0
15815	24330	"Les Humelles"	47.39	-0.54639	100	"AWI"	100	1261	1843	1527	2	0	1	0	0	50	20	0	0	17	9	0	0	27	34	0	0	60	7	0	0	3	0	2	5	0	0	7	0	2	2	0	3	0	1	1	13	0	3	1	25	2	1	2	2	0
15815	24330	"Les Humelles"	47.39	-0.54639	105	"AWI"	105	1335	1914	1605	3	0	2	2	0	36	21	0	5	13	7	0	0	28	8	4	0	90	7	0	0	3	0	5	5	0	0	2	0	2	2	0	3	0	1	0	15	0	3	1	30	6	1	1	2	0
15815	24330	"Les Humelles"	47.39	-0.54639	110	"AWI"	110	1375	2041	1679	1	0	2	1	0	67	35	0	2	13	7	0	0	6	36	0	0	98	6	0	0	3	0	2	0	0	0	16	0	1	2	0	0	0	1	0	4	0	1	0	11	0	2	0	2	0
15815	24330	"Les Humelles"	47.39	-0.54639	115	"AWI"	115	1434	2085	1741	2	0	0	1	0	56	34	0	2	10	5	0	0	10	16	1	0	108	6	0	0	3	0	2	5	0	0	14	0	0	0	0	1	0	0	1	5	0	2	0	20	0	2	0	2	0
15815	24330	"Les Humelles"	47.39	-0.54639	120	"AWI"	120	1472	2149	1801	0	0	0	0	0	81	32	0	0	8	0	0	0	4	19	1	0	162	16	0	0	1	0	1	3	0	0	15	0	0	1	0	0	0	0	0	8	0	0	0	30	0	1	0	4	0
15815	24330	"Les Humelles"	47.39	-0.54639	125	"AWI"	125	1500	2246	1858	0	0	1	0	0	80	31	0	1	9	0	0	0	2	30	1	0	148	27	0	0	2	0	2	2	0	0	27	0	0	1	0	0	0	0	0	19	0	0	0	39	0	0	0	6	0
15815	24330	"Les Humelles"	47.39	-0.54639	130	"AWI"	130	1544	2332	1914	1	1	2	0	0	5	14	0	3	2	6	0	0	2	5	0	0	12	42	0	0	3	0	10	3	0	0	2	1	2	2	0	0	2	1	3	39	0	0	1	13	2	0	4	2	0
15815	24330	"Les Humelles"	47.39	-0.54639	135	"AWI"	135	1603	2371	1981	0	0	1	0	0	91	33	0	1	27	0	0	0	5	151	0	0	90	17	0	0	1	0	1	1	0	0	12	0	0	3	0	0	0	0	0	12	0	0	0	29	0	0	0	3	0
15815	24330	"Les Humelles"	47.39	-0.54639	140	"AWI"	140	1645	2428	2047	2	0	2	0	0	8	16	0	8	13	6	0	0	2	8	0	0	24	40	0	0	2	0	9	4	2	0	2	0	2	2	0	0	1	2	2	22	0	2	2	22	0	2	2	2	0
15815	24330	"Les Humelles"	47.39	-0.54639	145	"AWI"	145	1680	2512	2111	0	0	0	0	0	240	42	0	1	43	0	1	0	33	63	0	0	30	9	0	0	2	0	3	1	0	0	26	0	0	3	0	0	0	0	0	19	0	0	0	6	0	0	0	2	0
15815	24330	"Les Humelles"	47.39	-0.54639	150	"AWI"	150	1762	2571	2176	2	0	2	0	0	10	26	0	6	6	8	0	0	2	2	0	0	23	37	0	0	4	0	10	4	1	0	11	1	1	11	0	0	0	2	2	24	0	2	0	22	1	7	3	2	0
15815	24330	"Les Humelles"	47.39	-0.54639	155	"AWI"	155	1833	2603	2242	0	0	3	0	0	111	34	0	4	9	0	0	0	3	15	1	0	17	33	0	0	1	0	3	0	0	0	28	0	0	3	0	0	0	2	0	8	0	0	0	21	0	0	4	1	0
15815	24330	"Les Humelles"	47.39	-0.54639	160	"AWI"	160	1878	2651	2312	0	0	1	0	0	37	19	0	3	2	0	0	0	1	8	0	0	7	55	0	0	3	0	5	0	0	0	12	0	0	5	0	0	0	1	0	23	0	1	0	10	0	0	0	3	1
15815	24330	"Les Humelles"	47.39	-0.54639	165	"AWI"	165	1922	2722	2378	1	2	1	0	0	26	25	0	2	8	1	0	0	0	16	0	0	5	56	0	0	19	0	5	2	0	0	11	0	1	2	0	1	0	2	0	33	6	0	0	11	0	7	8	1	0
15815	24330	"Les Humelles"	47.39	-0.54639	170	"AWI"	170	2024	2745	2441	0	0	1	0	0	114	23	0	4	11	0	0	0	29	68	0	0	9	41	0	0	2	0	10	0	0	0	8	0	0	1	0	0	0	0	0	34	0	0	0	3	0	2	1	1	0
15815	24330	"Les Humelles"	47.39	-0.54639	180	"AWI"	180	2154	2812	2578	2	0	4	0	0	9	12	0	13	6	3	0	0	4	18	0	0	11	70	0	0	0	0	2	1	0	0	7	1	1	12	0	0	0	2	2	32	0	1	0	19	0	15	2	2	1
15815	24330	"Les Humelles"	47.39	-0.54639	185	"AWI"	185	2243	2859	2640	2	0	2	0	0	18	13	0	0	7	2	0	0	77	140	0	0	23	6	0	0	2	0	1	0	0	0	10	0	2	4	0	0	0	0	0	10	0	1	1	10	0	1	0	0	0
15815	24330	"Les Humelles"	47.39	-0.54639	190	"AWI"	190	2390	2877	2693	0	0	4	0	1	33	28	0	2	8	1	0	0	10	11	0	0	10	22	0	0	1	0	2	0	0	0	8	0	0	7	0	0	0	0	0	9	0	0	0	4	0	1	1	1	0
15815	24330	"Les Humelles"	47.39	-0.54639	195	"AWI"	195	2535	2898	2745	1	0	1	0	0	67	22	0	0	16	1	0	0	88	25	0	0	23	4	0	0	0	0	6	1	0	0	7	1	1	6	0	0	0	0	0	3	0	0	0	6	0	0	1	0	0
15815	24330	"Les Humelles"	47.39	-0.54639	200	"AWI"	200	2681	2930	2798	0	0	1	0	0	36	35	0	4	7	0	0	0	8	13	0	0	13	31	0	0	0	0	4	0	0	0	7	0	0	6	0	0	0	0	0	58	0	0	0	4	0	9	0	1	0
15815	24330	"Les Humelles"	47.39	-0.54639	205	"AWI"	205	2717	2965	2838	0	0	2	0	0	70	22	0	1	6	0	0	0	66	24	0	0	18	1	0	0	0	0	1	0	0	0	3	0	0	4	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
