"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Castanea"	"Corylus"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Hypericaceae"	"Ilex"	"Juglans"	"Juniperus"	"Lamiaceae"	"Linaceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Violaceae"	"Vitaceae"
24189	42566	"Bruckmisse"	48.730522	8.642734	35	"AWI"	35	329	985	641	5	1	3	1	0	0	0	3	0	33	0	0	0	0	1	9	1	0	0	0	4	0	2	0	0	0	0	0	0	0	2	55	166	0	0	0	0	0	11	0	0	0	1	5	0	0	0	0	0	1	0	0	0	0	0
24189	42566	"Bruckmisse"	48.730522	8.642734	45	"AWI"	45	489	1172	833	2	0	3	0	0	0	0	2	0	23	3	0	0	0	0	7	1	2	0	0	4	0	0	1	0	0	0	0	0	1	1	11	92	0	0	0	0	0	8	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0
24189	42566	"Bruckmisse"	48.730522	8.642734	50	"AWI"	50	583	1255	937	8	2	16	2	0	0	0	1	0	80	4	0	1	0	1	7	4	0	0	0	14	1	3	0	1	0	0	0	0	0	11	31	308	0	0	0	0	0	21	0	0	0	6	1	3	0	0	0	0	1	1	0	0	0	0
24189	42566	"Bruckmisse"	48.730522	8.642734	55	"AWI"	55	693	1345	1033	14	0	6	0	0	0	0	1	0	25	2	0	0	0	1	12	2	0	0	0	12	0	1	0	0	0	0	0	0	0	8	25	151	0	0	0	0	0	11	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0
24189	42566	"Bruckmisse"	48.730522	8.642734	57.5	"AWI"	57.5	734.5	1380.5	1082.5	4	2	15	2	0	0	0	1	0	96	1	0	0	0	0	33	5	0	0	0	10	1	8	1	0	0	0	0	0	0	8	14	271	17	0	0	0	0	27	0	0	0	5	2	1	0	0	0	0	0	3	0	0	0	0
24189	42566	"Bruckmisse"	48.730522	8.642734	60	"AWI"	60	773	1429	1131	8	0	8	1	0	0	0	0	0	110	1	0	0	0	2	23	5	16	1	0	26	0	3	1	0	1	0	0	0	0	13	36	271	0	0	0	0	0	25	0	0	0	4	2	0	0	0	0	0	3	4	0	0	0	0
24189	42566	"Bruckmisse"	48.730522	8.642734	62.5	"AWI"	62.5	833.5	1460.5	1181	17	0	6	0	0	0	0	1	0	65	0	0	2	0	0	107	4	18	0	0	11	0	7	0	0	0	0	0	0	0	1	18	132	0	0	0	1	0	25	0	0	0	1	2	0	0	0	0	0	9	5	2	0	0	0
24189	42566	"Bruckmisse"	48.730522	8.642734	65	"AWI"	65	877	1514	1228	14	1	15	1	0	0	0	1	0	170	1	0	0	0	0	84	2	11	0	0	8	0	2	0	0	0	0	0	0	0	3	5	158	0	0	0	0	1	26	0	0	1	1	1	0	0	0	0	0	1	4	0	0	0	0
24189	42566	"Bruckmisse"	48.730522	8.642734	67.5	"AWI"	67.5	942	1538	1276.5	5	0	10	0	0	0	0	0	0	89	0	0	0	0	0	191	7	0	0	0	23	0	12	0	0	0	0	0	0	0	3	1	58	0	0	0	0	0	66	0	0	0	0	2	0	0	0	0	0	11	7	0	0	0	0
24189	42566	"Bruckmisse"	48.730522	8.642734	70	"AWI"	70	990	1577	1325	15	2	17	0	0	0	0	1	0	145	1	0	0	0	0	212	7	0	0	0	12	0	12	0	0	0	0	0	0	0	3	1	37	0	0	0	1	0	99	0	0	0	0	0	0	0	0	0	0	24	15	0	0	0	0
