"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Fabaceae"	"Iridaceae"	"Lamiaceae"	"Linaceae"	"Onagraceae"	"Picea"	"Pinus"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
1121	1155	"Ivanovskoye Peat Bog"	56.81667	38.76667	2	"AWI"	2	-56	311	109	6	2	1	1	0	0	0	0	0	0	59	0	0	0	1	1	0	29	73	0	0	1	0	0	0	0	0	0	0	0	0	0	0
1121	1155	"Ivanovskoye Peat Bog"	56.81667	38.76667	10	"AWI"	10	55	1653	749	7	1	0	0	0	0	0	0	0	2	50	0	0	0	0	0	0	72	78	2	0	0	0	0	0	0	0	0	0	0	0	0	0
1121	1155	"Ivanovskoye Peat Bog"	56.81667	38.76667	18	"AWI"	18	529	1982	1371	2	0	0	0	0	0	0	0	0	2	12	0	0	0	0	0	0	91	74	2	0	0	0	0	0	0	1	0	0	3	0	0	0
1121	1155	"Ivanovskoye Peat Bog"	56.81667	38.76667	26	"AWI"	26	1360	2240	1844	5	0	0	1	0	0	0	0	0	1	11	0	0	0	0	0	0	84	51	1	0	0	0	1	0	0	1	0	0	5	0	0	0
1121	1155	"Ivanovskoye Peat Bog"	56.81667	38.76667	32	"AWI"	32	1781	2427	2151	2	0	0	1	0	0	0	0	0	3	5	0	0	0	0	0	0	80	36	0	0	4	0	0	0	0	0	0	0	7	0	0	0
1121	1155	"Ivanovskoye Peat Bog"	56.81667	38.76667	38	"AWI"	38	2022	2623	2353	6	0	0	1	0	0	0	0	0	1	8	0	0	0	0	0	0	52	32	2	0	0	1	2	0	0	0	0	0	1	0	0	0
1121	1155	"Ivanovskoye Peat Bog"	56.81667	38.76667	46	"AWI"	46	2431	2991	2703	18	0	0	3	0	0	0	0	0	0	41	0	0	0	0	0	0	84	75	6	0	9	0	2	0	0	3	0	0	3	3	0	0
1121	1155	"Ivanovskoye Peat Bog"	56.81667	38.76667	52	"AWI"	52	2638	3530	3019	7	0	0	1	0	0	0	0	0	0	27	0	0	0	0	0	0	43	13	1	0	0	0	0	0	0	0	0	0	17	0	0	0
1121	1155	"Ivanovskoye Peat Bog"	56.81667	38.76667	58	"AWI"	58	2796	4427	3444	12	0	0	3	0	0	0	0	0	0	34	0	0	0	0	0	0	81	29	0	0	0	0	0	0	0	0	0	0	9	0	0	0
1121	1155	"Ivanovskoye Peat Bog"	56.81667	38.76667	64	"AWI"	64	3034	4986	3950	8	1	0	3	0	0	0	0	0	0	33	0	0	1	0	0	0	61	17	2	0	0	0	0	0	0	1	0	0	13	0	0	0
1121	1155	"Ivanovskoye Peat Bog"	56.81667	38.76667	70	"AWI"	70	3214	5583	4475	14	1	0	0	0	0	0	0	0	3	19	0	0	0	0	0	0	35	21	0	0	0	0	0	0	0	0	0	0	27	0	0	0
