"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Juniperus"	"Onagraceae"	"Orobanchaceae"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Sorbus"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
2977	3879	"Allt na Feithe Sheilich"	57.31333	-3.90841	100	"AWI"	100	2379	4382	3449	34	0	0	0	0	0	49	0	0	0	0	49	9	0	0	0	0	0	0	0	52	0	6	0	12	0	0	0	1	1	0	0	0	3	0	0
2977	3879	"Allt na Feithe Sheilich"	57.31333	-3.90841	110	"AWI"	110	2778	4667	3800	32	0	0	0	0	0	41	0	0	0	0	44	6	0	0	0	0	0	0	0	65	0	7	0	12	0	0	0	0	0	0	0	0	0	0	0
2977	3879	"Allt na Feithe Sheilich"	57.31333	-3.90841	120	"AWI"	120	3153	4899	4151	12	0	0	0	0	0	45	0	0	0	0	34	7	0	0	0	1	0	0	0	71	0	6	0	15	0	0	0	0	1	0	0	0	6	0	0
2977	3879	"Allt na Feithe Sheilich"	57.31333	-3.90841	130	"AWI"	130	3564	5128	4509	38	0	0	0	0	0	115	0	0	0	0	69	12	0	0	0	1	0	0	0	109	0	9	0	21	0	0	0	1	2	0	0	1	15	0	0
2977	3879	"Allt na Feithe Sheilich"	57.31333	-3.90841	135	"AWI"	135	3901	5215	4667	11	0	0	0	0	0	49	0	0	0	0	41	24	0	0	0	0	0	0	0	115	0	11	0	15	0	0	0	0	2	0	0	0	10	0	0
2977	3879	"Allt na Feithe Sheilich"	57.31333	-3.90841	140	"AWI"	140	4096	5362	4846	22	0	0	0	0	0	56	0	0	0	0	37	103	0	0	0	0	0	0	0	102	0	16	0	13	0	0	0	1	0	0	0	0	7	0	0
2977	3879	"Allt na Feithe Sheilich"	57.31333	-3.90841	145	"AWI"	145	4536	5427	4990	30	0	0	0	0	0	86	0	0	0	0	70	56	0	0	0	0	0	0	8	98	0	36	0	24	2	0	0	2	5	0	0	0	21	0	0
2977	3879	"Allt na Feithe Sheilich"	57.31333	-3.90841	150	"AWI"	150	4831	5550	5169	15	0	0	0	0	0	69	0	0	0	0	62	12	80	0	0	0	0	0	2	96	0	12	0	7	0	0	0	1	1	0	0	0	13	0	0
2977	3879	"Allt na Feithe Sheilich"	57.31333	-3.90841	155	"AWI"	155	5057	6196	5556	20	0	0	0	0	0	68	0	0	0	0	55	4	0	0	0	0	0	0	7	190	0	9	0	11	0	0	0	1	0	0	0	0	10	0	0
2977	3879	"Allt na Feithe Sheilich"	57.31333	-3.90841	160	"AWI"	160	5166	7135	5928	9	0	0	0	0	0	81	0	0	0	0	62	12	62	0	0	0	0	0	0	95	0	21	0	8	0	0	0	0	0	0	0	0	7	0	0
