"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Ilex"	"Indeterminable"	"Lamiaceae"	"Lythraceae"	"Malvaceae"	"Myrica"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Scrophulariaceae"	"Solanaceae"	"Sorbus"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
23791	41216	"The Dowels Walland marsh"	51.04361	0.82806	94	"AWI"	94	1532	2223	1902	66	25	1	0	2	0	34	5	0	0	84	66	0	0	0	0	0	0	0	8	0	0	0	0	7	0	0	0	0	93	2	0	0	0	0	3	0	0	0	0	0	0	4	0	0
23791	41216	"The Dowels Walland marsh"	51.04361	0.82806	110	"AWI"	110	1951	2497	2236	8	3	10	0	0	0	12	1	0	0	19	119	0	0	0	0	0	1	0	8	0	0	0	0	1	0	1	0	0	41	2	0	0	0	0	2	0	0	0	0	0	0	1	0	1
23791	41216	"The Dowels Walland marsh"	51.04361	0.82806	114	"AWI"	114	2066	2566	2309	67	11	6	0	1	0	16	4	0	0	20	102	0	0	0	0	3	2	0	7	0	3	2	1	2	0	0	0	0	24	7	11	0	4	0	11	0	0	0	0	0	0	0	0	3
23791	41216	"The Dowels Walland marsh"	51.04361	0.82806	118	"AWI"	118	2174	2638	2383	125	3	0	0	0	0	16	5	0	0	25	29	0	0	0	0	1	1	0	10	0	0	0	2	0	0	0	0	0	16	1	2	0	2	0	13	0	0	0	0	0	0	0	0	2
23791	41216	"The Dowels Walland marsh"	51.04361	0.82806	122	"AWI"	122	2242	2702	2458	210	1	1	0	0	0	37	0	0	0	32	56	0	0	0	2	3	0	0	2	0	0	0	11	0	0	0	0	0	13	2	0	0	1	0	54	0	0	0	0	0	0	1	1	3
23791	41216	"The Dowels Walland marsh"	51.04361	0.82806	126	"AWI"	126	2296	2774	2526	243	1	0	2	1	0	6	2	3	0	41	5	0	0	0	3	7	6	0	11	0	0	0	4	3	0	0	0	0	36	5	0	0	2	0	9	0	0	0	0	5	0	1	0	7
23791	41216	"The Dowels Walland marsh"	51.04361	0.82806	134	"AWI"	134	2422	2931	2672	226	1	0	0	0	0	15	0	0	0	39	24	0	0	0	4	3	3	0	3	0	1	0	6	0	0	0	0	0	29	0	0	0	2	0	57	0	0	0	0	0	0	1	1	5
23791	41216	"The Dowels Walland marsh"	51.04361	0.82806	142	"AWI"	142	2559	3063	2811	222	3	1	5	0	0	20	4	0	0	42	31	0	0	0	0	2	12	1	10	0	0	0	1	1	0	0	0	0	32	3	0	0	2	0	18	0	0	0	0	2	0	1	0	6
23791	41216	"The Dowels Walland marsh"	51.04361	0.82806	150	"AWI"	150	2695	3194	2958	281	2	2	0	0	0	26	0	0	0	34	20	0	0	0	0	3	1	0	9	0	0	0	1	0	0	0	0	0	31	0	1	0	3	0	10	0	0	0	0	0	1	1	1	24
23791	41216	"The Dowels Walland marsh"	51.04361	0.82806	158	"AWI"	158	2854	3301	3101	294	0	1	4	1	0	43	2	0	0	36	36	0	0	0	0	1	1	0	4	0	0	0	0	0	0	0	0	0	21	2	4	0	4	0	5	0	0	0	0	0	0	1	1	5
23791	41216	"The Dowels Walland marsh"	51.04361	0.82806	166	"AWI"	166	3007	3395	3243	292	0	2	1	2	0	43	0	0	0	51	17	0	0	0	0	1	1	0	2	0	0	0	1	0	0	0	0	0	22	0	0	0	1	0	13	0	0	0	0	0	0	0	0	5
23791	41216	"The Dowels Walland marsh"	51.04361	0.82806	174	"AWI"	174	3191	3487	3388	395	0	1	2	1	0	36	4	0	0	51	7	0	0	0	0	0	7	0	7	0	0	0	0	2	0	0	0	0	33	5	0	0	0	0	7	0	0	0	0	3	0	1	0	0
23791	41216	"The Dowels Walland marsh"	51.04361	0.82806	182	"AWI"	182	3288	3659	3487	235	0	1	0	0	0	65	0	0	0	51	2	0	0	1	0	3	0	0	12	0	0	0	13	1	0	0	0	0	46	2	0	0	0	0	16	0	0	0	0	0	1	0	0	1
23791	41216	"The Dowels Walland marsh"	51.04361	0.82806	190	"AWI"	190	3370	3807	3585	287	2	0	0	1	0	49	3	0	0	69	3	0	0	0	0	0	6	0	8	0	0	0	1	1	0	0	0	0	42	1	0	0	0	0	16	0	0	0	0	0	2	0	1	0
23791	41216	"The Dowels Walland marsh"	51.04361	0.82806	198	"AWI"	198	3468	3926	3688	322	0	1	1	0	0	32	0	0	0	30	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	43	0	0	0	0	0	3	1	0	1
