"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Arctostaphylos"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Cannabaceae"	"Caryophyllaceae"	"Celastraceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fraxinus"	"Grossulariaceae"	"Juniperus"	"Lamiaceae"	"Onagraceae"	"Orobanchaceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rhododendron"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Solanaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
14475	22674	"Lake Mikolajki"	53.77171	21.60414	290	"AWI"	290	7606	9898	8950	0	1	0	0	0	5	0	0	0	7	0	0	0	73	31	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	12	0	4	0	0	0	0	0	0	0	0	0	0	1	35	0
14475	22674	"Lake Mikolajki"	53.77171	21.60414	300	"AWI"	300	7893	10044	9176	0	0	0	0	0	8	0	0	0	1	0	0	0	42	14	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	8	0	2	0	0	0	1	0	0	0	1	1	0	0	53	0
14475	22674	"Lake Mikolajki"	53.77171	21.60414	340	"AWI"	340	9224	10674	10086	0	0	3	0	0	10	0	358	0	4	0	0	0	35	16	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0
14475	22674	"Lake Mikolajki"	53.77171	21.60414	365	"AWI"	365	10227	11001	10600	0	0	1	0	0	0	0	183	0	2	0	0	0	2	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
14475	22674	"Lake Mikolajki"	53.77171	21.60414	385	"AWI"	385	10621	11365	11017	0	0	1	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14475	22674	"Lake Mikolajki"	53.77171	21.60414	400	"AWI"	400	10893	11909	11384	0	0	1	0	0	2	0	70	1	0	0	0	0	0	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1
14475	22674	"Lake Mikolajki"	53.77171	21.60414	420	"AWI"	420	11394	12357	11891	0	0	1	0	0	1	0	0	0	0	0	0	0	0	24	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
14475	22674	"Lake Mikolajki"	53.77171	21.60414	430	"AWI"	430	11746	12529	12157	0	0	16	0	0	52	0	214	0	0	0	0	0	0	388	0	1	0	0	0	0	143	0	1	0	4	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0
14475	22674	"Lake Mikolajki"	53.77171	21.60414	435	"AWI"	435	11931	12591	12305	0	0	24	0	0	90	0	157	0	0	0	0	0	0	272	0	1	0	0	0	0	257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	0	0	0
14475	22674	"Lake Mikolajki"	53.77171	21.60414	440	"AWI"	440	12029	12711	12462	0	0	26	2	0	79	0	208	0	0	0	0	0	0	178	0	0	0	0	0	0	149	0	1	0	1	0	0	0	0	3	0	0	0	0	0	2	0	36	2	0	0	2	0	0	0
14475	22674	"Lake Mikolajki"	53.77171	21.60414	450	"AWI"	450	12414	12933	12738	0	1	13	0	0	38	0	260	0	0	0	0	0	0	102	2	0	0	0	0	0	97	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0
14475	22674	"Lake Mikolajki"	53.77171	21.60414	460	"AWI"	460	12658	13228	12967	0	1	10	0	1	36	0	220	0	0	0	0	0	0	97	1	0	0	0	0	1	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
14475	22674	"Lake Mikolajki"	53.77171	21.60414	475	"AWI"	475	13128	13475	13286	0	0	18	0	0	58	0	262	0	0	0	0	0	1	71	3	1	0	0	0	0	94	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
14475	22674	"Lake Mikolajki"	53.77171	21.60414	500	"AWI"	500	13388	14121	13689	0	0	8	0	0	35	0	358	0	0	0	0	0	0	68	0	0	0	0	0	0	24	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	8	0	0	0
14475	22674	"Lake Mikolajki"	53.77171	21.60414	520	"AWI"	520	13700	14606	14030	0	0	22	0	0	48	0	596	0	0	0	0	10	0	91	34	0	0	0	0	0	58	0	1	0	0	111	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	8	0	0	0
14475	22674	"Lake Mikolajki"	53.77171	21.60414	530	"AWI"	530	13825	14948	14240	1	10	4	0	2	50	0	241	0	0	5	1	3	2	129	103	0	0	0	0	0	5	0	0	0	3	119	0	128	0	0	0	0	0	2	0	2	0	0	0	0	0	4	0	1	0
