"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caryophyllaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Juncaceae"	"Juniperus"	"Lamiaceae"	"Lythraceae"	"Myrica"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhododendron"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Scrophulariaceae"	"Tilia"	"Ulmus"	"Urticaceae"
3198	4154	"Kluki"	54.70694	17.28472	0	"AWI"	0	-139	27	-50	0	0	6	1	1	0	1	0	129	0	0	0	0	0	0	0	0	0	0	3	10	0	0	0	0	0	0	1	3	797	5	0	0	1	0	343	0	2	0	2	0	1	0	0	0	1	0
3198	4154	"Kluki"	54.70694	17.28472	5	"AWI"	5	-94	137	4	0	0	23	2	0	0	2	0	47	0	0	0	0	0	6	2	0	0	0	1	3	0	0	0	0	0	2	1	4	815	3	0	0	1	0	15	0	2	0	1	0	1	0	0	0	0	1
3198	4154	"Kluki"	54.70694	17.28472	10	"AWI"	10	-73	300	55	0	0	76	2	1	0	7	0	100	0	0	0	0	1	12	1	0	436	0	15	0	0	0	0	0	0	3	3	0	491	7	0	0	0	0	22	0	3	0	0	0	0	0	0	0	0	1
3198	4154	"Kluki"	54.70694	17.28472	15	"AWI"	15	-29	333	113	0	0	133	0	0	0	3	0	248	0	0	0	0	1	20	4	0	0	0	14	1	0	0	0	0	0	0	4	3	194	2	0	0	0	0	32	0	0	0	1	0	0	0	0	0	0	0
3198	4154	"Kluki"	54.70694	17.28472	20	"AWI"	20	-10	389	170	0	0	107	1	23	0	7	0	259	0	0	1	0	0	13	4	0	0	0	10	0	1	0	1	0	0	2	7	0	237	3	0	3	1	0	24	0	0	0	0	0	3	0	0	0	2	1
3198	4154	"Kluki"	54.70694	17.28472	25	"AWI"	25	58	422	240	0	0	87	2	0	0	1	0	119	0	0	1	0	0	10	3	0	0	0	9	0	0	0	0	0	0	3	10	2	496	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	2	2
3198	4154	"Kluki"	54.70694	17.28472	30	"AWI"	30	98	508	304	0	0	184	1	0	0	1	0	282	0	0	0	0	0	6	9	0	321	0	28	0	4	0	0	0	0	9	17	0	177	0	0	0	0	1	40	0	0	0	0	0	1	0	0	0	0	1
3198	4154	"Kluki"	54.70694	17.28472	35	"AWI"	35	179	577	377	0	141	251	1	1	0	4	0	27	0	0	0	0	14	16	15	0	315	0	0	1	0	0	0	0	0	6	0	1	318	3	0	0	0	0	34	0	1	0	2	0	0	0	0	0	5	1
3198	4154	"Kluki"	54.70694	17.28472	40	"AWI"	40	218	706	460	0	0	191	1	1	0	3	0	204	0	1	0	0	0	9	16	0	127	0	22	0	0	0	0	0	0	3	14	1	163	0	0	0	0	0	43	0	5	0	1	0	2	0	0	0	2	0
3198	4154	"Kluki"	54.70694	17.28472	45	"AWI"	45	316	744	538	0	0	192	0	0	0	0	0	244	2	0	1	0	0	18	15	0	0	0	28	0	2	0	0	0	0	2	18	1	149	5	0	0	0	0	76	0	1	0	0	0	2	0	0	0	4	1
