"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cedrus"	"Cistaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Ilex"	"Indeterminable"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Liliaceae"	"Oleaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Platanus"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
16168	25481	"Lac des Boites"	45.05611	5.88528	170	"AWI"	170	2286	2838	2592	34	3	44	0	0	0	0	0	36	0	0	1	3	0	0	1	0	0	0	13	0	0	3	0	0	0	0	48	0	0	0	0	0	0	0	13	1	0	0	0	0	0	0	0	126	36	0	0	0	0	42	0	1	0	23	0	1	0	0	0	5	3	0	1	0	1	0	1	1	1	11	0	2
16168	25481	"Lac des Boites"	45.05611	5.88528	180	"AWI"	180	2369	2944	2674	32	0	23	0	0	0	8	0	52	0	0	0	0	0	0	2	0	0	0	17	0	10	0	0	0	0	0	37	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	136	0	0	0	0	0	25	0	0	0	29	2	0	0	0	0	4	0	0	1	1	2	0	0	0	2	12	0	0
16168	25481	"Lac des Boites"	45.05611	5.88528	185	"AWI"	185	2413	2987	2716	26	0	0	1	0	0	4	0	80	0	0	0	0	0	0	2	0	0	0	41	2	25	0	0	0	0	0	49	0	1	0	0	0	0	0	10	6	0	0	0	0	0	0	3	168	28	0	0	0	0	52	0	0	0	35	0	3	0	0	1	6	4	0	0	0	0	0	0	3	1	25	0	0
16168	25481	"Lac des Boites"	45.05611	5.88528	190	"AWI"	190	2448	3047	2757	43	3	16	3	0	0	5	0	45	0	0	0	0	0	0	1	0	0	0	7	0	9	2	0	0	0	0	43	0	0	0	0	0	0	0	18	2	0	1	0	1	0	0	1	139	0	0	0	0	0	15	0	0	0	23	0	2	0	0	1	1	1	0	0	0	0	0	0	2	2	9	0	0
16168	25481	"Lac des Boites"	45.05611	5.88528	195	"AWI"	195	2488	3087	2802	14	0	0	0	0	0	1	0	7	0	0	1	0	0	0	1	0	0	0	1	0	4	0	0	0	0	0	14	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	16	0	2	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0
16168	25481	"Lac des Boites"	45.05611	5.88528	200	"AWI"	200	2524	3141	2845	37	3	41	0	0	0	5	0	9	0	0	1	0	0	0	1	0	0	0	14	0	7	0	0	4	0	0	81	0	1	0	0	0	0	0	3	0	0	0	0	1	0	0	2	156	0	0	0	0	0	33	0	0	0	24	0	0	0	0	0	4	0	0	0	0	0	0	2	1	3	10	0	1
16168	25481	"Lac des Boites"	45.05611	5.88528	205	"AWI"	205	2563	3190	2887	47	3	0	0	0	0	9	0	28	0	0	1	0	0	0	6	0	0	0	14	0	11	0	0	0	0	0	45	0	2	0	0	0	0	0	11	0	0	0	0	0	0	0	3	163	29	0	0	0	0	33	0	0	0	29	0	1	0	0	0	3	2	0	2	0	0	0	2	4	2	14	0	1
16168	25481	"Lac des Boites"	45.05611	5.88528	210	"AWI"	210	2601	3244	2929	32	1	47	0	0	0	1	0	18	0	0	1	0	0	0	0	0	0	0	7	0	9	0	0	0	0	0	65	0	4	0	0	0	0	0	1	0	0	0	0	1	0	0	0	129	0	0	0	0	0	34	0	0	1	23	2	0	0	0	0	5	1	0	0	0	1	0	2	2	2	7	0	0
16168	25481	"Lac des Boites"	45.05611	5.88528	215	"AWI"	215	2649	3279	2972	38	0	0	0	0	0	1	0	26	0	0	1	0	0	0	0	0	0	0	32	0	13	1	0	0	0	0	99	0	3	0	0	0	0	0	2	2	0	1	0	0	0	0	5	125	0	0	0	0	0	27	0	0	0	33	3	2	0	0	1	4	1	0	0	0	0	0	0	2	7	4	0	0
16168	25481	"Lac des Boites"	45.05611	5.88528	220	"AWI"	220	2680	3333	3014	26	0	53	0	0	0	3	0	10	0	0	0	0	0	0	0	0	0	0	14	0	2	0	0	0	0	0	105	0	1	0	0	0	0	0	4	3	0	0	0	0	0	0	2	84	19	0	0	0	0	23	0	0	0	23	1	0	0	0	0	4	0	0	1	0	1	0	0	0	6	3	0	0
