"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Crataegus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Indeterminable"	"Juniperus"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Thalictrum"	"Ulmus"
23885	41417	"Llyn Gwernan"	52.72556	-3.92139	1000	"AWI"	1000	11342	11991	11594	0.319488817891374	0	0.319488817891374	0	0	14.6964856230032	0	0	0	61.9808306709265	0	2.87539936102236	0	0	3.51437699680511	0	4.47284345047923	0	2.55591054313099	2.87539936102236	0	0	0	1.2779552715655	3.83386581469649	0	0.319488817891374	0.958466453674121
23885	41417	"Llyn Gwernan"	52.72556	-3.92139	1010	"AWI"	1010	11477	12225	11765	0	0	0	0	0	18.0921052631579	0	0	0	64.1447368421053	0	0.657894736842105	0	0	2.63157894736842	0	5.59210526315789	0	1.64473684210526	2.30263157894737	0	0	0	0.657894736842105	2.96052631578947	0	0	1.31578947368421
23885	41417	"Llyn Gwernan"	52.72556	-3.92139	1017	"AWI"	1017	11619	12565	12071	0	0	0	0	0	16.7785234899329	0	0	0	66.1073825503356	0	1.67785234899329	0	0	0	0.335570469798658	3.02013422818792	0	3.69127516778524	1.34228187919463	0	0	0	1.67785234899329	5.03355704697987	0	0	0.335570469798658
23885	41417	"Llyn Gwernan"	52.72556	-3.92139	1025	"AWI"	1025	11759	12916	12502	0	0	0	0	0	20.7357859531773	0	0	0	63.2107023411371	0	2.0066889632107	0	0	0	0	3.01003344481605	0	2.34113712374582	1.00334448160535	0	0	0	0	7.35785953177258	0	0	0.334448160535117
23885	41417	"Llyn Gwernan"	52.72556	-3.92139	1028	"AWI"	1028	11795	12993	12693	0	0	0	0	0	23.3898305084746	0	0	0	52.5423728813559	1.01694915254237	2.03389830508475	0	0	0	0.338983050847458	3.72881355932203	0	5.76271186440678	4.06779661016949	0	0	0	1.01694915254237	2.3728813559322	0	0	3.72881355932203
23885	41417	"Llyn Gwernan"	52.72556	-3.92139	1032	"AWI"	1032	11852	13112	12831	0	0	0	0	0	31.5254237288136	0	0	0	43.0508474576271	0	3.72881355932203	0	0	0	1.35593220338983	3.72881355932203	0	8.47457627118644	2.71186440677966	0	0	0	0.338983050847458	4.74576271186441	0	0	0.338983050847458
23885	41417	"Llyn Gwernan"	52.72556	-3.92139	1045	"AWI"	1045	12004	13349	12979	0	0	0	0	0	40.625	0	0	0	18.0555555555556	0	5.55555555555556	0	0	0	5.20833333333333	4.86111111111111	0	12.1527777777778	0.347222222222222	0	0	0	2.43055555555556	10.7638888888889	0	0	0
23885	41417	"Llyn Gwernan"	52.72556	-3.92139	1047	"AWI"	1047	12025	13381	13000	0	0	0	0.350877192982456	0	32.280701754386	0.350877192982456	0	0	9.82456140350877	0	5.6140350877193	0	0	0	10.8771929824561	10.1754385964912	0	21.0526315789474	0.350877192982456	0.701754385964912	0	0.701754385964912	0.350877192982456	7.01754385964912	0	0.350877192982456	0
23885	41417	"Llyn Gwernan"	52.72556	-3.92139	1049	"AWI"	1049	12048	13422	13018	0	0	0	1.54440154440154	0	10.03861003861	0	0	0	1.93050193050193	0	9.26640926640927	0	0	0	26.2548262548263	4.24710424710425	0	33.976833976834	0	0.772200772200772	0	0	6.94980694980695	4.24710424710425	0	0.772200772200772	0
23885	41417	"Llyn Gwernan"	52.72556	-3.92139	1051	"AWI"	1051	12074	13452	13039	0	0	0	1.07142857142857	0	4.28571428571429	0.357142857142857	0	0	0	0	16.0714285714286	0.714285714285714	0	0	30.3571428571429	3.92857142857143	0	35.7142857142857	0	0.714285714285714	0	0	3.92857142857143	2.5	0	0.357142857142857	0
23885	41417	"Llyn Gwernan"	52.72556	-3.92139	1052	"AWI"	1052	12086	13467	13053	0	0.699300699300699	0	1.3986013986014	0	4.54545454545455	0.34965034965035	0	0.34965034965035	0.699300699300699	0	19.2307692307692	3.4965034965035	0	0	25.8741258741259	2.44755244755245	0	29.020979020979	0	0.699300699300699	0	0.699300699300699	6.99300699300699	2.7972027972028	0	0.699300699300699	0
23885	41417	"Llyn Gwernan"	52.72556	-3.92139	1054	"AWI"	1054	12116	13493	13076	0	0.340136054421769	0.680272108843537	0.680272108843537	0	7.14285714285714	0	0	0.340136054421769	0	0	21.4285714285714	6.12244897959184	0	0	21.7687074829932	5.4421768707483	0	18.7074829931973	0	0	0	1.36054421768707	12.5850340136054	2.72108843537415	0	0.680272108843537	0
23885	41417	"Llyn Gwernan"	52.72556	-3.92139	1056	"AWI"	1056	12138	13522	13097	0	0.353356890459364	0	1.41342756183746	1.41342756183746	3.18021201413428	0	0	0.706713780918728	1.76678445229682	0	32.5088339222615	0	0.353356890459364	2.47349823321555	7.42049469964664	7.77385159010601	0	24.7349823321555	0	0	0	0	13.4275618374558	2.47349823321555	0	0	0
23885	41417	"Llyn Gwernan"	52.72556	-3.92139	1058	"AWI"	1058	12159	13559	13117	0	0	0	14.0939597315436	0	8.05369127516778	0	0	0.335570469798658	0.335570469798658	0	34.2281879194631	0	0	1.34228187919463	0.671140939597315	4.02684563758389	0	20.1342281879195	0	0	0	0	9.06040268456376	6.71140939597315	0	1.00671140939597	0
