"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cedrus"	"Cistaceae"	"Corylus"	"Crassulaceae"	"Crataegus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Genista"	"Gentianaceae"	"Hypericaceae"	"Ilex"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Linaceae"	"Olea"	"Orobanchaceae"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Prunus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Resedaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Scrophulariaceae"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
26051	45186	"Arroyo de Navalacarreta"	40.85222	-4.03111	1	"AWI"	1	-118	46	-43	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	28	0	0	0	0	1	0	1	0	1	0	0	0	3	0	350	0	0	0	0	0	6	1	1	0	0	0	0	0	1	1	0	0	0	0
26051	45186	"Arroyo de Navalacarreta"	40.85222	-4.03111	4	"AWI"	4	-98	66	-22	0	0	1	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	38	0	0	0	1	1	0	0	0	0	0	0	1	4	0	405	0	0	0	0	0	3	0	3	0	0	1	0	0	0	1	0	0	0	0
26051	45186	"Arroyo de Navalacarreta"	40.85222	-4.03111	8	"AWI"	8	-82	113	6	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	34	0	0	0	0	3	0	0	0	0	0	0	0	2	0	442	3	0	0	0	0	3	1	1	0	0	1	0	0	0	0	0	0	0	0
26051	45186	"Arroyo de Navalacarreta"	40.85222	-4.03111	12	"AWI"	12	-71	176	31	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	45	0	0	0	2	1	0	0	0	1	0	0	0	2	0	413	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	1
26051	45186	"Arroyo de Navalacarreta"	40.85222	-4.03111	16	"AWI"	16	-63	242	56	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	1	76	0	0	0	0	0	0	0	0	0	0	0	0	2	0	327	0	0	0	0	0	5	0	2	0	0	1	2	1	0	0	0	0	0	0
26051	45186	"Arroyo de Navalacarreta"	40.85222	-4.03111	20	"AWI"	20	-36	264	88	0	1	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	1	1	53	0	0	0	1	2	0	0	0	3	0	0	0	3	0	354	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
26051	45186	"Arroyo de Navalacarreta"	40.85222	-4.03111	24	"AWI"	24	-16	294	119	0	1	0	0	0	1	0	4	0	1	0	2	0	0	0	0	0	3	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	364	0	29	0	1	0	1	2	0	0	0	0	4	0	0	0	0	0	0	0
26051	45186	"Arroyo de Navalacarreta"	40.85222	-4.03111	28	"AWI"	28	-1	335	150	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	1	0	17	0	0	0	1	0	0	0	0	1	1	0	0	1	0	326	0	0	0	0	0	5	2	0	0	0	0	0	0	0	1	0	0	0	0
26051	45186	"Arroyo de Navalacarreta"	40.85222	-4.03111	32	"AWI"	32	17	376	178	0	0	0	0	0	5	0	0	0	1	0	0	0	0	0	0	2	1	1	8	0	0	0	0	1	1	0	0	1	0	1	0	0	0	418	0	0	0	0	1	6	2	2	0	0	0	1	0	0	0	0	0	0	0
26051	45186	"Arroyo de Navalacarreta"	40.85222	-4.03111	36	"AWI"	36	44	390	208	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	1	3	0	13	0	0	0	0	0	0	0	0	0	0	0	0	1	0	496	0	0	0	0	0	5	2	2	0	0	0	0	0	0	0	0	0	0	0
26051	45186	"Arroyo de Navalacarreta"	40.85222	-4.03111	40	"AWI"	40	66	404	241	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	2	3	0	20	0	0	0	0	0	0	0	0	2	0	0	0	2	0	479	0	0	0	1	0	8	1	4	0	0	1	1	0	0	0	0	0	0	0
26051	45186	"Arroyo de Navalacarreta"	40.85222	-4.03111	44	"AWI"	44	83	429	271	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	2	0	2	0	15	0	0	1	0	0	0	0	0	4	0	0	0	1	0	399	0	0	0	2	0	5	0	1	0	0	0	2	0	0	0	0	0	0	0
26051	45186	"Arroyo de Navalacarreta"	40.85222	-4.03111	48	"AWI"	48	115	450	300	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	26	0	0	0	0	1	0	0	0	3	0	0	0	2	0	449	0	0	0	0	0	2	0	2	0	0	0	2	0	0	0	0	0	0	0
26051	45186	"Arroyo de Navalacarreta"	40.85222	-4.03111	52	"AWI"	52	151	458	329	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	1	3	1	20	0	0	0	2	1	0	0	0	3	0	0	0	0	0	553	0	0	0	0	0	2	0	1	0	0	0	3	0	0	0	0	0	0	0
26051	45186	"Arroyo de Navalacarreta"	40.85222	-4.03111	56	"AWI"	56	177	471	362	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	2	1	17	0	0	0	0	1	0	0	0	1	0	0	0	1	0	366	0	0	0	1	0	1	1	1	0	0	0	3	0	0	0	0	0	0	0
26051	45186	"Arroyo de Navalacarreta"	40.85222	-4.03111	62	"AWI"	62	213	498	409	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	3	2	5	0	27	0	0	0	0	0	0	0	0	1	0	0	0	0	0	393	0	0	0	0	0	7	0	3	0	0	2	0	0	1	0	0	0	0	0
26051	45186	"Arroyo de Navalacarreta"	40.85222	-4.03111	64	"AWI"	64	246	501	421	0	0	1	0	0	3	0	0	0	0	1	0	0	0	0	0	0	4	0	24	0	0	0	3	0	0	0	0	1	0	0	0	0	0	349	0	0	0	0	0	5	1	2	0	0	1	2	0	0	1	0	0	0	0
