"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Corylus"	"Crataegus"	"Cyperaceae"	"Ericales"	"Eucalyptus"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Geraniaceae"	"Hypericaceae"	"Ilex"	"Indeterminable"	"Juglans"	"Juncaceae"	"Juniperus"	"Lamiaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Pinus"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Scrophulariaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
23852	41345	"The Mere Stow Bedon"	52.52944	0.87389	250	"AWI"	250	2466	2940	2726	0	133	3	0	1	1	0	0	5	0	0	0	0	0	0	351	0	27	0	2157	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	4	0	0	77	0	0	0	0	0	128	0	0	0	0	0	3	0	0	1	0	6	0	22	23	0	0
23852	41345	"The Mere Stow Bedon"	52.52944	0.87389	254	"AWI"	254	2575	3390	2883	0	146	1	0	3	1	0	0	7	0	0	0	0	0	0	456	0	19	0	1771	0	0	1	0	24	0	0	0	0	0	0	0	0	0	0	1	7	0	0	61	0	0	0	0	0	175	0	0	0	0	0	8	0	0	0	0	7	0	18	17	0	0
23852	41345	"The Mere Stow Bedon"	52.52944	0.87389	258	"AWI"	258	2685	3706	3076	0	177	0	0	5	0	0	0	5	0	0	0	0	0	0	491	0	10	0	1485	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	6	0	0	34	0	0	0	0	0	216	0	0	0	2	0	3	0	0	0	0	6	0	18	31	0	1
23852	41345	"The Mere Stow Bedon"	52.52944	0.87389	262	"AWI"	262	2804	3928	3265	0	207	2	0	4	0	0	0	0	0	1	0	0	0	0	461	0	11	0	1718	0	0	0	0	36	0	0	1	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	246	0	0	0	0	0	3	2	0	0	0	5	0	23	20	0	0
23852	41345	"The Mere Stow Bedon"	52.52944	0.87389	266	"AWI"	266	2935	4144	3452	0	205	0	0	4	0	0	0	0	0	0	0	0	0	0	456	0	15	0	1918	0	0	0	1	35	0	0	0	0	1	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	220	0	0	0	0	0	1	0	0	0	0	7	0	28	19	0	1
23852	41345	"The Mere Stow Bedon"	52.52944	0.87389	270	"AWI"	270	3057	4385	3670	0	146	0	0	0	0	0	181	0	0	0	0	0	0	0	272	0	7	0	1221	0	0	0	2	54	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	248	0	0	0	0	0	1	0	0	0	0	2	0	31	45	0	0
23852	41345	"The Mere Stow Bedon"	52.52944	0.87389	274	"AWI"	274	3211	4571	3874	0	166	0	0	9	0	0	0	0	2	0	0	0	0	0	284	0	3	0	1024	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	261	0	0	0	0	0	2	0	0	0	0	1	1	25	48	0	0
23852	41345	"The Mere Stow Bedon"	52.52944	0.87389	278	"AWI"	278	3377	4790	4060	0	169	0	0	1	0	0	0	0	0	1	0	0	0	0	406	0	9	0	1385	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	247	0	0	0	0	0	3	0	0	0	0	14	0	25	16	0	0
23852	41345	"The Mere Stow Bedon"	52.52944	0.87389	282	"AWI"	282	3532	4989	4248	0	195	0	0	2	0	0	0	0	0	0	0	0	0	0	406	0	4	0	1397	0	0	0	3	40	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	231	0	0	0	0	0	6	0	0	0	0	1	0	20	31	0	0
23852	41345	"The Mere Stow Bedon"	52.52944	0.87389	286	"AWI"	286	3705	5181	4448	0	178	1	0	1	1	0	0	0	0	0	0	0	0	1	294	0	5	0	1174	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	1	0	245	0	0	0	0	0	3	2	0	0	0	3	0	37	29	0	0
