"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Caryophyllaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ericales"	"Indeterminable"	"Onagraceae"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"
14492	22698	"Wag"	58.2	-3.65	255	"AWI"	255	12924	13179	13034	0	0	0	0	0	0	1	0	231	0	9	0	2	0	103	0	0	0	0	0	1	14
14492	22698	"Wag"	58.2	-3.65	251	"AWI"	251	12782	13013	12870	2	0	0	0	5	0	5	0	102	9	9	0	2	0	40	1	0	0	0	0	3	6
14492	22698	"Wag"	58.2	-3.65	256	"AWI"	256	12961	13223	13074	0	0	0	5	0	0	5	1	361	0	19	0	0	1	67	0	1	0	0	0	7	36
14492	22698	"Wag"	58.2	-3.65	257	"AWI"	257	13000	13259	13115	1	0	1	11	2	0	1	7	134	0	40	0	1	0	87	0	0	0	6	0	13	101
14492	22698	"Wag"	58.2	-3.65	261.5	"AWI"	261.5	13176	13439.5	13294.5	1	1	0	98	4	0	0	0	630	0	6	1	2	0	417	0	0	0	4	0	0	62
14492	22698	"Wag"	58.2	-3.65	260	"AWI"	260	13117	13382	13235	0	0	2	166	4	0	0	0	996	0	27	0	1	0	660	0	0	0	16	0	0	27
14492	22698	"Wag"	58.2	-3.65	253	"AWI"	253	12851	13097	12953	0	4	0	5	14	0	5	0	531	23	30	2	7	0	123	0	0	1	56	1	0	12
