"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Indeterminable"	"Juniperus"	"Lamiaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rhododendron"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
13338	19913	"Abborrtjärnen"	63.88333	14.45	708	"AWI"	708	1579	2000	1776	0	40	1	0	0	0	288	0	1	0	0	1	2	0	7	0	0	0	1	0	0	0	0	3	9	0	0	0	1	0	0	519	0	0	0	0	0	1	0	0	0	0	2	3	0	0	0	1	0	0
13338	19913	"Abborrtjärnen"	63.88333	14.45	712	"AWI"	712	1649	2064	1854	0	38	0	0	1	0	274	0	0	0	0	0	1	0	11	0	0	0	1	0	1	0	0	0	7	0	0	0	1	0	225	506	0	0	0	2	0	1	0	0	0	0	1	5	0	0	0	0	0	0
13338	19913	"Abborrtjärnen"	63.88333	14.45	716	"AWI"	716	1719	2124	1929	0	28	0	0	2	0	277	0	0	0	0	1	0	0	10	0	0	0	0	0	0	0	0	3	11	0	0	0	1	0	0	569	0	0	0	5	0	3	0	1	0	0	2	3	0	1	0	1	0	0
13338	19913	"Abborrtjärnen"	63.88333	14.45	720	"AWI"	720	1791	2181	2003	1	49	0	0	0	0	368	0	0	0	0	0	1	0	10	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	442	0	0	0	2	0	6	0	0	0	0	4	2	3	1	0	0	0	0
13338	19913	"Abborrtjärnen"	63.88333	14.45	724	"AWI"	724	1875	2245	2077	0	34	0	0	0	0	415	0	0	0	0	0	9	0	6	0	0	0	0	0	0	0	0	1	9	0	0	0	3	0	0	472	0	0	0	2	0	3	0	0	0	0	0	4	1	0	0	1	0	0
13338	19913	"Abborrtjärnen"	63.88333	14.45	728	"AWI"	728	1960	2293	2153	0	24	0	0	0	0	359	0	0	0	0	0	3	0	7	0	0	0	1	0	1	0	0	1	7	0	0	0	0	0	207	469	0	0	0	3	0	4	0	0	0	0	1	0	2	1	1	0	0	0
13338	19913	"Abborrtjärnen"	63.88333	14.45	732	"AWI"	732	2109	2316	2220	0	39	1	0	0	0	362	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	1	9	0	0	0	0	0	0	465	0	0	0	5	0	1	0	0	0	0	0	4	0	1	0	3	0	0
13338	19913	"Abborrtjärnen"	63.88333	14.45	734	"AWI"	734	2162	2355	2264	0	13	0	0	0	0	344	0	0	0	0	0	1	0	7	0	0	0	0	0	1	0	0	0	6	0	0	0	0	0	0	452	0	0	0	2	0	2	0	0	0	0	0	2	3	0	0	2	0	0
13338	19913	"Abborrtjärnen"	63.88333	14.45	736	"AWI"	736	2191	2464	2323	0	34	0	0	0	0	421	0	0	0	0	0	3	0	12	0	0	0	0	0	0	0	0	1	9	0	0	0	0	0	0	577	0	0	0	5	0	2	0	0	0	0	1	4	2	0	0	3	0	0
13338	19913	"Abborrtjärnen"	63.88333	14.45	738	"AWI"	738	2209	2595	2369	0	43	0	0	0	0	423	0	0	0	0	0	1	0	9	0	0	0	2	0	1	0	0	0	6	0	0	0	0	0	0	448	0	0	0	8	0	1	0	0	0	0	0	6	1	0	0	4	0	0
