"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Genista"	"Gentianaceae"	"Ilex"	"Juglans"	"Lamiaceae"	"Olea"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Scrophulariaceae"	"Sorbus"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
15894	25466	"Tourbière des Narses Mortes"	44.43333	3.6	2	"AWI"	2	-98	98	-10	2	0	2	1	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	81	0	0	0	0	10	1	0	0	2	0	1	0	0	0	0	0	0
15894	25466	"Tourbière des Narses Mortes"	44.43333	3.6	4	"AWI"	4	-80	186	25	1	0	4	1	1	0	0	0	8	1	0	0	0	4	0	0	4	1	0	53	0	0	0	0	0	0	0	1	0	3	0	0	0	130	0	0	123	0	24	4	0	0	5	0	1	0	0	0	0	0	0
15894	25466	"Tourbière des Narses Mortes"	44.43333	3.6	6	"AWI"	6	-55	256	62	0	0	3	1	0	0	2	0	6	0	0	0	0	6	0	0	4	2	0	55	0	0	2	0	0	0	0	0	0	0	0	0	0	136	0	0	122	0	23	4	0	0	9	0	1	0	0	0	0	0	0
15894	25466	"Tourbière des Narses Mortes"	44.43333	3.6	8	"AWI"	8	-32	306	103	1	0	3	0	1	0	0	0	6	0	0	0	0	3	0	0	6	3	0	44	0	0	0	0	0	0	0	0	0	3	0	0	0	139	0	0	130	0	26	1	0	0	5	2	1	0	0	0	0	0	0
15894	25466	"Tourbière des Narses Mortes"	44.43333	3.6	10	"AWI"	10	-17	379	140	1	0	4	2	0	0	1	0	3	2	0	0	0	10	0	0	5	2	0	39	0	0	0	0	0	0	0	0	0	2	0	0	0	77	0	0	149	0	37	4	0	0	10	1	1	0	0	0	0	1	0
15894	25466	"Tourbière des Narses Mortes"	44.43333	3.6	12	"AWI"	12	20	416	181	0	0	6	2	1	0	2	0	1	2	0	0	0	9	0	0	5	3	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	24	1	0	0	21	0	1	0	0	0	0	1	0
15894	25466	"Tourbière des Narses Mortes"	44.43333	3.6	14	"AWI"	14	47	464	223	1	0	0	1	2	0	1	0	3	1	0	0	0	6	0	2	5	6	0	41	0	0	1	0	0	0	0	1	0	3	0	0	0	90	0	0	0	0	20	3	0	0	13	5	0	0	0	0	1	0	0
15894	25466	"Tourbière des Narses Mortes"	44.43333	3.6	16	"AWI"	16	74	508	264	0	0	2	1	1	1	0	0	1	0	0	0	0	8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	46	0	0	0	0	15	1	0	0	7	6	0	0	0	0	0	2	0
15894	25466	"Tourbière des Narses Mortes"	44.43333	3.6	18	"AWI"	18	102	539	306	0	0	2	1	1	0	0	0	4	0	0	0	0	3	0	0	2	6	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	37	0	0	68	0	11	2	0	0	3	4	0	0	0	0	1	1	0
15894	25466	"Tourbière des Narses Mortes"	44.43333	3.6	20	"AWI"	20	122	586	345	0	0	0	0	1	0	0	0	2	0	0	0	0	5	0	0	0	7	0	8	0	0	0	0	0	0	0	0	0	3	0	1	0	17	0	0	0	0	10	1	0	0	2	0	0	0	0	0	0	0	0
15894	25466	"Tourbière des Narses Mortes"	44.43333	3.6	22	"AWI"	22	163	613	387	1	0	2	3	2	0	6	0	9	0	0	0	0	0	0	0	3	3	0	6	0	0	5	0	0	0	0	1	0	2	0	0	0	83	0	0	96	0	19	1	0	0	2	1	0	0	0	0	0	0	1
15894	25466	"Tourbière des Narses Mortes"	44.43333	3.6	24	"AWI"	24	198	651	428	2	0	3	1	1	0	3	0	6	1	0	0	0	15	1	0	4	12	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	94	0	8	120	0	22	3	3	0	1	6	0	0	0	0	0	0	0
15894	25466	"Tourbière des Narses Mortes"	44.43333	3.6	26	"AWI"	26	248	688	468	0	0	8	4	2	0	6	0	16	2	0	0	0	10	0	0	3	14	2	25	0	0	6	1	0	0	0	1	0	7	0	0	1	73	0	0	134	0	21	3	12	0	1	6	0	0	0	1	0	0	0
15894	25466	"Tourbière des Narses Mortes"	44.43333	3.6	28	"AWI"	28	302	720	509	4	0	11	2	4	0	6	0	32	2	0	0	0	13	1	1	13	8	2	67	0	0	12	1	0	0	0	2	0	5	0	0	1	72	1	10	118	0	44	4	13	0	1	4	1	0	0	1	1	2	0
15894	25466	"Tourbière des Narses Mortes"	44.43333	3.6	30	"AWI"	30	341	762	549	1	0	8	2	1	0	4	0	17	3	0	0	2	7	1	0	6	0	0	92	0	0	14	1	0	0	1	2	1	2	0	0	0	47	1	0	151	0	49	1	14	0	2	8	4	0	0	0	2	1	0
15894	25466	"Tourbière des Narses Mortes"	44.43333	3.6	32	"AWI"	32	395	783	586	1	0	5	4	3	0	4	0	23	0	0	0	2	11	0	0	5	18	1	111	0	0	11	0	0	0	0	1	0	5	0	0	0	56	1	0	180	0	64	8	7	0	2	5	0	0	0	1	1	1	0
15894	25466	"Tourbière des Narses Mortes"	44.43333	3.6	34	"AWI"	34	437	812	624	1	0	12	2	1	0	6	0	13	1	0	0	0	8	0	1	8	12	0	68	1	0	11	0	14	0	0	2	0	1	0	0	1	33	0	10	179	0	48	6	7	0	1	15	0	0	0	0	0	2	0
15894	25466	"Tourbière des Narses Mortes"	44.43333	3.6	36	"AWI"	36	498	841	659	1	0	9	1	2	0	5	0	12	1	1	0	0	3	1	0	11	28	0	33	0	0	28	0	64	0	0	1	0	1	0	0	1	25	0	0	155	0	42	2	9	17	2	11	3	0	1	0	1	0	0
15894	25466	"Tourbière des Narses Mortes"	44.43333	3.6	38	"AWI"	38	572	858	691	1	1	10	1	1	0	4	0	15	1	0	3	0	0	0	0	7	72	0	20	0	0	32	0	99	0	0	0	1	1	1	0	1	14	1	0	138	0	56	7	7	0	0	3	6	0	0	1	1	1	0
15894	25466	"Tourbière des Narses Mortes"	44.43333	3.6	40	"AWI"	40	627	886	727	6	0	15	3	5	0	1	0	35	0	0	2	2	1	1	0	21	200	0	13	0	0	54	1	77	0	0	0	0	1	0	0	2	30	0	0	149	0	64	5	5	0	1	3	7	0	0	0	0	1	0
15894	25466	"Tourbière des Narses Mortes"	44.43333	3.6	42	"AWI"	42	720	949	810	2	0	9	0	5	0	1	0	27	0	0	0	0	1	0	0	12	66	0	0	0	0	42	1	22	0	0	0	0	0	0	0	2	35	0	0	126	0	34	1	0	0	1	2	4	0	0	0	2	1	0
15894	25466	"Tourbière des Narses Mortes"	44.43333	3.6	44	"AWI"	44	753	1072	903	2	0	22	1	1	0	2	0	26	1	0	0	0	0	1	0	22	48	1	32	0	0	29	0	2	0	0	1	0	1	1	0	2	43	0	0	0	0	37	1	0	0	0	1	5	0	0	0	0	0	0
15894	25466	"Tourbière des Narses Mortes"	44.43333	3.6	46	"AWI"	46	846	1166	991	5	0	12	1	2	0	1	0	26	0	0	0	0	1	1	0	27	80	0	21	0	0	42	2	1	0	0	0	0	0	1	0	1	34	1	0	154	0	44	3	0	0	1	1	8	0	0	0	4	0	0
15894	25466	"Tourbière des Narses Mortes"	44.43333	3.6	48	"AWI"	48	983	1190	1089	4	0	11	1	2	0	1	0	22	1	0	0	0	0	0	0	22	25	0	11	0	0	38	2	0	0	0	1	1	1	0	0	1	22	0	0	238	0	39	3	8	0	2	5	3	0	0	0	1	1	0
15894	25466	"Tourbière des Narses Mortes"	44.43333	3.6	50	"AWI"	50	1075	1257	1192	6	0	20	0	3	0	2	0	23	0	0	0	0	3	0	2	16	15	0	32	0	0	42	0	0	2	0	0	0	1	1	1	1	48	0	0	199	0	32	4	0	0	0	2	1	0	0	1	0	1	0
15894	25466	"Tourbière des Narses Mortes"	44.43333	3.6	52	"AWI"	52	1116	1269	1216	6	0	23	1	1	0	2	0	21	0	0	0	0	0	1	0	26	65	0	45	1	0	70	1	0	0	0	1	0	0	2	0	1	48	0	0	81	1	25	5	0	0	1	4	0	0	0	0	0	0	0
15894	25466	"Tourbière des Narses Mortes"	44.43333	3.6	54	"AWI"	54	1148	1296	1240	7	0	15	0	2	0	0	0	26	0	0	0	0	0	0	0	14	44	0	42	0	0	63	4	0	0	0	0	0	0	0	0	0	25	0	0	78	0	40	2	2	0	1	3	0	0	0	0	0	0	0
15894	25466	"Tourbière des Narses Mortes"	44.43333	3.6	56	"AWI"	56	1186	1328	1265	17	0	19	1	3	0	0	0	22	0	0	0	0	0	1	0	18	72	0	75	0	0	84	1	0	1	0	0	1	0	0	0	1	34	0	0	103	1	51	4	0	0	0	3	0	0	0	0	0	0	0
15894	25466	"Tourbière des Narses Mortes"	44.43333	3.6	58	"AWI"	58	1226	1351	1290	9	0	18	2	2	0	8	0	29	0	0	0	0	0	0	0	15	48	0	79	0	0	55	2	1	0	0	2	0	1	0	0	3	16	0	0	109	0	51	13	0	0	2	8	1	0	0	2	0	2	1
15894	25466	"Tourbière des Narses Mortes"	44.43333	3.6	60	"AWI"	60	1250	1389	1315	7	0	14	1	1	0	2	0	24	0	0	0	0	0	1	0	9	52	0	68	0	0	43	0	0	0	0	1	0	1	1	0	0	18	0	0	134	0	45	6	5	0	0	13	4	0	0	2	2	0	0
15894	25466	"Tourbière des Narses Mortes"	44.43333	3.6	62	"AWI"	62	1300	1409	1346	23	0	26	0	7	1	5	0	34	2	0	0	0	0	1	0	17	90	0	35	0	0	68	0	0	0	0	0	0	1	0	0	1	34	0	0	67	0	65	5	0	0	0	0	14	0	0	0	2	1	1
15894	25466	"Tourbière des Narses Mortes"	44.43333	3.6	64	"AWI"	64	1319	1460	1377	27	1	25	0	3	0	1	0	31	0	0	0	0	0	0	0	22	27	0	0	0	0	73	0	0	0	0	0	0	0	0	0	1	32	0	0	80	0	50	2	0	0	2	0	2	0	0	0	1	0	0
15894	25466	"Tourbière des Narses Mortes"	44.43333	3.6	66	"AWI"	66	1344	1503	1408	24	0	34	1	0	0	1	0	40	0	0	0	0	0	0	0	17	42	0	15	0	0	73	0	0	0	0	0	0	0	0	0	1	31	0	0	0	0	80	4	3	0	1	2	7	0	0	1	2	0	0
15894	25466	"Tourbière des Narses Mortes"	44.43333	3.6	68	"AWI"	68	1370	1532	1443	22	1	33	1	3	0	1	0	38	0	0	0	0	1	0	1	28	38	1	14	0	0	88	2	0	1	0	0	0	2	0	0	1	31	0	0	0	0	79	5	2	0	0	1	8	0	0	0	1	0	0
15894	25466	"Tourbière des Narses Mortes"	44.43333	3.6	70	"AWI"	70	1389	1583	1476	23	0	21	0	4	0	3	0	31	0	0	0	0	0	1	0	19	46	0	0	0	0	61	1	0	0	0	0	0	1	0	1	2	41	0	0	0	0	49	2	5	0	0	0	9	0	0	0	0	0	0
15894	25466	"Tourbière des Narses Mortes"	44.43333	3.6	72	"AWI"	72	1427	1614	1514	11	1	42	1	2	0	2	0	33	0	0	0	0	0	0	0	25	24	2	29	0	0	69	2	0	0	0	0	0	1	0	0	1	36	0	0	166	0	70	9	4	0	0	2	0	0	0	0	0	0	0
