"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Arbutus"	"Artemisia"	"Asphodelaceae"	"Asteraceae"	"Betula"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Cotinus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Genista"	"Gentianaceae"	"Geraniaceae"	"Heliotropium"	"Juglans"	"Juniperus"	"Lamiaceae"	"Ligustrum"	"Liliaceae"	"Loranthaceae"	"Lythraceae"	"Malvaceae"	"Myrtus"	"Olea"	"Oleaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Phillyrea"	"Picea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Platanus"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Punica"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Viburnum"	"Vitaceae"	"Zygophyllaceae"
15841	24376	"Lake Lerna"	37.577542	22.727804	2	"AWI"	2	-84	88	-1	1	0	1	0	0	1	0	0	2	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	242	0	0	0	0	1	9	0	0	0	0	0	25	0	1	2	0	4	0	5	37	5	0	0	0	15	0	147	4	0	0	0	0	0	0	0	20	83	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0
15841	24376	"Lake Lerna"	37.577542	22.727804	10	"AWI"	10	-34	329	142	8	0	2	0	0	0	0	0	9	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	848	0	11	0	0	0	4	0	0	0	0	0	30	0	0	2	0	1	0	0	41	0	0	0	1	13	0	112	7	0	0	0	0	0	0	0	0	69	0	0	0	0	1	1	0	0	0	0	0	0	1	0	2	0
15841	24376	"Lake Lerna"	37.577542	22.727804	19	"AWI"	19	12	628	300	6	0	1	0	0	2	1	0	6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1150	0	6	6	0	0	0	0	0	0	0	1	20	0	0	2	0	11	0	0	29	0	0	0	0	29	0	96	19	0	0	0	0	0	0	0	54	33	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0
15841	24376	"Lake Lerna"	37.577542	22.727804	26	"AWI"	26	221	673	432	2	3	0	0	0	2	0	0	3	0	0	1	1	0	0	0	0	73	0	0	0	0	0	0	1124	0	12	0	0	3	0	0	0	0	0	3	24	0	0	5	0	0	0	0	16	0	0	0	0	19	1	111	16	0	0	0	0	0	0	0	35	43	0	0	0	0	0	3	0	0	0	0	0	0	1	0	3	0
15841	24376	"Lake Lerna"	37.577542	22.727804	32	"AWI"	32	318	743	545	6	0	0	0	0	4	1	0	16	2	0	0	4	0	0	1	0	99	0	0	0	0	0	0	468	3	16	0	0	2	0	0	0	0	0	5	12	0	0	1	0	3	0	1	8	0	0	0	0	1	3	119	22	0	0	0	0	0	0	1	65	27	0	0	0	0	0	2	0	0	0	0	2	0	0	0	3	0
15841	24376	"Lake Lerna"	37.577542	22.727804	58	"AWI"	58	670	1188	876	7	0	1	29	0	0	0	0	3	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	921	0	19	0	0	2	0	0	0	0	0	2	1	0	0	3	0	3	0	0	10	0	0	0	0	7	0	144	6	0	0	0	0	0	0	0	79	20	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
15841	24376	"Lake Lerna"	37.577542	22.727804	68	"AWI"	68	776	1365	1038	8	0	3	0	0	0	0	0	12	0	0	3	0	0	1	1	0	70	0	0	0	0	2	0	1621	0	16	0	0	0	0	0	0	0	0	0	7	0	1	1	0	4	1	0	19	0	0	0	1	3	0	80	15	0	0	0	359	0	0	0	0	66	0	1	0	0	3	1	0	0	0	1	0	0	2	0	1	0
15841	24376	"Lake Lerna"	37.577542	22.727804	82	"AWI"	82	936	1651	1272	8	0	2	0	0	2	0	0	11	2	0	0	7	3	0	1	0	53	0	0	0	0	3	0	580	0	16	0	0	2	7	0	0	0	0	4	3	0	0	1	0	0	0	0	34	0	0	0	0	14	0	54	16	0	0	0	0	0	0	0	64	66	0	1	0	0	2	3	0	1	0	0	2	0	0	0	1	0
15841	24376	"Lake Lerna"	37.577542	22.727804	92	"AWI"	92	1016	1879	1451	3	0	3	24	0	3	0	1	6	2	0	2	0	0	0	1	0	0	0	0	0	0	2	0	393	0	12	2	0	1	0	0	0	0	0	2	0	0	0	1	0	7	0	0	25	0	0	0	0	11	1	70	12	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
15841	24376	"Lake Lerna"	37.577542	22.727804	97	"AWI"	97	1155	1928	1530	6	0	0	0	0	2	0	0	6	1	0	0	1	0	0	0	0	0	0	0	0	0	5	0	445	0	6	0	0	0	0	0	0	0	0	2	4	0	1	1	0	10	0	0	27	0	0	0	0	12	0	50	12	0	0	0	0	0	0	0	111	57	0	1	0	3	1	0	0	0	0	0	0	0	0	0	0	0
