"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Geraniaceae"	"Juglans"	"Juniperus"	"Lythraceae"	"Myrica"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Taxus"	"Tilia"	"Ulmus"	"Urticaceae"
24042	41766	"Lake Kvarnträsk"	60.34577	19.97168	0.1	"AWI"	0.1	-63.8	435	113.9	0	57	2	0	1	0	198	0	0	0	0	0	2	5	0	0	0	0	0	0	94	0	0	0	0	1	114	637	0	63	0	0	9	0	0	0	0	0	0	1	0	0	1
24042	41766	"Lake Kvarnträsk"	60.34577	19.97168	2.5	"AWI"	2.5	-20.5	463.5	162	0	55	1	0	3	0	202	0	0	0	0	0	0	11	0	0	0	0	0	0	135	0	0	0	0	0	89	665	0	75	0	0	6	0	0	0	0	0	1	1	0	0	0
24042	41766	"Lake Kvarnträsk"	60.34577	19.97168	5	"AWI"	5	8	502	217	0	71	2	0	3	0	197	0	0	1	0	0	4	6	0	0	0	0	0	1	102	0	0	0	0	1	90	604	0	57	1	0	8	0	0	0	0	0	1	1	0	2	0
24042	41766	"Lake Kvarnträsk"	60.34577	19.97168	7.5	"AWI"	7.5	29.5	552.5	267.5	0	67	2	0	1	0	207	0	0	1	0	0	11	6	0	0	0	1	0	0	171	0	1	0	0	1	78	592	0	95	0	0	5	0	0	0	1	0	1	0	2	0	2
24042	41766	"Lake Kvarnträsk"	60.34577	19.97168	10	"AWI"	10	44	633	316	0	67	2	1	3	0	225	0	0	2	0	0	8	12	0	0	0	0	0	0	233	0	2	0	0	0	79	586	0	91	0	0	13	0	0	0	0	0	0	1	0	3	1
24042	41766	"Lake Kvarnträsk"	60.34577	19.97168	12.5	"AWI"	12.5	109.5	656	364.5	0	89	3	0	6	0	185	1	0	2	0	0	7	11	0	0	2	2	0	0	182	0	0	0	0	2	82	662	0	104	0	0	6	0	0	0	0	0	3	0	0	1	0
24042	41766	"Lake Kvarnträsk"	60.34577	19.97168	15	"AWI"	15	154	683	417	0	84	1	0	2	0	203	0	0	2	0	0	6	30	0	0	0	4	0	0	223	0	2	0	1	3	91	633	0	122	0	0	14	0	0	0	2	0	4	2	0	1	0
24042	41766	"Lake Kvarnträsk"	60.34577	19.97168	17.5	"AWI"	17.5	187.5	721.5	471.5	0	52	0	1	1	0	217	0	0	0	0	0	9	9	0	0	1	0	0	0	160	0	3	1	0	0	99	614	0	93	0	0	7	0	0	0	1	0	2	0	0	1	1
24042	41766	"Lake Kvarnträsk"	60.34577	19.97168	20	"AWI"	20	214	782	523	0	77	0	1	4	0	182	2	0	3	0	0	5	12	0	0	0	0	0	0	188	0	1	0	0	0	82	663	0	77	0	0	1	2	0	0	0	0	2	0	0	1	1
24042	41766	"Lake Kvarnträsk"	60.34577	19.97168	22.5	"AWI"	22.5	300.5	799	568.5	0	48	2	0	1	0	141	0	0	1	0	0	9	10	0	0	0	0	0	0	152	0	0	0	0	0	130	709	0	103	0	0	4	0	0	0	0	0	4	1	0	0	1
24042	41766	"Lake Kvarnträsk"	60.34577	19.97168	25	"AWI"	25	377	821	615	0	86	3	0	3	0	178	0	0	3	0	0	5	25	0	0	0	2	0	0	165	0	1	0	1	1	102	654	0	84	0	0	2	4	0	0	1	9	2	0	0	1	0
24042	41766	"Lake Kvarnträsk"	60.34577	19.97168	27.5	"AWI"	27.5	428.5	853.5	663	0	71	2	0	4	0	136	0	0	2	0	0	2	6	0	0	1	0	0	0	156	0	0	0	0	1	123	692	0	103	0	0	8	0	0	0	1	0	0	0	1	3	0
24042	41766	"Lake Kvarnträsk"	60.34577	19.97168	30	"AWI"	30	469	898	712	0	78	1	0	4	0	170	0	0	2	0	0	0	12	0	0	1	0	0	0	212	0	3	0	0	0	124	618	0	88	1	0	9	0	1	0	2	0	4	1	1	0	0
24042	41766	"Lake Kvarnträsk"	60.34577	19.97168	32.5	"AWI"	32.5	517.5	917.5	739.5	0	84	0	1	1	0	175	1	0	0	0	0	4	5	0	0	0	0	0	0	199	0	0	0	0	1	115	594	0	90	0	0	6	0	0	0	0	0	2	4	0	1	0
24042	41766	"Lake Kvarnträsk"	60.34577	19.97168	35	"AWI"	35	557	941	768	0	78	0	0	1	0	141	0	0	3	0	0	2	8	0	0	0	0	0	0	141	0	0	0	0	1	101	639	0	69	0	0	0	0	0	0	0	0	2	0	0	1	2
24042	41766	"Lake Kvarnträsk"	60.34577	19.97168	37.5	"AWI"	37.5	580.5	975.5	799	0	72	1	1	1	0	195	0	0	4	0	0	3	3	0	0	2	3	0	0	222	0	0	0	0	2	93	626	0	0	0	0	4	0	0	0	0	0	4	1	0	2	0
24042	41766	"Lake Kvarnträsk"	60.34577	19.97168	40	"AWI"	40	596	1026	827	0	83	1	0	0	0	201	0	0	3	0	0	2	4	0	0	1	1	0	0	150	0	0	0	0	0	69	621	0	0	0	0	5	2	0	0	1	0	2	0	0	0	1
24042	41766	"Lake Kvarnträsk"	60.34577	19.97168	42.5	"AWI"	42.5	620	1046.5	848	0	95	0	0	3	0	242	0	0	3	0	0	2	5	0	0	0	1	0	0	187	0	0	0	0	1	82	552	0	0	0	0	9	0	0	0	1	0	4	1	0	0	0
24042	41766	"Lake Kvarnträsk"	60.34577	19.97168	45	"AWI"	45	637	1072	869	0	94	0	0	2	0	200	0	0	0	0	0	4	4	0	0	0	0	0	0	123	0	0	0	0	0	93	561	0	46	0	0	8	0	1	0	1	0	1	2	0	0	1
24042	41766	"Lake Kvarnträsk"	60.34577	19.97168	47.5	"AWI"	47.5	653	1103	889	0	114	1	2	0	0	241	0	0	1	0	0	6	8	1	0	0	1	0	0	149	0	0	0	0	2	129	561	0	0	0	0	4	0	0	0	1	0	5	0	0	0	0
24042	41766	"Lake Kvarnträsk"	60.34577	19.97168	50	"AWI"	50	670	1140	909	0	118	0	1	2	0	205	0	0	1	0	0	4	13	0	0	0	3	0	0	167	0	0	0	0	1	94	552	0	53	0	0	6	0	0	0	0	0	4	4	0	1	1
24042	41766	"Lake Kvarnträsk"	60.34577	19.97168	52.5	"AWI"	52.5	696	1157	930.5	0	88	0	0	3	0	213	1	0	0	0	0	2	5	0	0	0	0	1	0	130	1	0	0	0	2	102	583	0	0	3	0	14	0	0	0	1	0	3	2	0	3	2
24042	41766	"Lake Kvarnträsk"	60.34577	19.97168	55	"AWI"	55	718	1180	952	0	91	0	0	3	0	234	0	0	3	0	0	9	12	0	0	0	3	1	0	122	0	0	0	0	1	95	546	0	0	2	0	16	0	0	0	0	0	9	2	0	2	1
24042	41766	"Lake Kvarnträsk"	60.34577	19.97168	57.5	"AWI"	57.5	733	1206	973	0	76	0	1	2	0	276	0	0	0	0	0	6	3	0	0	0	3	0	0	50	0	0	0	0	2	126	533	0	0	0	0	19	0	0	0	0	0	4	0	0	3	0
24042	41766	"Lake Kvarnträsk"	60.34577	19.97168	60	"AWI"	60	748	1240	993	0	71	0	0	0	0	262	0	0	1	0	0	10	9	0	0	0	3	0	0	72	0	0	0	2	0	103	531	0	28	2	1	15	0	0	0	0	0	9	6	0	2	0
