"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Geraniaceae"	"Hypericaceae"	"Ilex"	"Juglans"	"Lamiaceae"	"Larix"	"Liliaceae"	"Orobanchaceae"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Taxus"	"Ulmus"	"Urticaceae"	"Viburnum"
9833	14554	"Brackloon Wood"	53.75745	-9.559616	0	"AWI"	0	-132	35	-51	8	0	3	5	0	161	0	0	0	21	1	60	0	0	0	6	0	0	7	0	0	0	0	0	12	0	54	1	0	81	2	0	0	0	40	0	1	1	0	0
9833	14554	"Brackloon Wood"	53.75745	-9.559616	16	"AWI"	16	489	1073	762	3	0	1	2	19	189	0	4	1	18	0	81	0	0	0	3	0	0	11	0	1	1	1	3	12	0	70	0	1	50	0	11	0	0	12	1	2	0	0	0
9833	14554	"Brackloon Wood"	53.75745	-9.559616	32	"AWI"	32	1241	1937	1584	33	0	0	8	0	172	0	0	0	59	0	85	0	0	0	6	0	0	6	0	0	0	1	0	1	0	64	0	0	72	0	0	0	0	58	0	4	0	0	1
9833	14554	"Brackloon Wood"	53.75745	-9.559616	40	"AWI"	40	1636	2339	1994	8	0	2	3	0	123	0	4	1	48	0	116	0	0	0	8	0	1	9	0	1	0	2	0	2	0	81	0	0	61	0	11	0	5	22	1	8	2	0	0
9833	14554	"Brackloon Wood"	53.75745	-9.559616	48	"AWI"	48	2050	2721	2401	8	0	1	6	0	130	0	0	0	103	0	61	0	0	0	11	0	0	9	0	1	0	0	0	1	0	53	0	0	85	0	17	0	0	11	0	8	0	0	0
9833	14554	"Brackloon Wood"	53.75745	-9.559616	52	"AWI"	52	2267	2911	2610	16	0	1	5	0	178	0	0	1	84	0	54	0	0	0	14	0	0	2	1	0	0	0	0	0	0	19	0	0	120	0	15	1	0	21	0	8	0	0	0
9833	14554	"Brackloon Wood"	53.75745	-9.559616	56	"AWI"	56	2493	3094	2814	4	0	0	2	0	254	0	0	0	44	0	74	0	0	0	11	0	0	1	0	0	0	0	0	0	0	26	0	0	108	0	6	0	0	15	0	7	1	0	0
9833	14554	"Brackloon Wood"	53.75745	-9.559616	60	"AWI"	60	2721	3278	3019	1	1	0	1	0	340	0	0	0	17	1	12	0	0	1	1	0	0	2	0	0	0	0	0	1	0	18	0	0	81	0	0	0	0	205	0	3	0	0	0
9833	14554	"Brackloon Wood"	53.75745	-9.559616	62	"AWI"	62	2838	3368	3124	29	0	0	5	0	158	0	0	0	79	0	221	0	0	1	10	0	0	0	0	0	0	0	0	1	0	33	0	0	90	0	0	1	0	10	0	15	12	0	0
9833	14554	"Brackloon Wood"	53.75745	-9.559616	64	"AWI"	64	2958	3455	3228	24	0	2	8	0	146	0	0	0	56	0	213	0	0	0	6	0	0	2	0	0	0	0	0	3	0	39	0	0	78	0	0	3	0	53	0	4	7	0	0
9833	14554	"Brackloon Wood"	53.75745	-9.559616	67	"AWI"	67	3151	3581	3382	14	0	1	1	0	119	0	0	0	48	0	136	0	1	0	1	1	0	1	0	0	0	0	0	6	0	46	0	0	113	0	9	2	0	72	0	10	6	0	0
9833	14554	"Brackloon Wood"	53.75745	-9.559616	70	"AWI"	70	3356	3705	3536	18	0	3	7	0	114	0	0	1	46	0	174	0	0	0	6	0	0	3	0	1	0	1	0	7	0	40	0	0	150	0	0	1	0	97	0	5	6	0	0
9833	14554	"Brackloon Wood"	53.75745	-9.559616	72	"AWI"	72	3497	3804	3634	8	1	0	3	0	77	0	0	0	46	0	286	0	0	0	5	0	0	0	0	0	0	0	0	15	0	64	0	0	175	0	7	1	0	15	0	6	5	0	0
9833	14554	"Brackloon Wood"	53.75745	-9.559616	74	"AWI"	74	3571	3908	3723	11	0	1	4	0	154	0	0	0	87	0	155	0	0	0	5	0	0	2	0	0	0	0	0	13	0	12	0	0	107	0	0	1	0	11	0	5	3	0	0
9833	14554	"Brackloon Wood"	53.75745	-9.559616	78	"AWI"	78	3723	4133	3907	9	0	4	4	0	75	0	0	1	50	0	46	0	0	0	2	0	0	0	0	0	0	0	0	44	0	20	1	0	170	0	0	1	0	5	0	17	5	0	0
9833	14554	"Brackloon Wood"	53.75745	-9.559616	82	"AWI"	82	3878	4350	4094	15	0	2	6	0	60	0	0	0	60	0	133	0	0	0	4	0	0	0	0	0	0	0	0	17	0	47	0	0	151	0	0	0	0	8	0	2	4	0	0
9833	14554	"Brackloon Wood"	53.75745	-9.559616	86	"AWI"	86	4048	4544	4284	12	1	0	6	0	64	0	0	0	40	0	133	0	0	0	3	0	0	2	0	0	0	1	0	10	0	35	0	0	165	0	6	2	0	85	0	10	1	0	0
9833	14554	"Brackloon Wood"	53.75745	-9.559616	90	"AWI"	90	4226	4737	4470	22	0	0	9	0	54	0	0	0	62	0	49	0	0	0	6	0	0	2	0	0	0	0	0	18	0	36	0	0	172	0	0	0	0	5	0	21	8	0	0
9833	14554	"Brackloon Wood"	53.75745	-9.559616	94	"AWI"	94	4410	4920	4662	6	0	1	3	0	92	0	0	0	52	0	223	4	0	0	7	0	0	6	0	1	0	1	0	11	0	27	0	0	149	0	0	2	0	22	0	14	2	0	0
9833	14554	"Brackloon Wood"	53.75745	-9.559616	98	"AWI"	98	4595	5092	4853	16	0	0	7	0	51	0	0	0	95	0	64	0	0	0	7	0	0	0	0	0	0	1	0	24	0	14	0	0	163	0	0	0	0	0	0	10	10	0	0
9833	14554	"Brackloon Wood"	53.75745	-9.559616	102	"AWI"	102	4789	5266	5044	15	0	2	2	0	76	0	0	0	103	0	16	0	0	0	4	0	0	1	0	0	0	0	0	22	0	22	0	0	161	0	0	5	0	0	0	19	9	0	0
9833	14554	"Brackloon Wood"	53.75745	-9.559616	106	"AWI"	106	4999	5429	5231	21	0	0	1	0	40	0	0	0	83	0	6	0	0	0	3	0	0	4	0	0	0	0	0	46	0	3	0	0	160	0	0	0	0	2	0	9	27	0	0
9833	14554	"Brackloon Wood"	53.75745	-9.559616	110	"AWI"	110	5218	5591	5420	18	0	0	2	0	15	0	0	0	169	0	12	0	0	0	1	0	0	1	0	0	0	0	0	57	0	4	0	0	94	0	0	2	0	3	0	5	26	0	0
9833	14554	"Brackloon Wood"	53.75745	-9.559616	114	"AWI"	114	5460	5723	5603	44	0	1	1	0	38	0	0	0	152	0	8	0	0	0	2	0	0	0	0	0	0	0	0	57	0	0	0	0	87	0	0	1	0	2	0	11	8	0	0
9833	14554	"Brackloon Wood"	53.75745	-9.559616	118	"AWI"	118	5617	6018	5795	15	0	1	0	0	6	0	0	0	309	0	3	0	0	0	0	0	0	2	0	0	0	1	0	153	0	3	0	0	19	0	0	0	0	1	0	15	10	0	0
9833	14554	"Brackloon Wood"	53.75745	-9.559616	120	"AWI"	120	5692	6153	5895	15	0	1	3	0	2	0	0	0	272	0	2	0	0	0	0	0	0	1	0	0	0	0	0	85	0	2	0	0	18	0	0	1	0	1	0	1	17	0	0
