"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Celastraceae"	"Cistaceae"	"Convolvulaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Olea"	"Orobanchaceae"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygalaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhododendron"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Saxifragaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"
14581	41426	"Lac de Bretaye"	46.32603	7.07212	1	"AWI"	1	-145	30	-57	3	1	53	1	0	0	1	0	3	0	0	0	0	0	0	1	0	2	0	7	3	0	2	0	0	0	17	13	0	0	1	4	0	3	1	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	1	2	0	0	0	0
14581	41426	"Lac de Bretaye"	46.32603	7.07212	9	"AWI"	9	-101	217	23	2	1	64	0	0	1	0	0	5	3	0	0	5	0	0	5	0	0	0	16	15	0	2	0	5	0	19	18	0	0	1	1	0	5	1	0	0	0	0	0	87	0	0	0	12	0	0	0	0	0	0	0	0	4	0	0	0	0	0
14581	41426	"Lac de Bretaye"	46.32603	7.07212	17	"AWI"	17	-71	429	101	13	2	37	2	0	0	0	0	1	2	0	0	0	0	0	1	0	1	0	3	10	0	2	0	0	0	7	8	0	0	3	0	0	2	0	0	0	0	0	0	77	0	0	0	10	0	0	0	0	16	0	0	0	3	1	0	0	0	0
14581	41426	"Lac de Bretaye"	46.32603	7.07212	25	"AWI"	25	-19	544	196	16	0	27	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	4	7	0	1	0	0	0	7	6	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	2	0	0	0	0	0
14581	41426	"Lac de Bretaye"	46.32603	7.07212	33	"AWI"	33	19	730	281	9	0	29	1	0	0	0	0	2	3	0	0	4	0	0	1	0	0	0	5	16	0	0	0	0	0	7	4	0	0	11	2	0	3	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14581	41426	"Lac de Bretaye"	46.32603	7.07212	80	"AWI"	80	436	1359	890	1	4	29	0	0	1	1	0	3	1	0	0	0	0	0	3	0	0	0	6	17	0	0	0	0	0	13	7	1	0	3	0	0	1	1	0	0	51	0	0	0	0	0	0	28	0	0	0	0	21	0	0	0	0	1	1	0	0	0
14581	41426	"Lac de Bretaye"	46.32603	7.07212	112	"AWI"	112	806	1688	1274	1	0	35	0	0	2	0	0	0	0	0	0	0	0	0	8	0	0	0	3	16	1	0	0	0	0	7	9	0	0	9	0	0	0	1	0	0	0	0	0	0	1	0	0	14	0	0	0	0	0	0	0	0	4	0	0	0	0	0
14581	41426	"Lac de Bretaye"	46.32603	7.07212	144	"AWI"	144	1223	1900	1634	4	0	39	0	0	2	0	0	0	0	0	0	0	0	0	6	0	1	0	7	11	0	2	0	4	0	3	7	0	1	8	0	0	2	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	4	1	0	0	1	0
14581	41426	"Lac de Bretaye"	46.32603	7.07212	176	"AWI"	176	1643	2072	1943	15	0	71	1	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	12	4	0	0	0	0	0	32	23	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	4	0	0	0	0	0
14581	41426	"Lac de Bretaye"	46.32603	7.07212	192	"AWI"	192	1698	2146	1990	2	0	10	0	0	0	1	0	0	1	0	8	0	0	0	6	0	0	0	0	9	0	0	0	0	0	4	2	0	1	0	0	0	2	0	0	0	28	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	3	2	0	0	1	0
14581	41426	"Lac de Bretaye"	46.32603	7.07212	208	"AWI"	208	1761	2202	2037	11	0	37	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	6	11	0	0	2	0	0	23	14	0	1	0	0	0	1	0	0	0	0	0	0	56	0	0	0	13	0	0	0	0	0	0	0	0	3	0	0	0	0	0
14581	41426	"Lac de Bretaye"	46.32603	7.07212	240	"AWI"	240	1897	2326	2133	26	0	73	3	0	0	1	0	2	0	0	0	4	0	0	0	0	0	0	12	5	0	0	0	0	0	17	39	0	1	0	0	0	0	0	0	0	0	16	0	0	0	0	0	29	0	0	0	0	0	0	0	0	2	1	0	0	0	0
14581	41426	"Lac de Bretaye"	46.32603	7.07212	288	"AWI"	288	2104	2493	2289	39	2	71	2	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	12	6	0	0	0	0	0	29	9	0	0	0	0	0	1	1	0	0	134	29	0	0	0	0	0	14	0	0	0	0	0	0	0	0	4	1	0	0	0	0
14581	41426	"Lac de Bretaye"	46.32603	7.07212	312	"AWI"	312	2220	2570	2365	9	3	53	0	0	0	0	0	8	0	0	0	15	0	0	1	0	0	0	27	7	0	0	0	0	0	74	13	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	4	0	0	0	0	0
14581	41426	"Lac de Bretaye"	46.32603	7.07212	352	"AWI"	352	2393	2693	2492	26	2	64	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	13	6	0	0	0	0	0	34	20	0	0	0	1	0	1	1	0	0	117	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	1	2	0	0	0	0
14581	41426	"Lac de Bretaye"	46.32603	7.07212	392	"AWI"	392	2506	2816	2640	37	1	78	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	23	5	0	0	0	0	0	12	7	0	0	0	1	0	1	2	0	0	140	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	1	0	0	0	0	0
14581	41426	"Lac de Bretaye"	46.32603	7.07212	416	"AWI"	416	2588	2888	2728	48	0	46	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	0	0	15	3	0	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	4	0	0	0	0	0
