"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caryophyllaceae"	"Celastraceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fraxinus"	"Juniperus"	"Lamiaceae"	"Malvaceae"	"Onagraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Pterocarya"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
3470	4489	"Åkerhultagöl [Tomtabaken]"	57.48333	14.46667	415	"AWI"	415	6617	7814	7305	213	1	0	0	0	0	0	0	0	0	0	1	0	224	10	0	0	0	0	0	1	0	1	0	0	0	439	0	19	0	7	0	0	37	0	0	0	0	0	6	0	0	0	0	7	39	0	0
3470	4489	"Åkerhultagöl [Tomtabaken]"	57.48333	14.46667	420	"AWI"	420	6932	7976	7525	178	0	1	0	34	0	0	0	0	0	0	0	0	250	7	0	0	0	0	0	11	0	0	0	0	0	406	0	12	0	28	0	0	28	0	1	0	0	0	4	0	0	1	0	9	20	0	0
3470	4489	"Åkerhultagöl [Tomtabaken]"	57.48333	14.46667	425	"AWI"	425	7097	8293	7753	209	1	0	0	0	0	0	0	0	0	0	0	0	302	11	0	0	0	0	0	7	0	0	1	0	0	481	0	21	0	29	0	0	39	0	0	0	0	0	7	0	1	0	0	3	53	0	0
3470	4489	"Åkerhultagöl [Tomtabaken]"	57.48333	14.46667	430	"AWI"	430	7474	8377	7968	111	0	1	0	5	0	0	0	0	1	0	1	0	70	10	0	0	5	0	0	2	1	0	0	0	0	422	0	25	0	19	0	0	12	0	1	0	0	0	9	0	0	0	0	2	29	0	1
3470	4489	"Åkerhultagöl [Tomtabaken]"	57.48333	14.46667	435	"AWI"	435	7685	8532	8209	137	0	0	0	0	0	0	0	0	0	0	1	0	119	9	0	0	0	0	0	1	2	0	0	0	0	360	0	29	0	24	0	0	10	1	1	0	0	0	8	0	0	0	0	1	33	0	0
3470	4489	"Åkerhultagöl [Tomtabaken]"	57.48333	14.46667	440	"AWI"	440	8178	8670	8418	131	0	0	0	1	0	0	0	0	0	0	3	0	141	5	0	0	0	0	0	1	0	0	0	0	0	344	0	21	0	42	0	0	13	0	1	0	0	0	11	0	0	0	0	3	37	0	0
3470	4489	"Åkerhultagöl [Tomtabaken]"	57.48333	14.46667	445	"AWI"	445	8325	9083	8640	187	0	0	0	2	0	0	0	0	0	0	0	0	190	7	0	0	0	0	0	0	0	0	0	0	0	279	0	26	0	38	0	0	11	0	0	0	0	0	8	0	0	0	0	3	29	0	0
3470	4489	"Åkerhultagöl [Tomtabaken]"	57.48333	14.46667	450	"AWI"	450	8503	9309	8873	186	0	0	0	0	0	0	0	0	0	0	0	0	103	10	0	0	0	0	0	0	0	0	0	0	0	343	0	26	0	23	1	0	8	2	1	0	0	0	4	0	0	0	0	3	27	0	1
3470	4489	"Åkerhultagöl [Tomtabaken]"	57.48333	14.46667	455	"AWI"	455	8573	9760	9077	159	0	0	0	0	0	0	0	0	0	0	2	0	142	6	0	0	0	0	0	0	0	0	0	0	0	330	0	7	0	23	0	0	7	2	1	0	0	0	6	0	0	0	0	0	33	0	0
3470	4489	"Åkerhultagöl [Tomtabaken]"	57.48333	14.46667	460	"AWI"	460	9140	9918	9402	119	1	0	0	1	0	0	0	0	0	0	0	0	152	4	0	0	0	0	0	0	0	0	0	0	0	276	0	17	0	16	0	0	5	0	0	0	1	0	7	0	0	0	0	3	8	0	0
3470	4489	"Åkerhultagöl [Tomtabaken]"	57.48333	14.46667	462	"AWI"	462	9288	10023	9520	57	0	0	0	1	0	0	0	0	0	0	0	0	172	4	0	0	0	0	0	3	0	0	0	0	0	380	0	22	0	10	0	0	11	0	0	0	0	0	7	0	0	0	0	0	20	1	0
3470	4489	"Åkerhultagöl [Tomtabaken]"	57.48333	14.46667	464	"AWI"	464	9375	10139	9676	10	2	1	0	0	0	0	0	0	1	0	0	0	214	4	0	0	0	0	0	1	0	0	0	0	0	406	0	43	0	7	0	0	3	3	0	0	0	0	11	0	0	0	0	1	14	1	0
3470	4489	"Åkerhultagöl [Tomtabaken]"	57.48333	14.46667	466	"AWI"	466	9560	10291	9881	8	0	1	1	4	0	0	0	0	0	0	0	0	215	6	0	0	0	0	0	1	0	2	0	0	1	465	0	50	0	0	0	0	3	0	0	0	0	0	16	0	0	0	0	1	10	0	1
3470	4489	"Åkerhultagöl [Tomtabaken]"	57.48333	14.46667	468	"AWI"	468	9858	10431	10136	3	0	1	0	3	0	0	1	0	0	0	0	0	278	7	0	0	0	0	0	0	0	0	0	0	0	395	0	86	0	0	0	0	2	0	0	0	0	0	9	0	0	0	0	1	8	1	0
3470	4489	"Åkerhultagöl [Tomtabaken]"	57.48333	14.46667	470	"AWI"	470	10117	10601	10373	3	0	0	0	2	0	0	0	0	0	0	1	0	235	4	0	0	0	0	0	0	0	0	0	0	0	486	0	92	0	0	0	0	5	0	0	0	0	0	6	0	0	0	0	0	11	0	1
3470	4489	"Åkerhultagöl [Tomtabaken]"	57.48333	14.46667	472	"AWI"	472	10341	10815	10599	2	7	7	0	26	0	0	0	0	0	0	0	0	652	67	0	0	26	0	0	0	22	0	0	0	0	2211	0	418	0	17	0	0	10	0	0	0	3	0	62	0	0	0	1	0	45	0	0
3470	4489	"Åkerhultagöl [Tomtabaken]"	57.48333	14.46667	474	"AWI"	474	10545	11091	10825	1	0	9	0	15	0	3914	0	0	0	0	1	0	165	78	0	0	21	0	0	3	36	1	0	0	0	1926	0	406	0	5	0	0	7	0	0	0	1	0	50	0	0	0	0	0	27	0	0
3470	4489	"Åkerhultagöl [Tomtabaken]"	57.48333	14.46667	476	"AWI"	476	10762	11300	11022	2	9	10	0	18	0	0	0	0	0	0	2	0	14	106	3	0	14	1	0	1	126	1	0	0	0	1494	0	357	0	10	0	0	5	0	0	0	1	0	90	0	0	0	0	0	19	0	0
3470	4489	"Åkerhultagöl [Tomtabaken]"	57.48333	14.46667	478	"AWI"	478	11002	11440	11185	2	5	6	0	26	0	0	0	0	0	0	0	0	3	144	2	0	13	0	0	1	286	0	0	0	0	1435	0	310	0	18	0	0	0	0	1	0	4	0	112	0	0	0	1	0	22	0	0
3470	4489	"Åkerhultagöl [Tomtabaken]"	57.48333	14.46667	480	"AWI"	480	11184	11625	11343	0	5	15	0	31	0	2716	0	0	0	0	1	0	0	156	2	0	35	0	0	3	708	0	0	0	0	640	0	289	0	0	0	0	2	0	0	0	0	0	106	0	0	0	0	0	6	0	0
3470	4489	"Åkerhultagöl [Tomtabaken]"	57.48333	14.46667	482	"AWI"	482	11293	11830	11516	0	8	7	0	19	0	0	0	0	0	0	0	0	0	133	1	0	44	0	0	0	901	0	0	1	1	493	0	218	0	0	0	0	3	0	0	0	0	0	137	0	0	0	0	0	11	0	0
3470	4489	"Åkerhultagöl [Tomtabaken]"	57.48333	14.46667	484	"AWI"	484	11362	12069	11686	0	1	0	0	6	0	2918	0	0	0	0	1	0	0	178	2	0	29	0	0	0	776	0	0	0	0	504	0	190	0	0	0	0	0	0	0	0	0	0	156	0	0	0	0	0	15	0	0
3470	4489	"Åkerhultagöl [Tomtabaken]"	57.48333	14.46667	486	"AWI"	486	11490	12222	11831	0	4	1	0	21	0	0	0	0	0	0	0	0	0	138	1	0	0	0	0	0	920	0	0	1	0	338	0	230	0	0	0	0	2	0	0	0	6	0	113	0	0	0	1	0	8	0	0
3470	4489	"Åkerhultagöl [Tomtabaken]"	57.48333	14.46667	488	"AWI"	488	11677	12265	11951	0	5	0	0	30	0	583	0	0	0	0	0	0	0	112	1	0	0	0	0	0	62	0	0	0	0	416	0	287	0	0	0	0	0	0	1	0	0	0	110	0	1	0	0	0	1	0	0
3470	4489	"Åkerhultagöl [Tomtabaken]"	57.48333	14.46667	490	"AWI"	490	11834	12322	12070	0	9	2	0	69	0	481	0	0	0	0	0	0	0	225	0	0	0	0	0	0	54	1	0	1	0	334	0	278	0	0	0	0	0	0	0	0	3	0	89	0	0	0	1	0	0	0	0
3470	4489	"Åkerhultagöl [Tomtabaken]"	57.48333	14.46667	492	"AWI"	492	11942	12407	12199	0	25	1	0	189	0	308	1	0	0	0	0	1	0	228	0	0	0	0	3	0	26	2	0	0	0	185	0	95	0	0	0	1	0	0	0	0	4	0	50	0	0	0	1	0	0	0	0
3470	4489	"Åkerhultagöl [Tomtabaken]"	57.48333	14.46667	494	"AWI"	494	12019	12530	12324	0	23	4	0	166	0	235	0	1	0	0	0	0	0	228	0	0	0	0	0	0	31	0	0	0	1	179	0	142	0	0	0	0	0	0	0	0	3	0	59	0	0	2	5	0	0	0	0
3470	4489	"Åkerhultagöl [Tomtabaken]"	57.48333	14.46667	496	"AWI"	496	12112	12627	12420	0	46	1	0	152	0	180	3	0	0	0	0	0	0	211	0	1	0	0	17	0	49	0	0	0	0	167	0	134	0	0	0	0	0	0	0	0	5	0	53	0	0	2	5	0	0	0	0
3470	4489	"Åkerhultagöl [Tomtabaken]"	57.48333	14.46667	498	"AWI"	498	12224	12659	12495	1	34	1	0	205	0	192	3	0	0	0	0	1	0	192	0	1	0	0	8	0	61	0	0	0	0	147	0	135	0	0	0	1	0	0	0	4	4	0	44	0	0	0	1	0	0	0	0
3470	4489	"Åkerhultagöl [Tomtabaken]"	57.48333	14.46667	500	"AWI"	500	12318	12703	12573	0	43	1	0	165	0	175	2	0	0	0	0	0	0	208	0	0	0	0	0	0	71	1	0	0	1	204	0	184	0	0	0	0	0	0	0	0	1	0	52	0	0	0	0	0	0	0	0
3470	4489	"Åkerhultagöl [Tomtabaken]"	57.48333	14.46667	502	"AWI"	502	12397	12788	12647	1	50	2	0	201	0	181	1	0	0	0	0	1	0	150	0	0	0	0	0	0	59	1	0	0	0	149	0	145	0	0	0	0	0	0	0	0	0	0	50	0	0	1	0	0	0	0	0
3470	4489	"Åkerhultagöl [Tomtabaken]"	57.48333	14.46667	504	"AWI"	504	12457	12920	12715	0	56	3	0	225	0	144	1	0	0	0	0	1	0	155	0	0	0	0	0	0	48	0	0	0	0	180	0	128	0	0	0	0	0	0	0	0	3	0	47	0	0	0	0	0	0	0	0
3470	4489	"Åkerhultagöl [Tomtabaken]"	57.48333	14.46667	506	"AWI"	506	12647	13069	12873	0	37	1	0	168	0	183	0	0	0	0	0	0	0	149	0	0	0	0	0	0	46	0	0	0	3	156	0	149	0	0	0	0	0	0	0	0	2	0	68	0	0	0	1	0	0	0	0
3470	4489	"Åkerhultagöl [Tomtabaken]"	57.48333	14.46667	508	"AWI"	508	12935	13284	13116	0	45	1	0	147	0	159	1	0	0	0	0	1	0	120	0	0	0	0	0	0	25	0	0	0	0	260	0	149	0	0	0	0	0	0	0	0	6	0	64	0	0	1	1	0	0	0	0
