"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
23446	40490	"Dos le Cras"	47.28833	7.13194	0	"AWI"	0	199	939	603	4.31893687707641	0.664451827242525	0.664451827242525	0.332225913621262	1.32890365448505	0.664451827242525	0	3.98671096345515	0.332225913621262	0.332225913621262	0	0	0	0	0.332225913621262	0	0	0	3.65448504983389	1.66112956810631	0	0.664451827242525	0.332225913621262	19.6013289036545	2.99003322259136	0	0	0	0	3.98671096345515	0	25.9136212624585	5.3156146179402	1.66112956810631	13.953488372093	0	0.332225913621262	0	1.99335548172757	1.32890365448505	0	0.664451827242525	0.664451827242525	1.32890365448505	0	0	0.332225913621262	0	0.332225913621262	0	0	0	0	0.332225913621262
23446	40490	"Dos le Cras"	47.28833	7.13194	5	"AWI"	5	255	965	643	3.23741007194245	1.07913669064748	1.07913669064748	0.359712230215827	3.23741007194245	0.359712230215827	0	2.87769784172662	0.719424460431655	0.719424460431655	0	0	0.359712230215827	0	0	0.359712230215827	0	0	4.31654676258993	1.07913669064748	0	0.359712230215827	2.15827338129496	12.2302158273381	2.87769784172662	0	0	0	0.359712230215827	2.15827338129496	0	21.5827338129496	5.03597122302158	6.83453237410072	17.2661870503597	0	0.359712230215827	0	2.15827338129496	0.719424460431655	0	1.07913669064748	0	3.23741007194245	0	0	0.359712230215827	0.359712230215827	0	0	0.359712230215827	0.359712230215827	0.359712230215827	0
23446	40490	"Dos le Cras"	47.28833	7.13194	10	"AWI"	10	300	1001	685	1.64609053497942	2.46913580246914	1.23456790123457	0	4.11522633744856	0	0	1.64609053497942	1.23456790123457	1.23456790123457	0	0	0.823045267489712	0	0	0.411522633744856	0	0	5.76131687242798	0.411522633744856	0	0	4.52674897119342	2.05761316872428	2.88065843621399	0	0	0	0.411522633744856	0	0.411522633744856	13.9917695473251	4.93827160493827	12.7572016460905	21.3991769547325	0	0	0	4.11522633744856	0.411522633744856	0	2.05761316872428	0	5.76131687242798	0	0.411522633744856	0.411522633744856	1.23456790123457	0	0	0.411522633744856	0.411522633744856	0.411522633744856	0
23446	40490	"Dos le Cras"	47.28833	7.13194	15	"AWI"	15	365	1031	727	1.44927536231884	1.93236714975845	1.93236714975845	0.966183574879227	3.86473429951691	0.483091787439614	0	1.44927536231884	0	1.44927536231884	0	0	0	0	0	0	0	0	6.28019323671498	15.4589371980676	0	0	0.966183574879227	1.93236714975845	2.89855072463768	0	0	0	0	0.483091787439614	0	10.1449275362319	3.86473429951691	6.76328502415459	25.1207729468599	0	0.483091787439614	0	2.89855072463768	0.483091787439614	0	1.44927536231884	0.966183574879227	3.38164251207729	0	0	0	1.93236714975845	0	0	0.483091787439614	0	0	0.483091787439614
23446	40490	"Dos le Cras"	47.28833	7.13194	20	"AWI"	20	414	1065	770	0.431034482758621	0.431034482758621	2.1551724137931	0.862068965517241	0.431034482758621	0.431034482758621	0	1.29310344827586	0	2.1551724137931	0	0	0	0	0	0.862068965517241	0	0	5.17241379310345	35.7758620689655	0	0	0	0.862068965517241	2.58620689655172	0	0	0	0	0.862068965517241	0	2.1551724137931	2.1551724137931	2.58620689655172	25	0	0.431034482758621	0	0.862068965517241	3.01724137931034	0	2.1551724137931	1.29310344827586	3.87931034482759	0	0	1.29310344827586	0.862068965517241	0	0	0	0	0	0
23446	40490	"Dos le Cras"	47.28833	7.13194	25	"AWI"	25	479	1091	812	4.02684563758389	0.671140939597315	2.3489932885906	0.335570469798658	0.335570469798658	0.335570469798658	0	0.671140939597315	0	1.34228187919463	0	0	0	0	0	0	0	0	5.36912751677852	24.1610738255034	0	0	0.335570469798658	3.35570469798658	2.3489932885906	0	0	0	0	1.00671140939597	0	13.758389261745	7.04697986577181	2.3489932885906	19.7986577181208	0	0	0	4.69798657718121	1.00671140939597	0	0.671140939597315	0.335570469798658	2.68456375838926	0	0.335570469798658	0.335570469798658	0.335570469798658	0	0	0	0	0	0
23446	40490	"Dos le Cras"	47.28833	7.13194	30	"AWI"	30	526	1124	853	6.15384615384615	0.615384615384615	2.15384615384615	0	0.923076923076923	0	0	0.307692307692308	0	1.23076923076923	0	0	0.307692307692308	0	0	0	0	0	4.61538461538462	8.61538461538461	0	0	0.615384615384615	5.53846153846154	1.23076923076923	0	0	0	0	1.23076923076923	0	25.8461538461538	10.1538461538462	4	15.6923076923077	0	0	0	8.30769230769231	0.307692307692308	0	0.615384615384615	0.307692307692308	1.23076923076923	0	0	0	0	0	0	0	0	0	0
23446	40490	"Dos le Cras"	47.28833	7.13194	35	"AWI"	35	599	1146	894	8.33333333333333	0.595238095238095	2.08333333333333	0	0.595238095238095	0	0	0.297619047619048	0	0.297619047619048	0	0	0.297619047619048	0	0	0	0	0	8.92857142857143	6.54761904761905	0	0.297619047619048	0.297619047619048	7.14285714285714	0.892857142857143	0	0	0	0	2.08333333333333	0	27.6785714285714	14.5833333333333	1.19047619047619	9.82142857142857	0	0	0	5.95238095238095	0.595238095238095	0	0.297619047619048	0.297619047619048	0.595238095238095	0	0	0	0	0	0	0	0.297619047619048	0	0
23446	40490	"Dos le Cras"	47.28833	7.13194	40	"AWI"	40	648	1179	937	11.6847826086957	0.543478260869565	2.17391304347826	0	0	0	0	0.543478260869565	0	0.271739130434783	0	0	0	0	0.271739130434783	0	0	0	12.5	4.07608695652174	0	0.271739130434783	0.271739130434783	9.78260869565217	0.271739130434783	0	0	0	0	2.44565217391304	0	27.9891304347826	16.8478260869565	0	5.43478260869565	0	0	0	2.98913043478261	0.815217391304348	0	0	0	0.271739130434783	0	0	0	0	0	0	0	0.543478260869565	0	0
23446	40490	"Dos le Cras"	47.28833	7.13194	45	"AWI"	45	720	1201	979	20.6666666666667	0.666666666666667	1.66666666666667	0	0	0	0	0.666666666666667	0	0	0	0	0	0	0	0.333333333333333	0	0	10.3333333333333	3.66666666666667	0	0.666666666666667	0.333333333333333	6.33333333333333	0.333333333333333	0	0.333333333333333	0	0	1.66666666666667	0	35.3333333333333	8.66666666666667	0	5	0	0	0	2.33333333333333	0.333333333333333	0	0	0	0.333333333333333	0	0	0	0	0	0	0	0.333333333333333	0	0
