"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Asphodelaceae"	"Asteraceae"	"Betula"	"Corylus"	"Cyperaceae"	"Ericales"	"Eucalyptus"	"Fabaceae"	"Lamiaceae"	"Liliaceae"	"Malvaceae"	"Orobanchaceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Scrophulariaceae"	"Tilia"	"Urticaceae"
23924	41527	"Monte Areo mire"	43.52889	-5.76889	6	"AWI"	6	-83	191	31	20.0617283950617	0.308641975308642	0.617283950617284	1.54320987654321	0	0	0	0	0.925925925925926	32.4074074074074	2.46913580246914	0	0	0	0	0	0	21.9135802469136	0	0	0	19.1358024691358	0	0	0.617283950617284
23924	41527	"Monte Areo mire"	43.52889	-5.76889	12	"AWI"	12	3	307	140	8.76565295169946	0.715563506261181	2.14669051878354	0.715563506261181	0	6.08228980322004	0	0.894454382826476	1.07334525939177	28.9803220035778	2.50447227191413	0.715563506261181	0.35778175313059	0.35778175313059	0	0.536672629695885	0	31.1270125223614	3.22003577817531	0	0	3.04114490161002	0.715563506261181	0.35778175313059	7.69230769230769
23924	41527	"Monte Areo mire"	43.52889	-5.76889	16.5	"AWI"	16.5	74	376	224	6.22568093385214	1.16731517509728	1.55642023346304	1.16731517509728	0	8.94941634241245	0	0.389105058365759	15.5642023346303	0	0	6.22568093385214	1.55642023346304	0.778210116731518	0	1.94552529182879	0	38.9105058365759	0	0	0	4.28015564202335	5.44747081712062	0.389105058365759	5.44747081712062
23924	41527	"Monte Areo mire"	43.52889	-5.76889	19	"AWI"	19	115	406	268	8.04195804195804	0	0.174825174825175	6.29370629370629	0	0	0	0.174825174825175	10.4895104895105	26.5734265734266	0	3.14685314685315	1.04895104895105	0.524475524475524	0	0.34965034965035	0	3.84615384615385	0	27.4475524475524	0.174825174825175	7.86713286713287	1.92307692307692	0	1.92307692307692
23924	41527	"Monte Areo mire"	43.52889	-5.76889	21.5	"AWI"	21.5	177	444	326	3.23159784560144	0	0.538599640933573	5.74506283662478	0.359066427289048	3.05206463195691	0	0.718132854578097	7.89946140035907	42.9084380610413	0	1.07719928186715	0.179533213644524	0.897666068222621	0	0	0	1.61579892280072	1.61579892280072	16.1579892280072	0	11.1310592459605	2.51346499102334	0	0.359066427289048
23924	41527	"Monte Areo mire"	43.52889	-5.76889	24	"AWI"	24	224	505	390	4.25531914893617	0	0.386847195357834	5.41586073500967	0	2.51450676982592	0	0	5.60928433268859	47.7756286266925	0	0.193423597678917	0	0	0	0	0	0.967117988394584	0	22.2437137330754	0	10.4448742746615	0	0	0.193423597678917
23924	41527	"Monte Areo mire"	43.52889	-5.76889	26.5	"AWI"	26.5	303	583.5	458.5	0.373134328358209	0	0.186567164179104	3.17164179104478	0	0	0	0	1.49253731343284	78.9179104477612	0	0.746268656716418	0	0	0	0	0	0	0	8.76865671641791	0	5.97014925373134	0.186567164179104	0	0.186567164179104
23924	41527	"Monte Areo mire"	43.52889	-5.76889	29	"AWI"	29	370	682	541	2.73684210526316	0	0.631578947368421	2.31578947368421	0.210526315789474	0	0	0	1.47368421052632	66.3157894736842	0	0.842105263157895	0	0	0	0	0	0	0	15.3684210526316	0	9.26315789473684	0.842105263157895	0	0
23924	41527	"Monte Areo mire"	43.52889	-5.76889	31.5	"AWI"	31.5	528	789	638	5.84070796460177	0	0	1.06194690265487	0.176991150442478	0	26.7256637168142	0	5.48672566371681	16.6371681415929	0	0	0	0.176991150442478	0	0	0	0.884955752212389	0	13.8053097345133	0	29.2035398230088	0	0	0
23924	41527	"Monte Areo mire"	43.52889	-5.76889	34	"AWI"	34	653	906	760	17.2811059907834	0	0	0.691244239631336	0	0	0	0	5.99078341013825	6.68202764976959	0	0	0	0	0	0	0	0	0	14.2857142857143	0	54.8387096774194	0	0	0.230414746543779
23924	41527	"Monte Areo mire"	43.52889	-5.76889	36.5	"AWI"	36.5	775.5	1029.5	885	23.3062330623306	0	0	0.5420054200542	0	0	0	0	4.3360433604336	8.67208672086721	0	0	0	0	0	0	0	0	0	8.94308943089431	0	54.20054200542	0	0	0
23924	41527	"Monte Areo mire"	43.52889	-5.76889	40.5	"AWI"	40.5	972	1259.5	1097	22.1864951768489	0	0.643086816720257	0.643086816720257	0.321543408360129	0	0	0	8.36012861736334	31.5112540192926	0	0	0	0.321543408360129	0	0	0	0.643086816720257	0	0	0	35.3697749196142	0	0	0
23924	41527	"Monte Areo mire"	43.52889	-5.76889	43	"AWI"	43	1171	1337	1252	8.22510822510823	0	0	1.2987012987013	0.432900432900433	0	0	0.432900432900433	2.5974025974026	27.7056277056277	0	0	0.216450216450216	0	0	0	0	1.51515151515152	0	30.952380952381	0	24.4588744588745	0	0	2.16450216450216
23924	41527	"Monte Areo mire"	43.52889	-5.76889	45.5	"AWI"	45.5	1286	1531.5	1416	11.9318181818182	0	0	0.284090909090909	0	0	0	0	1.42045454545455	0	0	0.284090909090909	0	0	0	0	0	0	0	9.375	0	76.7045454545455	0	0	0
23924	41527	"Monte Areo mire"	43.52889	-5.76889	48	"AWI"	48	1393	1841	1626	11.6236162361624	0	0	0.3690036900369	0	0	36.5313653136531	0	1.66051660516605	4.61254612546125	0	0	0	0	0	0	0	0.55350553505535	0	5.90405904059041	0	38.3763837638376	0.18450184501845	0	0.18450184501845
