"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Ilex"	"Juglans"	"Juniperus"	"Lamiaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
2973	3875	"Amsoldingersee"	46.725	7.575	220	"AWI"	220	-65	767	524	19	0	30	0	2	1	0	0	6	4	0	0	0	0	0	7	129	0	0	0	0	7	2	8	0	1	2	0	1	7	3	4	30	0	13	2	0	2	0	0	0	0	0	0	0	0	0	0
2973	3875	"Amsoldingersee"	46.725	7.575	240	"AWI"	240	5	1106	639	40	1	155	0	1	0	5	0	42	2	0	4	0	0	0	117	35	0	0	0	0	69	0	14	1	0	2	4	4	10	4	0	56	0	67	4	0	1	0	4	0	5	0	0	0	0	2	0
2973	3875	"Amsoldingersee"	46.725	7.575	280	"AWI"	280	94	2087	898	50	2	228	0	0	2	3	0	23	3	0	2	0	0	0	70	29	0	0	0	0	93	1	34	0	0	1	0	5	5	4	3	28	0	28	4	0	0	0	1	0	0	0	0	0	0	0	1
2973	3875	"Amsoldingersee"	46.725	7.575	320	"AWI"	320	360	2527	1299	35	4	228	0	2	0	1	0	29	2	0	1	0	0	0	64	13	0	0	0	0	157	1	25	0	1	1	0	6	21	12	6	30	0	37	2	0	1	0	4	0	0	0	0	0	0	5	0
2973	3875	"Amsoldingersee"	46.725	7.575	340	"AWI"	340	468	2770	1493	42	1	166	0	1	1	4	0	22	4	0	5	0	0	0	84	9	0	0	1	0	153	2	76	0	0	0	0	5	14	6	0	24	0	42	4	0	0	0	1	0	0	0	0	0	0	1	3
2973	3875	"Amsoldingersee"	46.725	7.575	380	"AWI"	380	818	3165	1882	39	2	263	0	2	1	4	0	52	0	0	0	0	0	0	182	10	0	0	0	0	66	0	4	2	0	8	0	6	10	15	21	99	0	69	9	0	0	0	1	0	4	0	0	0	0	1	0
2973	3875	"Amsoldingersee"	46.725	7.575	420	"AWI"	420	1123	3637	2264	79	4	437	0	4	1	4	0	21	2	0	2	0	0	0	143	9	0	0	1	0	61	3	22	0	0	0	0	6	16	13	15	73	0	42	2	0	0	0	1	0	0	0	0	0	2	3	1
2973	3875	"Amsoldingersee"	46.725	7.575	440	"AWI"	440	1396	3766	2444	45	2	225	0	0	0	2	0	38	2	0	4	0	0	0	231	20	0	0	0	0	48	2	3	1	0	6	0	4	29	16	0	52	0	15	1	0	0	0	8	0	0	0	0	0	0	1	1
2973	3875	"Amsoldingersee"	46.725	7.575	480	"AWI"	480	1692	4150	2804	102	4	340	0	11	3	9	0	21	0	0	0	0	0	1	99	17	0	0	4	2	90	3	17	0	0	1	8	3	33	45	15	83	0	43	8	0	0	0	10	1	1	0	12	1	6	12	0
2973	3875	"Amsoldingersee"	46.725	7.575	510	"AWI"	510	2064	4424	3162	184	1	193	0	0	2	0	0	23	4	0	1	0	0	0	59	0	0	0	3	0	256	1	28	0	0	1	0	2	23	42	0	0	0	46	4	0	0	0	1	0	0	0	0	0	7	6	0
