"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Corylus"	"Cyperaceae"	"Ericales"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Salix"	"Tilia"	"Ulmus"
3505	4531	"Mire Pelisoo"	58.46667	22.38333	10	"AWI"	10	-93	246	29	28	2	0	1	0	51	14	4	20	0	28	97	0	7	2	0	0	5	0	2
3505	4531	"Mire Pelisoo"	58.46667	22.38333	20	"AWI"	20	-62	520	111	29	1	0	1	0	57	18	5	33	0	23	109	0	8	3	0	0	2	0	3
3505	4531	"Mire Pelisoo"	58.46667	22.38333	30	"AWI"	30	-9	641	215	20	1	0	0	0	34	19	3	65	0	27	88	0	9	1	0	0	3	0	2
3505	4531	"Mire Pelisoo"	58.46667	22.38333	40	"AWI"	40	35	794	312	23	3	0	1	1	69	14	5	52	0	31	105	0	5	1	3	0	1	0	2
3505	4531	"Mire Pelisoo"	58.46667	22.38333	50	"AWI"	50	101	908	416	25	0	0	0	0	62	13	6	37	0	33	108	0	5	0	0	1	1	0	3
3505	4531	"Mire Pelisoo"	58.46667	22.38333	60	"AWI"	60	167	1039	511	29	0	1	0	0	57	17	3	11	0	38	85	0	6	1	0	0	0	0	2
3505	4531	"Mire Pelisoo"	58.46667	22.38333	70	"AWI"	70	235	1143	618	22	0	0	0	0	70	22	5	30	1	41	92	0	3	0	0	1	0	0	2
3505	4531	"Mire Pelisoo"	58.46667	22.38333	80	"AWI"	80	313	1254	713	27	0	0	0	2	73	25	5	28	2	35	103	0	5	2	1	0	0	0	3
3505	4531	"Mire Pelisoo"	58.46667	22.38333	90	"AWI"	90	385	1347	819	23	0	0	0	1	53	28	4	18	2	77	94	0	3	0	0	0	1	2	2
3505	4531	"Mire Pelisoo"	58.46667	22.38333	100	"AWI"	100	472	1435	918	35	0	0	0	0	61	19	4	16	2	73	102	0	5	0	0	0	0	1	2
