"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Celastraceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Grossulariaceae"	"Juniperus"	"Lamiaceae"	"Larix"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"	"Tilia"	"Tofieldiaceae"	"Ulmus"	"Urticaceae"
16673	26507	"Zotensenk"	47.42234	11.875572	730	"AWI"	730	12155	12761	12490	0.351288056206089	0	0	0	0.117096018735363	0	1.87353629976581	0	0	0	0	0	0	0	0	1.75644028103044	0	0	0	0	0	0	0	0	0.234192037470726	0	0.234192037470726	0	0	0	89.2271662763466	0	5.3864168618267	0	0	0	0.234192037470726	0	0	0	0	0	0	0.117096018735363	0.468384074941452	0	0	0	0
16673	26507	"Zotensenk"	47.42234	11.875572	735	"AWI"	735	12294	12869	12613	0	0	0	0	0	0	0.670016750418761	0	0	0	0	0	0	0	0	4.69011725293132	0	0	0	0	0	0	0	0	0.50251256281407	0	0.837520938023451	0	0	0	82.4120603015075	0	10.7202680067002	0	0	0	0	0	0	0	0	0	0	0	0.16750418760469	0	0	0	0
16673	26507	"Zotensenk"	47.42234	11.875572	740	"AWI"	740	12431	12985	12738	0.143884892086331	0	0	0	0.503597122302158	0	44.3884892086331	0	0	0	0	0	0	0	0	3.52517985611511	0.0719424460431655	0	0	0	0	0.0719424460431655	0	0	0.215827338129496	0	0	0	0	0	43.1654676258993	0	6.18705035971223	0	0	0.215827338129496	0.143884892086331	0	0	0	0.503597122302158	0.431654676258993	0	0	0.215827338129496	0.143884892086331	0	0.0719424460431655	0
16673	26507	"Zotensenk"	47.42234	11.875572	742.5	"AWI"	742.5	12491	13048	12796.5	0.0859106529209622	0.0859106529209622	0	0	0.343642611683849	0	20.53264604811	0	0	0	0	0	0	0	0	3.43642611683849	0.0859106529209622	0	0	0	0	0.0859106529209622	0	0	0.859106529209622	0	0	0	0	0	69.6735395189003	0.0859106529209622	3.78006872852234	0	0	0	0	0	0	0.171821305841924	0.0859106529209622	0.687285223367698	0	0	0	0	0	0	0
16673	26507	"Zotensenk"	47.42234	11.875572	745	"AWI"	745	12547	13121	12854	0	0	0	0	0.51975051975052	0	13.4095634095634	0	0	0	0	0	0	0.103950103950104	0	2.5987525987526	0.103950103950104	0	0	0	0	0	0	0	0.51975051975052	0	0	0	0	0	72.5571725571725	0	8.83575883575884	0	0	0	0.103950103950104	0	0	0.103950103950104	0.311850311850312	0.623700623700624	0	0	0.207900207900208	0	0	0	0
16673	26507	"Zotensenk"	47.42234	11.875572	747.5	"AWI"	747.5	12606	13188.5	12911	0.087719298245614	0	0	0	0.175438596491228	0	33.0701754385965	0	0	0	0	0	0	0	0	2.63157894736842	0.175438596491228	0	0	0	0	0	0	0	0.175438596491228	0	0	0	0	0	59.1228070175439	0	2.89473684210526	0	0.087719298245614	0	0.175438596491228	0	0	0	0.263157894736842	0.789473684210526	0	0	0.263157894736842	0.087719298245614	0	0	0
16673	26507	"Zotensenk"	47.42234	11.875572	750	"AWI"	750	12654	13267	12969	0	0.151975683890578	0	0	1.06382978723404	0	29.0273556231003	0	0	0	0	0	0	0	0	3.49544072948328	0.151975683890578	0	0	0	0	0	0	0	0.60790273556231	0	0	0	0	0	54.5592705167173	0	6.83890577507599	0	0	0	0.303951367781155	0	0	0.151975683890578	0.60790273556231	3.03951367781155	0	0	0	0	0	0	0
16673	26507	"Zotensenk"	47.42234	11.875572	755	"AWI"	755	12758	13402	13085	0.22189349112426	0	0	0	0.517751479289941	0	11.8343195266272	0	0	0	0	0	0	0	0	1.33136094674556	0.29585798816568	0	0	0	0	0	0	0	0.369822485207101	0	0	0	0	0	80.1775147928994	0.0739644970414201	4.06804733727811	0	0	0	0.29585798816568	0	0	0.0739644970414201	0.0739644970414201	0.443786982248521	0	0	0.22189349112426	0	0	0	0
16673	26507	"Zotensenk"	47.42234	11.875572	760	"AWI"	760	12861	13532	13203	0.112233445566779	0	0	0	0.336700336700337	0	14.5903479236813	0	0	0	0	0	0	0	0	8.41750841750842	0	0	0	0	0	0	0	0	1.90796857463524	0	0	0	0	0	66.8911335578002	0	4.60157126823793	0	0.112233445566779	0	0.224466891133558	0	0	0	0.448933782267116	2.1324354657688	0	0	0	0	0	0	0.224466891133558
16673	26507	"Zotensenk"	47.42234	11.875572	765	"AWI"	765	12965	13665	13322	0	0	0	0	0.48780487804878	0	12.1951219512195	0	0	0.16260162601626	0	0	0	0	0	5.85365853658537	0.16260162601626	0	0	0	0	0	0	0	1.13821138211382	0	0	0.16260162601626	0	0	73.1707317073171	0	5.52845528455285	0	0	0	0	0	0	0	0.32520325203252	0.650406504065041	0	0	0	0	0	0	0.16260162601626
16673	26507	"Zotensenk"	47.42234	11.875572	770	"AWI"	770	13080	13798	13438	0	0	0	0	1.51162790697674	0	14.0697674418605	0	0	0	0	0	0	0.232558139534884	0	6.3953488372093	0	0	0	0	0	0	0	0	2.32558139534884	0	0	0	0	0	68.6046511627907	0	5.46511627906977	0	0	0	0	0	0	0	0.116279069767442	1.16279069767442	0	0	0.116279069767442	0	0	0	0
16673	26507	"Zotensenk"	47.42234	11.875572	775	"AWI"	775	13185	13924	13556	0	0	0	0	2.53671562082777	0	10.2803738317757	0	0	0	0	0	0	0.133511348464619	0	4.67289719626168	0.133511348464619	0	0	0	0	0	0	0	1.06809078771696	0	0	0	0	0	72.2296395193591	0	7.20961281708945	0	0.133511348464619	0	0	0	0	0	0	0.801068090787717	0.534045393858478	0	0.267022696929239	0	0	0	0
16673	26507	"Zotensenk"	47.42234	11.875572	780	"AWI"	780	13296	14044	13675	0	0	0	0	0.800800800800801	0	7.30730730730731	0	0	0	0	0	0	0.1001001001001	0	4.7047047047047	0	0	0	0	0	0	0	0	5.20520520520521	0	0.1001001001001	0	0	0	73.3733733733734	0	5.60560560560561	0	0	0	0	0	0	0.2002002002002	0.2002002002002	2.1021021021021	0	0.2002002002002	0.1001001001001	0	0	0	0
16673	26507	"Zotensenk"	47.42234	11.875572	785	"AWI"	785	13416	14162	13792	0	0	0	0	0.879765395894428	0	6.74486803519062	0	0	0	0	0	0	0	0	5.27859237536657	0.586510263929619	0	0	0	0	0	0	0	2.93255131964809	0	0	0	0	0	75.6598240469208	0	6.158357771261	0	0	0	0	0	0	0	0	1.46627565982405	0	0	0.293255131964809	0	0	0	0
16673	26507	"Zotensenk"	47.42234	11.875572	790	"AWI"	790	13525	14285	13908	0	0	0	0	1.21028744326778	0	22.8441754916793	0	0	0	0	0	0	0.302571860816944	0	11.3464447806354	0.453857791225416	0	0	0	0.151285930408472	0	0	0	17.0953101361573	0	0	0	0	0	29.500756429652	0	11.8003025718608	0	0	0	0.151285930408472	0	0	0.302571860816944	1.21028744326778	2.26928895612708	0	0.453857791225416	0.907715582450832	0	0	0	0
16673	26507	"Zotensenk"	47.42234	11.875572	795	"AWI"	795	13643	14404	14026	0	0	0	0	2.56024096385542	0	23.3433734939759	0	0.150602409638554	0	0	0	0	0	0	24.3975903614458	1.20481927710843	0	0	0	0	0	0	0	16.2650602409639	0	0.301204819277108	0	0	0	7.53012048192771	0	19.4277108433735	0	0	0	0.451807228915663	0	0	0.301204819277108	0.753012048192771	3.16265060240964	0	0	0.150602409638554	0	0	0	0
16673	26507	"Zotensenk"	47.42234	11.875572	800	"AWI"	800	13762	14514	14142	0.148809523809524	0.148809523809524	0	0	5.65476190476191	0	22.6190476190476	0	0	0	0	0.892857142857143	0	1.48809523809524	0	8.03571428571429	0.148809523809524	0	0.446428571428571	0	0	0	0	0	35.1190476190476	0	0	0	0	0	2.67857142857143	0	20.0892857142857	0	0	0	0	0.148809523809524	0	0.595238095238095	0.595238095238095	0.892857142857143	0	0	0.297619047619048	0	0	0	0
16673	26507	"Zotensenk"	47.42234	11.875572	805	"AWI"	805	13877	14630	14263	0	0.505050505050505	0	0	11.8686868686869	0	25.5050505050505	0	0	0	0	0	0	0.757575757575758	0	15.9090909090909	0.757575757575758	0	0	0	0	0	0	0	5.55555555555556	0	0	0	0	0	2.52525252525253	0	31.5656565656566	0	0	0	0.505050505050505	0.505050505050505	0	0.505050505050505	0.505050505050505	1.51515151515152	0	0	1.51515151515152	0	0	0	0
