"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Hypericaceae"	"Ilex"	"Indeterminable"	"Juglans"	"Juniperus"	"Lamiaceae"	"Linaceae"	"Lythraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Scrophulariaceae"	"Solanaceae"	"Taxus"	"Tilia"	"Ulmus"	"Urticaceae"	"Verbenaceae"	"Viburnum"	"Vitaceae"
24186	42557	"Großvillars Alter See"	49.042312	8.758684	120	"AWI"	120	481	1015	739	0	0	1	1	0	0	0	0	0	5	0	1	0	0	0	0	0	9	32	0	0	2	0	3	0	0	0	12	0	1	0	0	0	0	1	0	12	0	0	0	0	0	12	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
24186	42557	"Großvillars Alter See"	49.042312	8.758684	130	"AWI"	130	537	1070	804	1	0	4	1	0	0	0	1	0	5	0	0	1	0	0	1	0	3	278	0	0	7	0	14	0	0	0	29	0	1	0	0	0	0	0	1	20	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
24186	42557	"Großvillars Alter See"	49.042312	8.758684	140	"AWI"	140	594	1136	869	0	1	14	3	0	0	0	1	0	4	0	2	0	0	0	1	0	4	147	0	0	0	0	6	0	0	0	53	0	8	0	0	0	0	6	6	28	0	0	0	0	0	16	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0
24186	42557	"Großvillars Alter See"	49.042312	8.758684	150	"AWI"	150	652	1192	931	3	1	10	3	0	0	0	2	0	5	0	1	0	0	0	0	0	14	49	0	0	3	0	8	0	0	0	79	0	2	0	0	0	0	5	0	74	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24186	42557	"Großvillars Alter See"	49.042312	8.758684	160	"AWI"	160	716	1259	996	7	1	19	3	0	0	0	2	0	3	0	0	1	0	0	0	0	7	76	0	0	5	0	6	0	0	0	90	0	4	0	0	0	0	3	7	77	0	0	0	0	0	26	0	0	0	0	2	0	0	0	1	0	0	1	0	0	0	0
24186	42557	"Großvillars Alter See"	49.042312	8.758684	170	"AWI"	170	784	1317	1064	5	1	157	0	0	0	0	3	0	3	0	0	1	0	0	0	0	29	38	0	0	9	0	4	0	0	0	47	0	2	0	0	1	0	6	2	248	5	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	1	3	1	0	0	0
24186	42557	"Großvillars Alter See"	49.042312	8.758684	180	"AWI"	180	852	1383	1130	0	1	127	0	0	0	0	2	0	10	0	0	0	0	0	0	0	8	18	0	0	3	0	3	0	3	0	117	0	0	0	0	0	0	3	0	136	0	0	0	0	0	20	0	0	1	0	4	0	0	0	0	0	1	3	1	0	0	0
24186	42557	"Großvillars Alter See"	49.042312	8.758684	190	"AWI"	190	919	1436	1195	5	3	75	1	1	0	0	6	0	7	0	0	1	0	0	1	0	10	102	0	0	3	0	5	0	0	0	50	0	4	0	0	0	0	6	3	188	0	0	0	0	0	31	0	0	3	0	3	0	0	0	0	0	1	4	0	0	0	0
24186	42557	"Großvillars Alter See"	49.042312	8.758684	200	"AWI"	200	992	1490	1258	5	3	9	19	1	0	0	5	0	7	0	1	2	0	0	0	0	12	149	0	0	26	0	15	0	0	0	60	0	2	0	0	0	0	7	3	38	17	0	0	0	0	41	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0
24186	42557	"Großvillars Alter See"	49.042312	8.758684	210	"AWI"	210	1067	1549	1322	7	2	4	9	0	0	0	1	0	1	0	0	1	0	0	1	0	7	149	0	0	2	0	4	0	1	0	36	0	1	0	0	13	0	3	3	36	12	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0
24186	42557	"Großvillars Alter See"	49.042312	8.758684	220	"AWI"	220	1142	1603	1387	3	1	6	17	1	0	0	3	0	1	1	2	1	0	0	0	0	7	216	0	0	7	0	2	0	2	0	39	0	0	0	0	1	0	3	1	54	9	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	3	3	0	1	0	0
24186	42557	"Großvillars Alter See"	49.042312	8.758684	230	"AWI"	230	1213	1655	1452	0	1	7	13	0	0	0	3	0	0	0	0	0	0	0	0	0	8	88	0	0	5	0	2	0	0	0	24	0	1	0	0	0	0	2	1	40	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24186	42557	"Großvillars Alter See"	49.042312	8.758684	240	"AWI"	240	1295	1708	1515	2	1	2	12	0	0	0	0	0	2	0	0	0	0	0	0	0	6	206	0	0	0	0	4	0	0	0	17	0	5	0	0	0	0	3	1	32	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
