"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Genista"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
15783	24259	"Creux de Croue"	46.49687	6.12357	620	"AWI"	620	10167	11061	10622	0	1	0	5	0	5	0	31	0	4	0	0	0	0	197	52	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	186	0	0	37	0	0	37	2	0	0	1	0	0	0	0	0	5	36	0	0
15783	24259	"Creux de Croue"	46.49687	6.12357	640	"AWI"	640	10444	11256	10856	0	1	0	0	1	5	0	23	0	0	0	0	0	0	281	65	0	0	0	0	0	0	1	0	1	2	0	0	0	0	1	0	0	240	0	0	33	0	2	46	3	0	0	2	3	0	0	0	0	12	43	0	0
15783	24259	"Creux de Croue"	46.49687	6.12357	650	"AWI"	650	10588	11347	10974	0	0	0	11	0	2	0	39	0	0	0	1	1	0	284	82	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	349	0	0	49	0	0	52	4	0	0	1	6	0	0	0	0	9	53	0	1
15783	24259	"Creux de Croue"	46.49687	6.12357	660	"AWI"	660	10735	11444	11089	0	0	0	25	0	4	0	21	0	0	0	1	0	0	262	74	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	462	0	0	47	0	2	73	0	0	0	5	1	0	1	0	0	2	58	0	0
15783	24259	"Creux de Croue"	46.49687	6.12357	670	"AWI"	670	10888	11537	11204	0	1	0	13	0	9	0	32	0	0	0	0	1	0	152	43	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	294	0	0	33	0	0	31	1	0	1	2	0	0	0	0	1	0	38	0	0
15783	24259	"Creux de Croue"	46.49687	6.12357	680	"AWI"	680	11048	11634	11316	0	0	0	0	0	7	0	25	0	0	0	0	0	0	6	158	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	374	0	0	15	0	0	4	0	0	1	0	1	0	0	0	2	0	1	0	0
15783	24259	"Creux de Croue"	46.49687	6.12357	685	"AWI"	685	11136	11682	11371	0	0	2	1	0	13	0	24	0	1	0	0	3	0	1	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	521	0	0	22	0	0	3	0	0	2	0	0	0	0	0	1	0	0	0	0
15783	24259	"Creux de Croue"	46.49687	6.12357	690	"AWI"	690	11229	11727	11431	0	0	1	1	0	13	0	15	0	0	0	0	2	0	0	37	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	370	0	0	165	0	0	0	0	0	1	1	0	0	0	0	4	0	0	0	0
15783	24259	"Creux de Croue"	46.49687	6.12357	695	"AWI"	695	11277	11795	11492	0	0	12	0	0	69	0	26	0	1	0	1	4	0	7	61	0	0	0	0	0	0	0	0	0	0	0	0	0	9	2	0	0	207	4	0	50	0	0	3	0	0	4	0	2	0	1	0	3	0	0	0	0
15783	24259	"Creux de Croue"	46.49687	6.12357	700	"AWI"	700	11322	11862	11555	0	0	8	0	0	30	0	12	0	0	0	0	2	0	10	16	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	36	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0
