"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cedrus"	"Celastraceae"	"Cistaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Genista"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Indeterminable"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Lentibulariaceae"	"Ligustrum"	"Liliaceae"	"Lythraceae"	"Malvaceae"	"Melanthiaceae"	"Olea"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Violaceae"	"Vitaceae"
15748	47618	"Hopschensee"	46.2525	8.02306	15	"AWI"	15	-29	483	144	3	0	12	0	0	1	0	3	0	6	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	11	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1
15748	47618	"Hopschensee"	46.2525	8.02306	30	"AWI"	30	78	830	370	4	2	14	0	0	2	0	2	0	2	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	11	0	0	3	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	2
15748	47618	"Hopschensee"	46.2525	8.02306	45	"AWI"	45	217	1090	602	1	0	15	0	0	1	0	3	0	3	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0	7	0	0	2	0	1	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	1	0	0	0	10	0	0	0	45	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
15748	47618	"Hopschensee"	46.2525	8.02306	60	"AWI"	60	376	1355	818	4	0	31	0	0	1	0	0	0	4	5	1	0	0	0	1	1	0	0	0	0	0	0	0	0	4	0	0	9	0	0	0	0	0	0	0	1	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	1	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	1	0	1
15748	47618	"Hopschensee"	46.2525	8.02306	75	"AWI"	75	586	1538	1040	0	0	27	0	0	0	0	2	0	2	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	25	70	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1
15748	47618	"Hopschensee"	46.2525	8.02306	90	"AWI"	90	760	1784	1264	2	0	66	0	0	0	0	1	0	6	3	1	0	0	0	2	1	0	0	2	4	0	0	0	0	9	0	0	10	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	1	0	8	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1
15748	47618	"Hopschensee"	46.2525	8.02306	105	"AWI"	105	977	1970	1495	6	1	59	0	0	0	0	0	0	7	1	1	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	10	0	2	0	0	0	0	0	1	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
15748	47618	"Hopschensee"	46.2525	8.02306	120	"AWI"	120	1230	2185	1765	4	0	68	0	0	0	0	1	0	15	1	1	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	1	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	2	0	0
15748	47618	"Hopschensee"	46.2525	8.02306	135	"AWI"	135	1497	2331	1981	2	0	78	0	0	1	0	1	0	2	0	2	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	12	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1
15748	47618	"Hopschensee"	46.2525	8.02306	150	"AWI"	150	1754	2500	2200	12	2	71	0	0	0	0	5	0	10	1	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	7	0	3	0	0	0	0	0	1	0	0	31	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0
15748	47618	"Hopschensee"	46.2525	8.02306	165	"AWI"	165	2148	2626	2419	14	0	76	0	0	0	0	3	0	5	0	4	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	7	0	0	1	3	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	14	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
15748	47618	"Hopschensee"	46.2525	8.02306	180	"AWI"	180	2457	2788	2624	16	1	82	3	0	2	1	3	0	16	0	8	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	29	0	0	0	0	0	0	0	0	0	0	23	0	0	0	50	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	2	0	0
15748	47618	"Hopschensee"	46.2525	8.02306	195	"AWI"	195	2611	3054	2824	7	0	72	0	0	3	0	0	0	1	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	0
15748	47618	"Hopschensee"	46.2525	8.02306	210	"AWI"	210	2760	3256	3031	11	0	84	0	0	6	0	0	0	10	0	3	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	10	0	1	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
15748	47618	"Hopschensee"	46.2525	8.02306	225	"AWI"	225	3057	3370	3233	15	0	54	0	1	2	0	1	0	20	0	1	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	1	0	0	0	0	0	24	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0
15748	47618	"Hopschensee"	46.2525	8.02306	240	"AWI"	240	3252	3548	3404	13	1	61	0	2	1	0	0	0	12	1	5	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	26	141	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
15748	47618	"Hopschensee"	46.2525	8.02306	255	"AWI"	255	3421	3710	3545	12	1	34	0	1	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	5	0	1	0	0	0	0	0	3	0	0	10	0	0	0	0	2	0	0	0	0	0	0	194	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0
15748	47618	"Hopschensee"	46.2525	8.02306	270	"AWI"	270	3564	3963	3739	8	0	34	0	1	2	0	2	0	17	0	0	0	0	0	0	0	0	0	2	9	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	23	188	0	0	0	0	0	0	0	7	0	0	0	1	0	0	0	0	0	0	0	0	0	1	3	0	0	0
15748	47618	"Hopschensee"	46.2525	8.02306	285	"AWI"	285	3867	4160	3998	20	0	20	1	0	1	0	0	0	18	0	4	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	265	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
15748	47618	"Hopschensee"	46.2525	8.02306	290	"AWI"	290	3945	4303	4095	13	2	47	0	0	6	0	3	0	40	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	7	0	1	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	1	0	0	0	0	206	0	0	0	0	0	2	0	13	0	0	0	0	0	0	0	0	0	0	1	0	3	0	2	0	0	0
15748	47618	"Hopschensee"	46.2525	8.02306	292	"AWI"	292	4029	4333	4161	7	2	52	0	0	1	0	5	0	33	2	0	0	0	0	0	0	0	2	0	7	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	240	0	0	0	0	0	0	0	13	0	0	0	1	0	2	0	0	0	0	0	0	0	0	4	0	0	0
15748	47618	"Hopschensee"	46.2525	8.02306	294	"AWI"	294	4102	4363	4229	16	2	49	1	0	2	0	2	0	43	0	2	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	11	0	1	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	266	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0
15748	47618	"Hopschensee"	46.2525	8.02306	296	"AWI"	296	4152	4405	4298	15	0	50	0	0	6	0	7	0	40	0	1	0	0	0	0	0	0	1	0	9	0	0	0	0	0	0	0	11	0	2	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	1	0	0	0	0	246	0	0	0	0	0	0	0	22	0	0	0	1	0	2	0	0	0	0	2	0	0	0	1	0	0	1
