"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Hypericaceae"	"Ilex"	"Indeterminable"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Nyssa"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Thalictrum"	"Thymelaeaceae"	"Ulmus"	"Urticaceae"	"Viburnum"
2255	2335	"Sanabria Marsh"	42.1	-6.73333	3	"AWI"	3	-84	122	4	0.239234449760766	0	1.67464114832536	0	0.956937799043062	0	0.717703349282297	0	0.956937799043062	0.717703349282297	0	0	0	0	0	0	0	3.58851674641148	0	14.8325358851675	0	0	8.37320574162679	0	0	0	0	0.239234449760766	0	0	0	14.5933014354067	0.239234449760766	0	0	0	0	0	0	0	0	0.239234449760766	0	0	35.4066985645933	0.239234449760766	0.717703349282297	0	15.0717703349282	0	0	0	0	0.478468899521531	0.478468899521531	0	0	0	0	0	0.239234449760766
2255	2335	"Sanabria Marsh"	42.1	-6.73333	13	"AWI"	13	-49	508	117	1.29032258064516	0	1.29032258064516	0	0.32258064516129	0	0.32258064516129	0	1.29032258064516	0.32258064516129	0.32258064516129	0	0	0	0	0	0	2.90322580645161	0	14.8387096774194	0	0	7.41935483870968	0	0	0	0	0	0	0	0	4.83870967741935	0	0	0	0	0	0	0	0	0	0.645161290322581	0	0	39.6774193548387	0	0	0	23.2258064516129	0	0	0	0	0.967741935483871	0.32258064516129	0	0	0	0	0	0
2255	2335	"Sanabria Marsh"	42.1	-6.73333	23	"AWI"	23	-30	911	228	1.29032258064516	0.967741935483871	0.967741935483871	0	2.58064516129032	0	0	0	4.83870967741935	0.645161290322581	0	0	0	0	0	0	0	3.2258064516129	0	19.6774193548387	0	0	2.90322580645161	0	0	0.645161290322581	0	0	0	0	0	0	0	0.967741935483871	0	0	0	0	0	0	1.61290322580645	13.2258064516129	0	0	13.5483870967742	0	1.61290322580645	0	29.6774193548387	0.32258064516129	0	0	0	0.967741935483871	0	0	0	0	0.32258064516129	0	0
2255	2335	"Sanabria Marsh"	42.1	-6.73333	33	"AWI"	33	-16	1315	339	1.21212121212121	0	2.72727272727273	0	3.33333333333333	0	0.606060606060606	0	6.36363636363636	0	0	0	0	0	0	0	0	6.06060606060606	0	9.6969696969697	0	0	9.6969696969697	0	0	0	0	0	0	0	0	8.18181818181818	0	0	0	0	0	0	0	0	0	5.45454545454545	0	0	15.1515151515152	0.606060606060606	0.606060606060606	0	29.6969696969697	0	0	0	0	0.606060606060606	0	0	0	0	0	0	0
2255	2335	"Sanabria Marsh"	42.1	-6.73333	43	"AWI"	43	76	1475	480	0.273972602739726	0	2.19178082191781	0	9.31506849315068	0	0.547945205479452	0	3.83561643835616	0.273972602739726	0	0	0	0	0	0	0	5.20547945205479	0	6.84931506849315	0	0	5.20547945205479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.21917808219178	0	0	33.972602739726	0	1.0958904109589	0	21.9178082191781	0	0	0	0	0	1.0958904109589	0	0	0	0	0	0
2255	2335	"Sanabria Marsh"	42.1	-6.73333	53	"AWI"	53	125	1672	621	1.2779552715655	0	1.91693290734824	0	1.2779552715655	0	0.319488817891374	0	6.70926517571885	0.638977635782748	0	0	0	0	0	0.319488817891374	0.319488817891374	6.0702875399361	0	6.70926517571885	0	0	7.3482428115016	0	0	0	0	0	0	0	0	4.15335463258786	0	0	0	0	0	0	0	0	0	17.2523961661342	0	0	8.94568690095847	0	1.59744408945687	0	34.8242811501597	0	0	0	0	0	0.319488817891374	0	0	0	0	0	0
2255	2335	"Sanabria Marsh"	42.1	-6.73333	63	"AWI"	63	160	1916	754	0	0	1.18110236220472	0	0.78740157480315	0	0.393700787401575	0	0.78740157480315	0	0	0	0	0	0	0	0	0	0	12.5984251968504	0	0	6.69291338582677	0	0	0	0	1.18110236220472	0	0	0	0	0	0	0	0	0	0	0	0	0	22.0472440944882	0	0	31.1023622047244	0	1.5748031496063	0	20.4724409448819	0.78740157480315	0	0	0	0	0.393700787401575	0	0	0	0	0	0
2255	2335	"Sanabria Marsh"	42.1	-6.73333	73	"AWI"	73	255	2109	894	0	0	1.42348754448399	0	1.06761565836299	0	0	0	5.69395017793594	0.355871886120996	0	0	0	0	0	0.355871886120996	0	1.42348754448399	0	4.27046263345196	0	0	8.18505338078292	0	0	0	0	0.355871886120996	0	0	0	7.47330960854092	0	0	0	0	0	0	0	0	0	4.27046263345196	0	0	12.0996441281139	0	0	0	51.6014234875445	0.355871886120996	0	0	0	0.355871886120996	0	0	0	0	0.711743772241993	0	0
2255	2335	"Sanabria Marsh"	42.1	-6.73333	83	"AWI"	83	329	2299	1028	0	0	1.67224080267559	0	0.668896321070234	0	0.334448160535117	0	4.34782608695652	0.334448160535117	0	0	0	0	0	0	0	2.67558528428094	0	7.69230769230769	0	0	9.36454849498328	0	0	0	0	0.668896321070234	0	0	0	2.0066889632107	0	0	0	0	0	0	0	0	0	15.3846153846154	0	0	12.3745819397993	0	0	0	39.1304347826087	1.67224080267559	0	0	0	1.33779264214047	0.334448160535117	0	0	0	0	0	0
2255	2335	"Sanabria Marsh"	42.1	-6.73333	103	"AWI"	103	482	2768	1313	1.95439739413681	0	1.30293159609121	0	1.30293159609121	0	0.325732899022801	0	5.86319218241042	0	0	0	0	0	0.325732899022801	0	0	3.25732899022801	0	13.3550488599349	0	0	5.53745928338762	0	0	0.325732899022801	0	0	0	0	0	0	0	0.325732899022801	0	0	0	0	0	0	0.651465798045603	8.79478827361564	0	0	19.2182410423453	0	1.95439739413681	0.651465798045603	32.2475570032573	1.62866449511401	0	0	0	0.651465798045603	0.325732899022801	0	0	0	0	0	0
