"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Asphodelaceae"	"Asteraceae"	"Betula"	"Corylus"	"Cyperaceae"	"Ericales"	"Eucalyptus"	"Fabaceae"	"Lamiaceae"	"Liliaceae"	"Malvaceae"	"Orobanchaceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Scrophulariaceae"	"Tilia"	"Urticaceae"
23924	41527	"Monte Areo mire"	43.52889	-5.76889	6	"AWI"	6	-83	191	31	65	1	2	5	0	0	0	0	3	105	8	0	0	0	0	0	0	71	0	0	0	62	0	0	2
23924	41527	"Monte Areo mire"	43.52889	-5.76889	12	"AWI"	12	3	307	140	49	4	12	4	0	34	0	5	6	162	14	4	2	2	0	3	0	174	18	0	0	17	4	2	43
23924	41527	"Monte Areo mire"	43.52889	-5.76889	16.5	"AWI"	16.5	74	376	224	16	3	4	3	0	23	0	1	40	0	0	16	4	2	0	5	0	100	0	0	0	11	14	1	14
23924	41527	"Monte Areo mire"	43.52889	-5.76889	19	"AWI"	19	115	406	268	46	0	1	36	0	0	0	1	60	152	0	18	6	3	0	2	0	22	0	157	1	45	11	0	11
23924	41527	"Monte Areo mire"	43.52889	-5.76889	21.5	"AWI"	21.5	177	444	326	18	0	3	32	2	17	0	4	44	239	0	6	1	5	0	0	0	9	9	90	0	62	14	0	2
23924	41527	"Monte Areo mire"	43.52889	-5.76889	24	"AWI"	24	224	505	390	22	0	2	28	0	13	0	0	29	247	0	1	0	0	0	0	0	5	0	115	0	54	0	0	1
23924	41527	"Monte Areo mire"	43.52889	-5.76889	26.5	"AWI"	26.5	303	583.5	458.5	2	0	1	17	0	0	0	0	8	423	0	4	0	0	0	0	0	0	0	47	0	32	1	0	1
23924	41527	"Monte Areo mire"	43.52889	-5.76889	29	"AWI"	29	370	682	541	13	0	3	11	1	0	0	0	7	315	0	4	0	0	0	0	0	0	0	73	0	44	4	0	0
23924	41527	"Monte Areo mire"	43.52889	-5.76889	31.5	"AWI"	31.5	528	789	638	33	0	0	6	1	0	151	0	31	94	0	0	0	1	0	0	0	5	0	78	0	165	0	0	0
23924	41527	"Monte Areo mire"	43.52889	-5.76889	34	"AWI"	34	653	906	760	75	0	0	3	0	0	0	0	26	29	0	0	0	0	0	0	0	0	0	62	0	238	0	0	1
23924	41527	"Monte Areo mire"	43.52889	-5.76889	36.5	"AWI"	36.5	775.5	1029.5	885	86	0	0	2	0	0	0	0	16	32	0	0	0	0	0	0	0	0	0	33	0	200	0	0	0
23924	41527	"Monte Areo mire"	43.52889	-5.76889	40.5	"AWI"	40.5	972	1259.5	1097	69	0	2	2	1	0	0	0	26	98	0	0	0	1	0	0	0	2	0	0	0	110	0	0	0
23924	41527	"Monte Areo mire"	43.52889	-5.76889	43	"AWI"	43	1171	1337	1252	38	0	0	6	2	0	0	2	12	128	0	0	1	0	0	0	0	7	0	143	0	113	0	0	10
23924	41527	"Monte Areo mire"	43.52889	-5.76889	45.5	"AWI"	45.5	1286	1531.5	1416	42	0	0	1	0	0	0	0	5	0	0	1	0	0	0	0	0	0	0	33	0	270	0	0	0
