"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Apocynaceae"	"Araliaceae"	"Artemisia"	"Asparagaceae"	"Asphodelaceae"	"Asteraceae"	"Berberidaceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cedrus"	"Cistaceae"	"Colchicaceae"	"Convolvulaceae"	"Corylus"	"Crassulaceae"	"Crataegus"	"Cyperaceae"	"Datiscaceae"	"Elaeagnaceae"	"Ephedraceae"	"Euphorbiaceae"	"Fabaceae"	"Fraxinus"	"Genista"	"Geraniaceae"	"Heliotropium"	"Hypericaceae"	"Iridaceae"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Linaceae"	"Loranthaceae"	"Lythraceae"	"Malvaceae"	"Nitrariaceae"	"Olea"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Paliurus"	"Papaveraceae"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Platanus"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Scrophulariaceae"	"Solanaceae"	"Tamarix"	"Thalictrum"	"Thymelaeaceae"	"Ulmus"	"Urticaceae"	"Violaceae"	"Vitaceae"	"Zygophyllaceae"
3155	4103	"Huleh"	33.10556	35.52833	1010	"AWI"	1010	10017	10853	10436	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	1	0	0	3	0	6	1	146	0	1	0	0	84	24	0	0	0	8	0	0	0	0	0	0	3	1	0	1	0	0	2	0
3155	4103	"Huleh"	33.10556	35.52833	1205	"AWI"	1205	12700	13533	13088	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	11	0	0	0	11	0	1	0	0	0	0	0	0	0	0	0	0	12	0	0	19	0	1	0	0	0	1	13	0	1	0	143	0	0	0	0	208	20	0	0	0	5	0	2	0	0	0	0	0	0	0	0	0	0	2	0
3155	4103	"Huleh"	33.10556	35.52833	1210	"AWI"	1210	12753	13600	13152	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	2	0	0	1	0	1	15	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	11	0	0	12	0	0	1	0	0	5	15	0	3	0	157	0	0	0	0	352	21	0	0	0	6	0	2	0	0	0	0	0	1	0	0	0	0	5	0
3155	4103	"Huleh"	33.10556	35.52833	1215	"AWI"	1215	12846	13649	13204	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	22	0	0	0	27	0	0	1	0	0	0	0	1	0	0	0	0	21	0	0	0	0	0	0	0	0	0	22	0	1	0	287	0	0	0	0	375	9	0	0	0	7	15	5	0	0	0	0	1	0	0	0	0	0	8	0
3155	4103	"Huleh"	33.10556	35.52833	1220	"AWI"	1220	12901	13709	13262	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	17	0	1	0	89	0	0	0	0	247	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
3155	4103	"Huleh"	33.10556	35.52833	1225	"AWI"	1225	12999	13775	13316	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	2	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	34	0	0	0	0	0	6	8	0	1	0	141	0	0	0	0	207	28	0	0	0	5	0	1	0	0	0	0	1	0	0	0	0	0	0	0
3155	4103	"Huleh"	33.10556	35.52833	1230	"AWI"	1230	13066	13843	13373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	3	0	0	0	0	0	0	7	0	0	0	5	0	1	0	0	0	0	0	1	0	0	0	0	2	0	0	26	0	0	0	0	2	2	5	0	1	0	118	0	0	0	0	357	22	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0
3155	4103	"Huleh"	33.10556	35.52833	1235	"AWI"	1235	13181	13905	13424	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	22	0	0	0	0	135	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3155	4103	"Huleh"	33.10556	35.52833	1250	"AWI"	1250	13354	14253	13663	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	5	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	1	1	0	3	0	157	0	0	0	0	308	15	0	0	0	2	0	15	0	0	0	0	0	0	0	0	0	0	5	0
3155	4103	"Huleh"	33.10556	35.52833	1265	"AWI"	1265	13540	14624	13945	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	21	2	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	9	0	7	0	168	0	0	0	0	394	9	0	0	0	0	0	10	0	0	0	0	1	0	0	0	0	0	2	0
