"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Juglans"	"Juniperus"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"
14533	22773	"Gamperfin"	47.17139	9.38111	4	"AWI"	4	-71	341	97	34	0	41	1	2	1	4	0	9	1	0	0	0	0	24	46	0	0	0	0	0	56	6	0	0	0	0	0	1	168	130	0	0	15	13	0	0	3	3	0	0	0	1	7	0	0
14533	22773	"Gamperfin"	47.17139	9.38111	9	"AWI"	9	-37	834	295	16	1	21	0	2	0	3	0	17	2	0	0	0	0	6	26	0	0	8	0	0	39	1	0	0	8	0	0	13	64	272	25	0	16	27	0	0	0	2	0	0	0	0	1	1	0
14533	22773	"Gamperfin"	47.17139	9.38111	14	"AWI"	14	119	1019	521	12	0	70	1	2	0	2	0	27	2	0	0	0	0	14	25	0	0	0	0	0	69	1	0	0	15	0	0	12	80	57	31	144	11	24	0	1	4	6	0	0	1	0	3	2	0
14533	22773	"Gamperfin"	47.17139	9.38111	24	"AWI"	24	555	1314	964	73	0	78	0	3	0	5	0	10	2	0	0	0	0	30	45	0	0	0	0	0	140	6	0	0	5	0	0	9	176	42	2	0	15	16	0	0	2	0	0	0	1	0	5	4	0
14533	22773	"Gamperfin"	47.17139	9.38111	34	"AWI"	34	965	1528	1325	65	0	145	0	1	0	0	0	9	1	0	0	0	0	30	24	0	0	0	0	0	203	20	0	0	1	0	0	16	175	31	0	0	23	9	0	0	1	1	0	0	0	1	1	0	0
14533	22773	"Gamperfin"	47.17139	9.38111	44	"AWI"	44	1123	1811	1483	49	0	85	0	1	0	1	0	7	0	0	0	0	0	14	21	0	0	0	0	0	173	2	0	0	0	0	0	4	104	55	0	0	1	42	0	0	2	1	0	0	1	0	1	6	0
14533	22773	"Gamperfin"	47.17139	9.38111	54	"AWI"	54	1281	2016	1634	28	0	85	0	3	0	3	0	17	0	0	0	0	0	27	52	0	0	0	0	0	180	0	0	0	0	0	0	16	134	67	0	0	3	40	0	0	3	0	0	0	0	0	4	5	0
14533	22773	"Gamperfin"	47.17139	9.38111	64	"AWI"	64	1432	2208	1787	33	0	123	0	0	0	0	0	23	0	0	0	0	0	50	42	0	0	0	0	0	204	4	0	0	0	0	0	22	154	23	0	0	1	41	0	0	0	1	0	0	0	0	7	8	0
14533	22773	"Gamperfin"	47.17139	9.38111	74	"AWI"	74	1585	2408	1935	73	0	93	0	2	0	4	0	6	0	0	0	0	0	20	104	0	0	0	0	0	122	5	0	0	0	0	0	4	115	49	0	0	3	22	0	1	0	1	0	0	0	0	3	2	0
14533	22773	"Gamperfin"	47.17139	9.38111	84	"AWI"	84	1778	2576	2080	62	1	83	0	1	0	0	0	24	0	0	0	0	0	27	47	0	0	0	0	0	101	4	0	0	0	0	0	9	88	34	0	0	4	36	0	1	0	2	0	1	0	0	7	1	0
14533	22773	"Gamperfin"	47.17139	9.38111	89	"AWI"	89	1873	2668	2155	100	1	105	0	3	0	4	0	25	0	0	0	0	0	53	47	0	0	0	0	0	105	4	0	0	0	0	0	2	116	147	0	0	27	5	0	0	0	4	0	0	1	3	3	2	0
14533	22773	"Gamperfin"	47.17139	9.38111	94	"AWI"	94	2010	2851	2366	54	0	75	0	2	0	2	0	10	0	0	0	0	0	22	40	0	0	0	0	0	77	4	0	0	0	0	0	4	62	79	0	0	6	21	0	0	0	2	0	0	0	0	0	1	0
14533	22773	"Gamperfin"	47.17139	9.38111	99	"AWI"	99	2086	3279	2580	59	1	97	0	30	0	0	0	22	0	0	1	0	0	20	104	0	0	0	0	0	59	4	0	0	0	0	0	0	80	43	0	0	7	6	0	0	1	1	0	0	0	0	1	3	0
14533	22773	"Gamperfin"	47.17139	9.38111	104	"AWI"	104	2284	3495	2826	52	0	86	1	0	0	0	0	9	0	0	0	0	0	28	53	0	0	0	0	0	87	2	0	0	0	0	0	15	107	22	0	0	6	21	0	2	0	0	0	0	1	1	3	9	0
14533	22773	"Gamperfin"	47.17139	9.38111	109	"AWI"	109	2407	3744	3072	79	0	90	0	1	0	4	0	21	0	0	0	0	0	24	46	0	0	0	0	0	53	3	0	0	0	0	0	0	108	79	0	0	10	2	0	0	2	2	0	0	0	1	6	1	0
14533	22773	"Gamperfin"	47.17139	9.38111	114	"AWI"	114	2665	3892	3310	70	0	107	0	0	1	3	0	15	0	0	0	0	0	21	20	0	0	0	0	0	153	3	0	0	0	0	0	3	125	24	0	0	1	34	0	1	0	0	0	0	0	2	14	0	0
14533	22773	"Gamperfin"	47.17139	9.38111	119	"AWI"	119	2837	4054	3564	67	0	95	0	1	0	2	0	6	0	0	0	0	0	22	22	0	0	0	0	0	54	1	0	0	0	0	0	0	109	25	0	0	9	13	0	0	1	0	0	0	0	2	5	4	0
14533	22773	"Gamperfin"	47.17139	9.38111	124	"AWI"	124	3257	4164	3772	86	0	151	2	1	0	1	0	14	0	0	0	0	0	75	42	0	0	0	0	0	254	4	0	0	0	0	0	1	141	13	0	0	5	30	0	1	0	2	0	0	0	5	2	0	0
14533	22773	"Gamperfin"	47.17139	9.38111	129	"AWI"	129	3586	4315	3984	127	2	82	0	1	0	1	0	9	1	0	1	0	0	30	44	0	0	4	0	0	103	6	0	0	0	0	0	2	165	18	0	0	15	13	0	1	0	0	0	0	0	6	7	2	0
14533	22773	"Gamperfin"	47.17139	9.38111	134	"AWI"	134	3723	4443	4121	121	3	105	0	2	0	0	0	20	0	0	0	0	1	21	23	0	0	0	0	0	112	6	0	0	0	0	0	3	278	19	0	0	12	25	0	1	0	0	0	0	0	6	4	0	0
14533	22773	"Gamperfin"	47.17139	9.38111	139	"AWI"	139	3788	4645	4229	68	0	95	0	1	0	1	0	11	0	0	0	0	0	31	33	0	0	0	0	0	76	5	0	0	0	0	0	5	104	3	0	0	10	23	0	0	0	0	1	1	0	2	8	2	0
