"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Larix"	"Malvaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Quercus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sorbus"	"Tilia"	"Ulmus"
26146	45389	"Väike Juusa"	58.05917	26.51722	259	"AWI"	259	2536	3609	2973	30	0	0	0	0	94	0	0	0	0	0	7	0	0	0	0	3	0	0	0	244	87	0	0	12	0	0	0	0	0	9	14
26146	45389	"Väike Juusa"	58.05917	26.51722	275	"AWI"	275	2692	3908	3212	42	1	0	1	1	155	0	0	0	0	0	8	0	0	0	0	4	0	0	0	154	111	0	0	11	0	0	0	0	0	4	11
26146	45389	"Väike Juusa"	58.05917	26.51722	295	"AWI"	295	2947	4257	3517	40	0	0	0	0	113	0	0	0	0	0	7	0	1	0	0	4	0	0	1	176	109	0	0	23	0	0	0	1	0	7	20
26146	45389	"Väike Juusa"	58.05917	26.51722	315	"AWI"	315	3178	4539	3823	62	0	0	2	0	170	0	0	0	0	0	14	0	1	0	1	5	0	0	1	92	100	0	0	23	0	0	0	0	0	9	23
26146	45389	"Väike Juusa"	58.05917	26.51722	335	"AWI"	335	3429	4829	4139	46	0	0	0	0	145	0	0	0	0	0	25	0	0	0	3	3	0	0	1	125	108	0	0	11	0	0	0	0	0	9	24
26146	45389	"Väike Juusa"	58.05917	26.51722	355	"AWI"	355	3703	5093	4442	50	0	0	0	0	131	0	0	0	0	0	16	0	0	0	0	2	0	0	0	137	102	0	0	20	0	0	0	0	0	11	31
26146	45389	"Väike Juusa"	58.05917	26.51722	375	"AWI"	375	3990	5338	4736	57	0	0	1	0	96	0	0	0	0	0	11	0	0	0	1	4	0	0	1	139	114	0	0	20	2	0	0	0	0	15	42
26146	45389	"Väike Juusa"	58.05917	26.51722	395	"AWI"	395	4279	5573	5028	84	0	0	1	0	67	0	0	0	0	0	12	0	0	0	1	3	1	0	0	163	67	0	0	24	0	0	0	1	0	22	56
26146	45389	"Väike Juusa"	58.05917	26.51722	415	"AWI"	415	4596	5771	5314	80	0	0	2	0	65	0	0	0	0	0	10	0	0	0	3	10	2	0	0	173	74	0	0	21	3	0	0	0	0	19	41
26146	45389	"Väike Juusa"	58.05917	26.51722	435	"AWI"	435	5025	5918	5591	77	0	0	1	0	97	0	0	0	0	0	19	0	1	0	1	17	0	0	0	145	45	0	0	25	0	0	0	0	2	21	53
