"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Cornus"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Ericales"	"Euonymus"	"Fabaceae"	"Fagus"	"Fraxinus"	"Lamiaceae"	"Liliaceae"	"Oleaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Salix"	"Saxifragaceae"	"Tilia"	"Ulmus"	"Urticaceae"
14662	23004	"Miroshy"	51.19139	28.01373	12	"AWI"	12	-45	240	76	0	7	4	2	2	14	1	0	1	6	2	6	8	0	0	0	0	1	0	0	3	4	165	0	5	0	7	2	4	0	1	0	0	1
14662	23004	"Miroshy"	51.19139	28.01373	22	"AWI"	22	13	365	166	1	9	4	0	0	9	0	0	0	5	1	5	2	0	0	0	0	0	0	0	4	6	163	0	6	0	4	0	3	2	0	0	4	1
14662	23004	"Miroshy"	51.19139	28.01373	32	"AWI"	32	77	478	254	0	10	2	1	1	12	0	2	1	7	0	5	4	0	0	1	0	0	0	0	0	0	170	1	2	1	4	1	0	0	0	3	0	0
14662	23004	"Miroshy"	51.19139	28.01373	42	"AWI"	42	162	576	347	0	9	3	0	0	20	0	0	0	8	1	0	6	0	1	0	1	3	0	1	1	0	161	0	4	0	4	0	2	2	0	0	4	2
14662	23004	"Miroshy"	51.19139	28.01373	52	"AWI"	52	242	654	443	1	6	0	0	0	14	0	0	0	6	0	1	3	1	0	1	1	0	1	0	1	0	170	0	2	0	4	2	0	0	0	2	0	0
14662	23004	"Miroshy"	51.19139	28.01373	72	"AWI"	72	417	815	628	0	8	1	1	2	7	0	1	0	4	2	4	4	0	1	0	0	0	0	0	2	0	175	0	4	1	5	0	2	0	0	2	1	0
14662	23004	"Miroshy"	51.19139	28.01373	82	"AWI"	82	526	884	719	0	10	1	0	0	22	0	0	0	5	0	4	8	0	0	1	0	0	1	1	2	3	158	0	6	1	0	0	0	3	0	0	4	0
14662	23004	"Miroshy"	51.19139	28.01373	92	"AWI"	92	673	957	821	0	9	0	0	0	14	0	0	1	6	2	1	4	0	1	2	3	0	0	0	4	2	158	1	5	0	6	1	1	0	1	2	0	0
14662	23004	"Miroshy"	51.19139	28.01373	102	"AWI"	102	787	1171	954	1	16	0	0	3	18	0	1	1	4	3	8	4	1	0	2	0	0	0	0	5	8	150	0	4	0	0	0	0	0	0	0	0	0
14662	23004	"Miroshy"	51.19139	28.01373	112	"AWI"	112	896	1442	1129	0	11	0	0	0	18	2	0	0	6	2	3	4	1	0	0	0	0	0	0	3	2	159	0	6	1	4	0	0	0	1	0	1	0
14662	23004	"Miroshy"	51.19139	28.01373	132	"AWI"	132	1234	1750	1516	2	14	1	0	0	22	0	0	0	7	0	3	1	0	1	0	0	1	0	0	7	2	159	0	6	0	3	2	0	0	0	1	0	0
14662	23004	"Miroshy"	51.19139	28.01373	142	"AWI"	142	1532	1872	1701	0	14	0	0	0	12	0	0	0	6	0	4	4	2	0	0	0	0	0	1	5	2	160	0	6	0	4	0	0	1	0	1	0	0
14662	23004	"Miroshy"	51.19139	28.01373	152	"AWI"	152	1753	2645	2037	0	16	1	0	0	14	0	0	0	4	2	4	1	0	0	0	0	0	0	0	0	0	165	0	4	0	3	1	1	0	0	2	0	0
14662	23004	"Miroshy"	51.19139	28.01373	162	"AWI"	162	1980	3267	2506	0	16	0	0	0	22	0	0	0	4	0	5	4	0	2	0	0	0	0	2	0	2	149	0	6	1	4	1	0	0	0	0	1	1
14662	23004	"Miroshy"	51.19139	28.01373	172	"AWI"	172	2372	3756	3066	0	18	0	0	1	28	0	1	0	3	0	4	1	0	0	0	0	1	0	0	0	3	144	0	3	0	4	0	1	0	0	1	2	0
14662	23004	"Miroshy"	51.19139	28.01373	182	"AWI"	182	2859	4134	3590	0	12	0	0	0	18	0	0	0	4	0	2	2	0	1	0	0	0	0	0	0	1	162	0	4	0	4	2	0	0	0	2	1	0
14662	23004	"Miroshy"	51.19139	28.01373	192	"AWI"	192	3651	4398	4106	1	16	0	2	7	22	0	0	0	4	0	4	1	0	0	0	0	0	0	2	0	0	157	0	4	0	3	0	0	1	0	0	1	0
14662	23004	"Miroshy"	51.19139	28.01373	202	"AWI"	202	4377	6116	4877	0	28	1	0	3	24	0	0	0	5	3	5	6	0	1	0	0	0	0	0	0	3	138	0	16	0	6	0	1	0	0	0	1	0
14662	23004	"Miroshy"	51.19139	28.01373	212	"AWI"	212	4910	7419	5981	0	12	3	0	6	18	0	0	0	5	2	3	1	0	0	0	0	0	0	0	0	6	160	0	8	0	3	0	2	3	0	0	1	0
14662	23004	"Miroshy"	51.19139	28.01373	222	"AWI"	222	5810	8272	7142	0	6	5	1	3	20	0	0	0	7	0	10	0	2	0	0	0	0	0	0	0	0	173	0	5	1	1	1	0	0	0	0	0	0
14662	23004	"Miroshy"	51.19139	28.01373	232	"AWI"	232	7113	8848	8226	0	4	6	0	4	9	1	1	0	4	1	5	0	0	2	0	0	0	0	0	0	0	183	0	6	0	3	0	0	0	0	0	1	0
14662	23004	"Miroshy"	51.19139	28.01373	242	"AWI"	242	8708	9538	9102	0	10	8	0	4	13	0	0	0	4	0	3	3	0	0	0	0	0	0	3	0	0	172	0	4	0	3	0	1	0	0	0	2	0
