"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caryophyllaceae"	"Castanea"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Geraniaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Ligustrum"	"Olea"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Sorbus"	"Tilia"	"Ulmus"	"Urticaceae"
15746	24183	"Etang de la Gruère"	47.24056	7.05	1.5	"AWI"	1.5	-42	-35	-39	17	4	5	3	0	0	2	0	45	3	0	0	0	0	3	10	19	0	0	0	0	38	37	0	0	0	0	0	0	0	0	15	78	547	0	1	101	0	46	0	0	1	6	0	1	0	1	1	3	0
15746	24183	"Etang de la Gruère"	47.24056	7.05	4.5	"AWI"	4.5	-36.5	-27.5	-33	33	2	10	3	0	1	2	0	37	10	0	0	0	0	8	23	20	0	0	0	0	35	68	0	0	0	0	2	0	0	0	18	157	343	15	0	116	0	58	0	0	0	2	0	0	0	0	2	0	0
15746	24183	"Etang de la Gruère"	47.24056	7.05	7.5	"AWI"	7.5	-29	-14	-22	17	8	17	0	19	0	1	0	26	45	1	2	0	0	2	44	8	0	0	0	12	44	27	0	1	0	0	1	0	0	2	24	184	168	18	0	165	0	30	8	0	3	8	6	0	0	5	0	7	3
15746	24183	"Etang de la Gruère"	47.24056	7.05	10.5	"AWI"	10.5	-14.5	-4.5	-10	31	3	10	0	50	3	0	0	12	31	0	0	0	0	5	17	17	0	0	4	40	63	13	0	2	0	0	0	0	0	0	9	76	320	24	0	155	0	44	0	20	0	0	3	0	0	4	0	2	5
15746	24183	"Etang de la Gruère"	47.24056	7.05	13.5	"AWI"	13.5	-3.5	8	2	32	5	26	3	10	3	1	0	18	29	0	10	0	0	7	28	25	0	0	2	41	65	32	1	1	0	0	3	0	0	0	24	183	334	26	0	186	0	38	0	0	2	10	3	0	0	2	1	2	2
15746	24183	"Etang de la Gruère"	47.24056	7.05	16.5	"AWI"	16.5	6	20.5	12.5	32	2	11	3	25	3	0	0	11	50	0	12	1	0	9	13	10	1	0	1	228	43	13	1	0	0	0	0	0	0	0	6	133	141	0	0	87	2	30	0	0	2	14	0	0	0	4	0	1	0
15746	24183	"Etang de la Gruère"	47.24056	7.05	19.5	"AWI"	19.5	14	32.5	22.5	44	3	7	1	0	1	0	0	15	8	0	0	0	0	5	17	79	0	0	0	20	42	12	0	2	0	0	0	0	0	0	21	245	196	21	0	162	0	32	9	0	1	9	0	0	0	0	0	0	2
15746	24183	"Etang de la Gruère"	47.24056	7.05	22.5	"AWI"	22.5	25.5	47	35.5	36	2	9	3	0	0	0	0	8	20	0	1	0	0	6	23	44	0	0	3	0	39	12	0	1	1	0	0	2	0	0	18	256	225	51	0	197	0	20	0	0	0	14	0	0	0	1	1	3	1
15746	24183	"Etang de la Gruère"	47.24056	7.05	25.5	"AWI"	25.5	43.5	65.5	53.5	51	3	17	0	0	2	0	0	6	8	0	0	1	0	8	51	24	0	0	0	7	41	12	0	4	0	0	0	1	0	0	14	229	259	38	0	181	0	19	0	0	3	14	2	0	0	0	1	2	2
15746	24183	"Etang de la Gruère"	47.24056	7.05	28.5	"AWI"	28.5	76	96.5	86	70	2	23	3	0	1	0	0	19	3	1	0	3	0	6	56	22	0	0	0	0	103	13	0	5	0	0	1	1	1	0	21	195	216	34	0	111	0	37	14	0	0	13	3	0	0	1	0	4	1
15746	24183	"Etang de la Gruère"	47.24056	7.05	31.5	"AWI"	31.5	111.5	175	134	73	5	31	0	0	0	1	0	36	5	2	2	12	3	11	116	37	0	0	0	9	181	14	0	3	0	0	0	2	0	0	43	137	135	40	0	111	0	68	0	0	1	6	1	0	0	1	1	4	1
15746	24183	"Etang de la Gruère"	47.24056	7.05	34.5	"AWI"	34.5	178	401	258	159	2	18	2	0	0	1	0	46	3	0	0	7	0	4	91	11	0	0	0	7	169	6	0	2	0	1	0	1	1	0	31	150	101	23	0	64	0	70	0	8	2	5	3	0	0	0	0	1	0
15746	24183	"Etang de la Gruère"	47.24056	7.05	37.5	"AWI"	37.5	456.5	639	560.5	105	3	29	1	0	0	5	0	52	9	0	0	11	0	5	122	25	0	0	0	0	146	9	0	10	0	0	0	0	0	0	36	107	104	27	0	73	0	99	0	0	0	5	1	0	0	1	2	1	1
15746	24183	"Etang de la Gruère"	47.24056	7.05	40.5	"AWI"	40.5	685	876.5	772	260	1	23	0	0	0	2	0	37	1	0	1	3	0	1	43	15	0	0	0	0	214	7	0	1	0	0	0	0	0	0	38	244	16	0	0	35	0	39	0	0	1	3	1	0	0	0	0	5	0
15746	24183	"Etang de la Gruère"	47.24056	7.05	43.5	"AWI"	43.5	818.5	946.5	886	203	4	63	0	0	0	6	0	46	3	0	0	2	0	0	84	12	0	0	0	0	332	9	0	2	0	0	0	0	0	0	79	64	6	12	0	51	0	102	0	0	0	5	6	0	0	0	0	9	0
15746	24183	"Etang de la Gruère"	47.24056	7.05	46.5	"AWI"	46.5	910	1066	976.5	398	1	105	0	0	0	1	0	33	0	0	0	7	0	1	53	20	0	0	0	0	204	14	0	0	0	0	1	0	0	0	38	128	19	0	0	51	0	60	0	0	1	3	4	0	0	1	1	7	1
15746	24183	"Etang de la Gruère"	47.24056	7.05	49.5	"AWI"	49.5	965.5	1219.5	1069.5	251	0	51	2	0	0	3	0	15	0	0	0	3	0	2	64	15	0	0	0	0	312	14	0	2	0	0	0	0	0	0	59	73	8	19	0	62	0	54	0	0	0	6	4	0	0	0	0	6	1
15746	24183	"Etang de la Gruère"	47.24056	7.05	52.5	"AWI"	52.5	1034.5	1322	1167	217	4	109	0	0	0	1	0	20	0	0	0	4	0	1	68	5	0	0	0	0	307	27	0	2	0	0	0	0	0	0	77	100	19	0	0	21	0	60	0	0	2	6	2	0	0	0	0	10	0
15746	24183	"Etang de la Gruère"	47.24056	7.05	55.5	"AWI"	55.5	1124	1408.5	1265	180	1	108	0	0	0	3	0	61	1	1	0	4	0	0	103	3	0	0	0	0	281	38	0	1	0	0	0	0	0	0	68	71	19	0	0	26	0	81	0	0	0	0	1	0	0	0	0	16	0
15746	24183	"Etang de la Gruère"	47.24056	7.05	58.5	"AWI"	58.5	1244	1483	1360	251	1	78	0	0	0	5	0	82	0	0	0	0	0	1	73	2	0	0	0	0	242	20	0	2	0	0	0	0	0	0	64	154	38	0	0	21	0	85	0	0	0	0	1	0	0	0	0	5	0
15746	24183	"Etang de la Gruère"	47.24056	7.05	61.5	"AWI"	61.5	1370	1549	1441	201	2	83	1	0	0	2	0	47	3	1	0	2	0	0	98	14	0	0	0	0	320	14	0	4	0	0	0	0	0	0	25	171	20	9	0	52	0	91	0	0	0	0	2	0	0	1	0	3	0
15746	24183	"Etang de la Gruère"	47.24056	7.05	64.5	"AWI"	64.5	1440.5	1626.5	1514	258	2	31	0	0	0	6	0	26	0	2	2	1	0	0	57	16	0	0	0	0	243	12	0	4	0	0	0	0	0	0	13	142	30	18	0	0	0	93	0	0	1	0	0	0	1	1	0	3	1
15746	24183	"Etang de la Gruère"	47.24056	7.05	67.5	"AWI"	67.5	1498.5	1744.5	1600.5	202	1	67	1	0	0	4	0	48	1	0	0	1	0	0	59	23	0	0	0	0	250	12	0	3	0	0	1	0	0	0	21	166	26	14	0	47	0	95	0	0	0	4	0	0	0	0	0	3	0
15746	24183	"Etang de la Gruère"	47.24056	7.05	70.5	"AWI"	70.5	1565	1865	1699	187	0	69	2	0	0	5	0	34	0	1	0	1	0	0	71	23	0	0	0	0	347	9	0	1	0	0	0	0	0	0	12	120	24	18	0	40	0	94	0	0	0	0	0	0	0	0	0	1	1
15746	24183	"Etang de la Gruère"	47.24056	7.05	73.5	"AWI"	73.5	1642	1960.5	1800	115	1	114	2	0	0	7	0	63	1	0	0	3	0	0	81	8	0	0	0	0	305	6	0	0	0	0	0	0	0	0	24	135	21	0	0	0	0	113	0	0	0	0	0	0	0	0	0	4	0
15746	24183	"Etang de la Gruère"	47.24056	7.05	76.5	"AWI"	76.5	1738	2039.5	1898.5	220	1	75	0	0	0	1	0	42	0	0	0	0	0	0	54	9	0	0	0	0	305	5	0	0	0	0	0	0	0	0	3	247	15	0	0	31	0	105	0	0	0	0	0	0	0	0	0	4	0
15746	24183	"Etang de la Gruère"	47.24056	7.05	79.5	"AWI"	79.5	1858	2116	1995.5	203	1	86	1	0	0	3	0	73	0	0	0	1	0	0	58	13	0	0	0	0	286	9	0	1	0	0	0	0	0	0	6	138	9	10	0	0	0	101	0	0	0	0	1	0	0	0	0	3	0
