"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Convolvulaceae"	"Coriariaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Geraniaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Ligustrum"	"Lythraceae"	"Malvaceae"	"Myrtaceae"	"Olea"	"Ostrya.Carpinus"	"Phillyrea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Tamarix"	"Thalictrum"	"Thymelaeaceae"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"
2968	3868	"Algendar"	39.94056	3.95861	100	"AWI"	100	1606	3102	2281	0	0	57	35	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	10	2	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	5	0	0	0	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0
2968	3868	"Algendar"	39.94056	3.95861	125	"AWI"	125	1737	3174	2390	0	0	0	22	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	15	3	205	0	0	0	1	0	0	0	0	0	0	0	0	0	0	12	0	1	0	1	0	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0
2968	3868	"Algendar"	39.94056	3.95861	175	"AWI"	175	1899	3420	2627	0	0	2	201	0	2	0	0	0	0	2	0	0	0	0	0	0	2	0	3	0	72	0	0	0	0	0	0	11	0	0	0	0	20	0	0	14	0	2	0	0	0	7	19	0	0	0	8	0	0	0	0	0	0	0	0	0
2968	3868	"Algendar"	39.94056	3.95861	220	"AWI"	220	2078	3645	2808	0	0	4	183	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	54	1	89	0	0	0	0	0	0	11	0	0	0	0	18	0	3	21	0	44	0	2	0	2	13	0	0	0	9	0	0	3	1	1	0	0	0	1
2968	3868	"Algendar"	39.94056	3.95861	235	"AWI"	235	2125	3695	2871	0	2	19	30	2	0	0	0	0	0	3	0	0	1	0	0	1	2	0	19	3	205	0	0	0	2	0	0	4	4	0	0	0	64	0	9	21	3	31	0	0	0	7	48	0	0	0	0	0	0	0	0	2	1	0	0	0
2968	3868	"Algendar"	39.94056	3.95861	250	"AWI"	250	2165	3751	2929	0	6	30	16	6	14	0	1	0	3	0	0	0	0	0	0	3	3	0	8	3	185	0	0	5	2	0	0	0	0	0	0	1	31	0	8	4	1	21	0	1	0	10	34	1	0	0	3	0	0	4	0	0	0	0	0	2
2968	3868	"Algendar"	39.94056	3.95861	265	"AWI"	265	2204	3816	2991	0	3	7	11	0	1	0	0	0	0	2	0	0	1	0	0	0	1	0	10	0	35	0	0	0	1	0	0	0	0	2	0	1	15	0	2	17	9	4	0	0	0	0	14	0	0	0	4	0	0	3	0	0	1	0	0	0
2968	3868	"Algendar"	39.94056	3.95861	280	"AWI"	280	2233	3867	3049	0	1	8	14	0	7	0	1	0	0	1	0	0	1	8	0	0	1	0	15	0	104	0	0	0	1	0	0	1	3	0	0	0	19	0	3	6	0	14	0	0	0	7	39	0	0	0	0	1	0	0	2	0	0	0	0	3
2968	3868	"Algendar"	39.94056	3.95861	295	"AWI"	295	2301	3914	3108	0	4	110	3	8	7	0	0	0	0	0	0	0	0	0	0	0	2	0	24	0	45	0	0	0	0	0	0	4	0	0	0	0	25	0	3	68	0	13	0	0	0	1	12	0	0	0	2	0	0	4	0	0	2	0	0	2
2968	3868	"Algendar"	39.94056	3.95861	310	"AWI"	310	2385	3942	3173	0	8	35	14	2	6	0	2	0	1	0	0	0	0	0	0	0	16	0	19	3	106	0	0	0	3	0	0	2	0	0	0	1	17	0	3	13	1	22	24	2	0	9	25	0	0	0	1	0	0	4	1	0	0	1	0	4
2968	3868	"Algendar"	39.94056	3.95861	325	"AWI"	325	2449	3972	3239	0	0	8	9	1	8	0	0	0	0	0	1	0	0	0	0	2	2	0	16	0	140	0	0	0	0	1	0	3	1	0	0	0	19	0	3	3	1	13	0	3	0	0	33	0	0	1	1	0	0	0	0	0	0	0	0	8
2968	3868	"Algendar"	39.94056	3.95861	340	"AWI"	340	2504	4013	3306	0	3	15	9	0	10	0	0	0	0	0	0	0	0	0	0	0	3	0	4	2	90	0	0	1	2	0	0	2	0	0	0	0	14	0	10	2	0	43	13	0	0	1	2	0	0	0	0	0	0	5	0	0	1	0	0	1
2968	3868	"Algendar"	39.94056	3.95861	355	"AWI"	355	2552	4049	3369	0	0	2	12	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	14	77	0	0	1	0	0	4	0	0	0	0	0	36	0	9	14	0	63	0	2	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0
2968	3868	"Algendar"	39.94056	3.95861	370	"AWI"	370	2592	4115	3427	0	3	4	24	3	0	0	0	0	1	0	2	0	2	0	0	0	6	0	4	9	136	0	0	0	2	0	1	0	1	0	0	0	28	0	1	6	0	63	0	6	0	0	11	0	0	0	2	0	0	1	0	2	4	0	0	2
2968	3868	"Algendar"	39.94056	3.95861	400	"AWI"	400	2770	4188	3546	0	4	6	7	1	2	0	0	0	0	0	0	0	0	0	1	0	14	0	3	4	46	0	64	1	0	0	8	3	0	0	0	0	79	0	19	17	1	15	0	0	0	11	8	2	0	0	0	0	0	8	0	1	0	0	0	0
2968	3868	"Algendar"	39.94056	3.95861	435	"AWI"	435	2933	4277	3690	0	2	1	13	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	6	81	0	0	0	1	0	3	0	0	0	0	0	82	1	10	3	2	56	0	4	0	2	8	0	0	0	1	0	0	21	0	0	1	0	0	0
2968	3868	"Algendar"	39.94056	3.95861	470	"AWI"	470	3050	4423	3840	0	5	7	23	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	3	172	0	0	0	4	0	3	0	0	0	0	0	27	0	1	2	0	77	0	14	0	1	2	0	0	0	1	0	0	1	1	1	0	0	0	0
2968	3868	"Algendar"	39.94056	3.95861	500	"AWI"	500	3268	4468	3958	0	4	2	1	0	1	66	0	0	0	0	1	0	0	0	0	0	2	0	3	3	114	0	0	0	0	0	0	0	0	0	0	0	27	1	7	7	0	59	0	2	0	0	3	0	0	0	0	0	0	6	0	0	0	0	0	0
2968	3868	"Algendar"	39.94056	3.95861	535	"AWI"	535	3441	4543	4107	0	8	5	8	0	2	0	0	0	0	0	0	0	1	0	0	0	6	0	0	4	116	0	0	0	0	0	2	0	0	0	0	0	20	0	2	7	2	48	0	0	0	1	21	0	0	0	0	0	0	7	0	0	0	0	0	0
2968	3868	"Algendar"	39.94056	3.95861	570	"AWI"	570	3615	4662	4251	0	4	8	8	0	3	0	0	0	1	0	0	0	0	0	0	0	7	0	2	1	201	0	0	0	0	0	0	1	0	0	0	0	25	0	6	2	0	37	0	2	0	5	10	0	0	0	0	0	0	1	1	0	1	0	1	0
2968	3868	"Algendar"	39.94056	3.95861	600	"AWI"	600	3904	4690	4358	0	1	16	8	0	3	0	0	0	1	0	0	0	0	0	0	1	4	0	11	0	79	0	0	0	0	1	0	0	1	0	0	0	14	0	2	5	2	25	0	0	0	6	13	0	0	0	0	0	0	0	1	0	0	0	0	0
2968	3868	"Algendar"	39.94056	3.95861	610	"AWI"	610	3993	4702	4395	0	2	4	8	4	4	0	0	0	5	0	0	0	1	0	0	0	2	0	0	3	41	0	0	0	0	0	3	0	0	0	1	2	59	0	9	4	0	39	0	1	0	0	10	0	0	0	0	0	0	1	0	0	0	0	0	0
2968	3868	"Algendar"	39.94056	3.95861	620	"AWI"	620	4084	4717	4429	0	4	17	18	2	5	0	0	0	1	0	0	0	0	0	0	0	6	0	5	2	131	0	0	0	5	0	2	4	0	0	0	0	37	0	5	5	0	40	0	7	0	0	13	0	0	0	0	0	0	0	0	0	3	0	0	3
2968	3868	"Algendar"	39.94056	3.95861	630	"AWI"	630	4162	4733	4466	0	4	20	18	0	7	0	0	0	0	0	1	0	3	0	0	0	1	0	3	4	88	0	0	0	3	0	0	0	0	0	0	0	28	0	6	3	0	41	0	0	0	8	17	0	0	0	0	0	0	0	0	3	0	0	0	0
2968	3868	"Algendar"	39.94056	3.95861	640	"AWI"	640	4236	4750	4505	0	6	3	16	3	0	0	0	0	0	1	0	0	0	0	0	0	7	0	4	11	61	0	0	0	0	0	10	0	0	0	0	0	26	0	2	5	1	21	0	1	0	2	11	0	0	0	0	0	0	0	0	0	0	0	0	1
2968	3868	"Algendar"	39.94056	3.95861	650	"AWI"	650	4288	4774	4545	0	7	8	45	2	5	0	2	0	1	13	0	0	1	0	0	0	15	0	3	18	52	0	0	0	0	0	23	0	0	0	0	0	21	0	4	6	0	11	0	3	0	4	11	0	0	0	0	0	0	0	0	0	0	0	0	0
2968	3868	"Algendar"	39.94056	3.95861	660	"AWI"	660	4348	4799	4581	0	13	2	23	3	5	0	0	0	1	3	0	0	3	5	0	0	2	0	3	3	67	0	0	0	1	0	4	0	0	0	0	0	68	0	9	20	0	37	0	0	0	3	3	0	0	0	0	0	0	0	0	3	0	0	0	0
2968	3868	"Algendar"	39.94056	3.95861	670	"AWI"	670	4416	4821	4617	0	3	4	22	0	0	0	1	0	1	5	0	0	0	0	0	0	10	0	0	6	93	0	0	0	0	0	8	1	0	0	0	0	46	1	4	15	2	39	0	1	0	8	5	1	0	0	0	0	0	9	0	0	0	0	0	1
2968	3868	"Algendar"	39.94056	3.95861	680	"AWI"	680	4446	4865	4660	0	4	3	85	0	2	0	0	0	0	35	0	0	0	0	0	0	10	0	3	29	22	0	0	0	0	0	31	0	0	0	0	0	8	0	0	3	0	2	0	3	0	2	3	0	0	0	0	0	0	1	0	5	0	0	0	0
2968	3868	"Algendar"	39.94056	3.95861	700	"AWI"	700	4483	4989	4745	0	7	9	51	0	6	0	0	0	0	5	3	0	0	0	0	0	11	0	0	22	15	0	0	0	0	0	36	3	0	0	0	0	20	0	2	14	3	2	0	0	0	5	5	0	0	0	0	0	0	1	0	2	0	0	0	0
2968	3868	"Algendar"	39.94056	3.95861	715	"AWI"	715	4510	5093	4805	0	7	0	37	1	0	0	0	0	1	5	2	0	2	0	0	0	2	0	2	16	9	0	0	0	0	0	54	4	0	0	0	0	2	0	1	5	2	0	0	0	0	2	4	0	0	0	0	0	0	0	0	5	1	0	0	0
2968	3868	"Algendar"	39.94056	3.95861	730	"AWI"	730	4532	5212	4857	0	8	0	79	0	2	0	0	0	0	14	0	0	0	0	0	0	7	0	1	27	19	0	2	0	0	0	34	0	0	0	0	0	4	0	0	8	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	5	0	0	0	0
2968	3868	"Algendar"	39.94056	3.95861	745	"AWI"	745	4550	5348	4908	0	4	1	156	0	0	0	0	0	0	1	0	0	0	0	0	0	24	0	1	21	27	0	0	0	0	0	49	4	0	0	0	0	12	0	1	5	4	0	0	2	0	0	7	0	0	0	0	0	0	0	0	4	0	0	0	0
2968	3868	"Algendar"	39.94056	3.95861	760	"AWI"	760	4609	5400	4968	0	3	4	65	0	2	0	1	0	0	29	0	0	0	0	0	0	10	0	0	21	23	0	0	0	0	0	41	2	0	0	0	0	2	0	3	1	4	5	0	1	0	2	10	0	0	1	0	0	0	0	0	0	0	0	0	0
2968	3868	"Algendar"	39.94056	3.95861	775	"AWI"	775	4676	5426	5032	0	3	0	112	0	9	0	0	0	3	29	0	0	0	0	0	0	9	0	0	20	20	0	0	0	2	0	24	0	0	0	0	0	15	0	3	1	0	4	0	0	0	5	8	0	0	0	0	0	0	0	0	4	0	0	0	1
2968	3868	"Algendar"	39.94056	3.95861	790	"AWI"	790	4731	5455	5099	0	1	7	85	0	6	0	4	0	0	26	1	0	0	0	1	0	11	0	0	22	20	0	0	0	0	0	34	4	0	0	0	0	21	0	5	4	1	3	0	0	0	6	12	1	1	0	0	0	0	0	0	3	0	3	0	0
2968	3868	"Algendar"	39.94056	3.95861	800	"AWI"	800	4757	5483	5146	0	4	3	78	0	0	0	2	0	0	25	0	0	0	0	0	0	12	0	0	10	28	0	0	0	0	0	57	2	0	0	0	0	16	1	5	6	0	7	0	0	0	0	9	0	0	0	0	0	1	0	0	2	0	1	0	0
2968	3868	"Algendar"	39.94056	3.95861	820	"AWI"	820	4803	5554	5239	0	9	3	134	2	1	0	0	0	0	17	1	0	0	0	0	0	7	0	4	24	9	0	0	0	0	0	23	0	0	0	0	0	19	0	1	0	0	3	0	1	0	0	10	0	0	0	0	0	0	0	0	5	0	0	2	0
