"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Celastraceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Fraxinus"	"Geraniaceae"	"Hypericaceae"	"Juniperus"	"Lamiaceae"	"Lentibulariaceae"	"Orobanchaceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
3115	4057	"Frengstadsetra"	62.57327	10.12398	5	"AWI"	5	2750	5119	4188	20	0	1	0	4	197	0	0	0	0	0	1187	0	0	0	2	0	0	18	0	0	2	6	273	0	26	0	0	0	0	0	1	1	0	36	0	0	0
3115	4057	"Frengstadsetra"	62.57327	10.12398	10	"AWI"	10	2980	5281	4400	14	1	0	1	6	149	0	0	0	1	2	1210	0	0	0	0	0	0	38	0	0	3	9	346	0	47	0	1	0	0	0	0	5	0	0	0	1	0
3115	4057	"Frengstadsetra"	62.57327	10.12398	15	"AWI"	15	3385	5376	4592	12	1	0	0	4	216	0	0	0	0	2	1052	0	0	0	0	0	0	45	0	0	2	5	272	0	52	0	2	0	0	0	0	3	0	16	0	1	1
3115	4057	"Frengstadsetra"	62.57327	10.12398	20	"AWI"	20	3661	5515	4799	19	0	1	0	4	210	0	0	0	0	1	1105	0	0	0	0	0	0	35	0	0	5	2	280	0	45	0	0	0	0	0	6	0	1	63	1	1	0
3115	4057	"Frengstadsetra"	62.57327	10.12398	25	"AWI"	25	4097	5600	4993	28	0	1	0	4	235	0	0	0	1	2	430	0	4	1	0	1	0	28	0	0	3	2	312	0	81	4	1	0	0	3	3	1	0	72	0	1	0
3115	4057	"Frengstadsetra"	62.57327	10.12398	30	"AWI"	30	4377	5735	5218	39	0	2	0	6	222	0	1	0	0	4	783	0	0	0	0	0	0	30	1	0	3	0	312	0	36	0	0	0	0	3	1	5	1	81	0	1	0
3115	4057	"Frengstadsetra"	62.57327	10.12398	35	"AWI"	35	4900	5803	5381	36	0	0	0	0	187	0	1	0	0	2	538	0	0	0	0	1	0	31	0	0	0	0	276	0	22	0	5	0	0	2	1	0	0	28	0	7	0
3115	4057	"Frengstadsetra"	62.57327	10.12398	40	"AWI"	40	5277	5915	5563	58	0	0	0	0	181	0	0	0	0	4	205	0	0	0	0	0	0	22	0	0	1	0	273	0	14	0	0	0	0	0	1	1	0	13	1	1	0
3115	4057	"Frengstadsetra"	62.57327	10.12398	45	"AWI"	45	5464	6185	5820	117	0	0	0	4	179	0	0	0	0	3	123	0	0	0	0	0	0	14	0	0	1	0	352	0	31	0	1	0	0	0	1	1	2	6	0	6	0
3115	4057	"Frengstadsetra"	62.57327	10.12398	50	"AWI"	50	5551	6624	6060	147	0	0	1	3	283	0	0	0	0	7	148	0	2	0	0	0	0	28	0	0	1	0	245	0	24	0	1	0	0	0	3	2	0	1	0	11	0
3115	4057	"Frengstadsetra"	62.57327	10.12398	55	"AWI"	55	5935	6722	6317	161	0	0	0	4	142	0	0	0	0	5	188	0	0	0	0	0	0	12	0	0	1	0	225	0	38	0	0	0	0	2	1	2	0	0	0	7	0
3115	4057	"Frengstadsetra"	62.57327	10.12398	60	"AWI"	60	6121	6927	6591	209	0	0	0	30	104	0	0	0	0	10	0	0	31	0	0	0	0	5	0	0	5	0	175	0	61	1	1	0	0	0	2	5	0	2	0	6	0
3115	4057	"Frengstadsetra"	62.57327	10.12398	65	"AWI"	65	6447	7060	6771	171	0	0	0	18	136	0	0	0	0	5	43	0	0	0	0	0	0	10	0	0	0	0	182	0	28	0	0	0	0	1	0	0	0	1	0	4	0
3115	4057	"Frengstadsetra"	62.57327	10.12398	70	"AWI"	70	6573	7383	6949	106	0	0	0	0	140	0	0	0	0	11	231	0	0	0	0	0	0	10	0	0	0	0	305	0	22	0	1	0	0	0	0	1	0	1	1	9	0
3115	4057	"Frengstadsetra"	62.57327	10.12398	75	"AWI"	75	6692	7511	7081	230	0	0	0	2	140	0	1	0	0	6	122	0	0	0	0	0	0	7	0	0	0	0	281	0	47	0	1	0	0	1	1	2	0	0	1	7	0
3115	4057	"Frengstadsetra"	62.57327	10.12398	80	"AWI"	80	6770	7727	7205	179	0	0	0	0	118	0	0	0	0	5	31	0	0	0	0	0	1	17	0	0	1	0	217	0	55	0	0	0	0	2	3	13	0	3	0	1	0
3115	4057	"Frengstadsetra"	62.57327	10.12398	85	"AWI"	85	6891	7824	7352	215	0	0	0	3	71	0	1	0	0	6	43	0	0	0	0	0	0	4	0	0	2	0	220	0	24	0	0	0	0	0	0	8	0	3	0	3	0
3115	4057	"Frengstadsetra"	62.57327	10.12398	90	"AWI"	90	6969	8003	7490	237	0	0	0	0	102	0	0	0	0	5	46	0	0	0	0	0	0	21	0	0	5	0	229	0	25	0	0	0	0	1	2	2	0	0	0	2	1
3115	4057	"Frengstadsetra"	62.57327	10.12398	95	"AWI"	95	7130	8073	7622	257	0	0	0	0	84	0	0	0	0	5	87	0	0	0	0	0	0	8	0	0	1	0	285	0	26	0	0	0	0	0	1	2	0	0	0	1	0
3115	4057	"Frengstadsetra"	62.57327	10.12398	100	"AWI"	100	7225	8206	7760	172	0	0	0	0	102	0	0	0	0	2	287	0	0	0	0	0	0	18	0	0	1	0	258	0	25	0	1	0	0	0	1	4	0	0	0	0	0
3115	4057	"Frengstadsetra"	62.57327	10.12398	105	"AWI"	105	7801	8287	8021	93	0	0	0	0	71	0	0	0	0	1	327	0	0	0	0	0	0	7	0	0	0	0	375	0	29	0	0	0	0	0	1	2	0	0	0	3	0
