"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Cannabaceae"	"Caryophyllaceae"	"Cistaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fagus"	"Fraxinus"	"Juglans"	"Juniperus"	"Lamiaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Solanaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Vitaceae"
2960	3859	"Black Sea (Southwest 1)"	42.18417	28.91667	0	"AWI"	0	-146	16	-68	0	0	59	21	5	0	46	0	16	2	0	0	0	0	38	0	0	5	16	0	0	3	0	47	0	82	1	0	0	1	153	0	0	0	1	1	3	0	1	2	5	0
2960	3859	"Black Sea (Southwest 1)"	42.18417	28.91667	10	"AWI"	10	30	1906	683	1	0	29	10	4	0	48	0	7	0	3	0	0	1	22	0	0	7	12	1	0	0	0	35	0	63	0	0	0	0	91	0	0	0	0	0	0	1	0	3	5	0
2960	3859	"Black Sea (Southwest 1)"	42.18417	28.91667	20	"AWI"	20	476	2687	1596	1	0	44	4	2	1	28	0	16	0	0	0	0	0	23	0	0	4	17	2	0	2	0	73	1	85	0	0	0	0	104	0	0	0	1	0	5	0	1	5	4	0
2960	3859	"Black Sea (Southwest 1)"	42.18417	28.91667	30	"AWI"	30	1380	3123	2485	1	0	27	11	1	0	50	0	14	1	2	0	1	0	21	1	0	4	33	0	1	1	0	78	1	85	0	1	0	0	144	0	1	0	1	0	1	0	3	4	9	0
2960	3859	"Black Sea (Southwest 1)"	42.18417	28.91667	40	"AWI"	40	2897	3784	3280	2	1	27	19	2	0	42	0	6	4	3	1	0	0	25	0	0	6	28	1	0	2	0	65	2	43	0	1	0	0	143	0	0	0	6	0	0	0	1	6	9	0
2960	3859	"Black Sea (Southwest 1)"	42.18417	28.91667	50	"AWI"	50	3252	5471	4047	1	0	16	17	0	1	47	0	8	2	2	0	1	0	77	0	0	3	40	3	0	0	2	56	13	116	0	0	0	0	231	0	0	0	3	0	3	0	1	9	11	0
2960	3859	"Black Sea (Southwest 1)"	42.18417	28.91667	60	"AWI"	60	3741	6385	5002	0	0	21	10	1	1	52	0	2	0	0	0	0	0	140	1	0	0	15	10	0	2	0	27	5	32	0	1	0	1	166	2	2	0	1	0	1	0	0	6	24	1
2960	3859	"Black Sea (Southwest 1)"	42.18417	28.91667	65	"AWI"	65	4231	6605	5484	3	0	17	16	4	1	46	0	0	0	1	1	0	0	151	2	1	0	17	3	0	5	1	0	0	34	1	0	0	0	172	3	0	0	0	1	1	0	0	4	36	0
2960	3859	"Black Sea (Southwest 1)"	42.18417	28.91667	80	"AWI"	80	5771	7381	6871	0	1	0	95	0	0	125	0	6	3	0	1	0	0	3	0	2	0	0	0	0	0	1	0	0	86	0	0	0	0	40	0	0	0	0	0	0	0	0	1	1	0
2960	3859	"Black Sea (Southwest 1)"	42.18417	28.91667	90	"AWI"	90	6976	7902	7463	0	0	0	125	0	0	111	0	2	0	0	0	0	0	0	0	3	1	0	0	0	4	4	0	0	65	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0
2960	3859	"Black Sea (Southwest 1)"	42.18417	28.91667	100	"AWI"	100	7209	8535	7770	0	0	0	107	0	0	210	0	8	2	0	0	0	0	6	0	1	0	0	0	0	0	1	0	0	61	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0
2960	3859	"Black Sea (Southwest 1)"	42.18417	28.91667	110	"AWI"	110	7434	9033	8099	0	0	1	47	0	0	121	0	6	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2960	3859	"Black Sea (Southwest 1)"	42.18417	28.91667	120	"AWI"	120	7666	9444	8444	0	0	0	71	0	0	124	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2960	3859	"Black Sea (Southwest 1)"	42.18417	28.91667	130	"AWI"	130	7924	9838	8789	0	0	0	101	0	0	171	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	13	0	0	0	0	0	2	0	0	0	0	0
