"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asphodelaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Genista"	"Gentianaceae"	"Geraniaceae"	"Ilex"	"Iridaceae"	"Lamiaceae"	"Ligustrum"	"Liliaceae"	"Lythraceae"	"Malvaceae"	"Myrica"	"Onagraceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygalaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Scrophulariaceae"	"Solanaceae"	"Tilia"	"Ulmus"	"Verbenaceae"
15973	24633	"Arzon"	47.53889	-2.89083	82	"AWI"	82	675	922	819	0	0	3	0	2	0	0	0	12	1	0	3	0	0	0	1	0	0	0	0	2	22	0	0	0	0	0	0	0	0	0	0	0	3	0	0	20	0	2	0	0	0	0	0	0	49	0	0	0	0	17	0	0	0	0	1	0	1	0	5	0	0	0	1
15973	24633	"Arzon"	47.53889	-2.89083	85	"AWI"	85	738	941	855	0	0	1	0	6	3	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	1	0	0	40	0	12	0	0	0	1	0	0	67	0	0	0	0	29	1	1	0	0	9	0	17	0	7	0	0	0	0
15973	24633	"Arzon"	47.53889	-2.89083	87	"AWI"	87	777	959	879	0	0	0	0	12	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	98	0	0	0	0	4	1	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	111	0	0	0	0	18	1	2	0	0	3	36	0	0	1	0	0	0	0
15973	24633	"Arzon"	47.53889	-2.89083	90	"AWI"	90	829	992	915	0	0	2	0	3	1	0	0	0	3	0	0	0	0	0	1	0	0	0	0	1	72	0	0	0	0	1	0	0	0	0	0	0	2	0	0	3	0	14	0	0	0	0	0	0	35	0	0	0	0	14	0	1	0	0	2	0	20	0	5	0	0	1	0
15973	24633	"Arzon"	47.53889	-2.89083	92	"AWI"	92	860	1018	938	0	0	4	0	2	2	0	0	0	6	0	1	0	0	0	0	1	0	0	0	1	154	0	0	0	0	6	0	0	0	0	0	0	6	0	0	3	0	2	0	0	0	0	0	0	39	0	0	0	0	14	1	9	0	0	2	0	0	0	1	0	0	0	0
15973	24633	"Arzon"	47.53889	-2.89083	95	"AWI"	95	906	1072	972	0	0	2	0	1	2	3	0	0	1	0	0	0	0	0	1	0	0	0	0	4	241	0	0	0	0	3	0	0	0	0	0	0	2	0	1	1	0	3	0	0	0	0	0	0	27	0	0	0	0	5	0	7	0	0	3	0	1	0	1	0	0	0	0
15973	24633	"Arzon"	47.53889	-2.89083	97	"AWI"	97	921	1112	997	0	0	4	0	1	0	1	0	18	1	0	2	0	0	0	1	1	0	0	0	4	79	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	50	0	0	0	0	9	0	27	0	0	1	0	0	0	1	3	0	1	0
15973	24633	"Arzon"	47.53889	-2.89083	198	"AWI"	198	1882	2155	2020	0	0	30	0	4	0	2	0	0	25	0	0	0	0	0	0	0	0	0	0	42	12	0	0	0	2	8	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	23	0	0	0	0	42	0	0	0	0	2	0	1	0	0	0	0	1	0
15973	24633	"Arzon"	47.53889	-2.89083	201	"AWI"	201	1909	2195	2049	0	0	31	0	7	0	1	0	0	16	0	0	0	0	0	1	0	0	0	0	44	9	0	0	0	0	6	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	30	0	1	0	0	1	5	0	0	0	0	0	1	0
15973	24633	"Arzon"	47.53889	-2.89083	204	"AWI"	204	1940	2211	2075	0	0	24	0	5	1	1	0	0	18	0	0	0	0	0	2	0	0	0	0	32	16	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	28	0	0	0	0	25	0	2	1	2	0	0	0	0	0	0	2	1	0
