"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cedrus"	"Cistaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Ilex"	"Juglans"	"Lamiaceae"	"Ligustrum"	"Liliaceae"	"Linaceae"	"Lythraceae"	"Malvaceae"	"Myrica"	"Onagraceae"	"Ostrya.Carpinus"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Prunus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Scrophulariaceae"	"Solanaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
15979	24645	"Ancenis"	47.3825	-1.165	5	"AWI"	5	-109	113	-15	3	0	23	5	43	0	0	0	7	0	1	0	0	0	0	1	2	3	0	0	0	7	0	57	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	9	2	0	0	0	0	19	1	11	0	0	0	4	3	0	0	0	0	1	1	0	1	1
15979	24645	"Ancenis"	47.3825	-1.165	15	"AWI"	15	-50	352	98	1	0	4	2	33	1	0	0	3	0	8	0	0	2	0	12	0	0	1	0	0	4	0	56	0	0	0	1	1	0	0	0	0	32	1	0	0	0	0	0	0	1	1	11	0	8	0	0	11	0	43	0	0	0	10	2	0	8	0	0	1	1	0	0	0
15979	24645	"Ancenis"	47.3825	-1.165	25	"AWI"	25	20	503	226	1	0	12	2	14	0	4	0	0	0	0	0	2	8	0	0	0	0	0	0	0	2	0	24	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	4	0	0	0	0	1	9	0	0	0	0	0	15	0	0	4	0	0	0	4	0	0	0
15979	24645	"Ancenis"	47.3825	-1.165	35	"AWI"	35	98	642	364	1	0	21	6	35	1	0	0	3	0	4	0	0	6	0	4	0	0	0	0	0	9	0	32	0	0	0	1	3	0	0	0	1	13	0	0	0	1	0	0	0	0	0	26	235	0	0	0	11	1	8	0	0	0	15	1	0	3	0	0	0	0	0	0	0
15979	24645	"Ancenis"	47.3825	-1.165	45	"AWI"	45	207	729	497	0	0	17	1	16	1	1	12	2	0	4	0	0	0	0	13	0	0	1	0	0	3	1	34	0	0	0	1	0	0	0	0	2	3	0	0	2	5	0	0	0	1	1	16	0	0	0	1	30	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	1
15979	24645	"Ancenis"	47.3825	-1.165	55	"AWI"	55	349	808	626	0	0	14	1	19	0	2	0	3	0	1	0	0	6	0	1	0	0	0	0	0	6	0	96	0	0	0	1	3	0	0	0	1	10	0	0	0	4	0	1	0	3	1	16	0	0	0	1	24	0	5	2	0	0	1	2	0	0	0	0	0	3	0	0	0
15979	24645	"Ancenis"	47.3825	-1.165	65	"AWI"	65	595	876	740	0	0	21	2	13	0	1	0	1	0	0	0	1	7	0	10	0	0	1	0	0	11	0	27	0	0	0	1	1	0	0	0	0	3	0	0	0	2	0	1	0	0	1	23	0	0	0	0	25	0	6	0	0	0	10	0	0	2	0	0	4	0	0	0	1
15979	24645	"Ancenis"	47.3825	-1.165	70	"AWI"	70	677	919	799	0	1	10	1	16	4	1	28	5	0	1	0	1	5	0	17	0	0	0	0	0	12	0	21	0	0	0	2	1	0	0	0	0	9	0	0	0	1	0	1	0	0	1	24	0	0	0	2	21	1	4	0	0	0	7	1	0	0	0	0	0	9	0	0	0
15979	24645	"Ancenis"	47.3825	-1.165	75	"AWI"	75	719	949	832	0	0	14	3	21	1	0	0	12	1	1	0	0	10	0	7	0	0	0	0	0	10	0	18	0	0	0	6	4	0	0	0	0	5	0	0	0	1	0	1	0	0	0	22	0	0	0	1	25	1	4	0	0	0	10	0	0	4	0	0	0	10	0	0	3
15979	24645	"Ancenis"	47.3825	-1.165	85	"AWI"	85	773	1041	893	0	0	20	4	2	1	1	0	1	0	3	0	0	12	0	8	1	0	0	0	0	14	0	57	0	0	0	4	0	0	0	0	2	2	0	0	0	1	0	2	0	0	1	15	0	0	0	0	31	1	5	0	0	0	6	2	0	0	0	0	1	12	0	1	1
15979	24645	"Ancenis"	47.3825	-1.165	95	"AWI"	95	823	1119	948	0	0	38	5	10	0	0	0	12	0	0	0	0	10	0	1	0	0	0	0	0	31	0	8	0	0	0	3	0	0	0	0	0	7	0	0	0	0	0	0	0	1	0	28	0	0	0	1	33	1	4	0	0	0	9	1	0	2	0	0	0	3	0	0	0
15979	24645	"Ancenis"	47.3825	-1.165	105	"AWI"	105	878	1192	1004	0	2	20	4	6	0	3	0	10	0	0	0	0	2	0	1	0	0	0	0	0	42	0	16	0	0	0	3	6	0	0	0	1	4	0	0	0	0	0	3	0	1	0	7	0	0	0	0	59	1	8	0	0	0	16	3	0	2	0	0	3	19	0	0	1
