"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Convolvulaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Ilex"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Linaceae"	"Loranthaceae"	"Malvaceae"	"Olea"	"Onagraceae"	"Orobanchaceae"	"Phillyrea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Scrophulariaceae"	"Taxus"	"Thalictrum"	"Ulmus"	"Violaceae"	"Vitaceae"
3368	4367	"Quintanar de la Sierra"	42.03333	-3.01667	600	"AWI"	600	14620	15534	15078	0	0.66006600660066	1.32013201320132	13.2013201320132	0	3.96039603960396	0	0.66006600660066	1.65016501650165	0	0.33003300330033	0	0	0	0	0	7.26072607260726	0.33003300330033	0.66006600660066	0	0	1.98019801980198	0	0	0	0	0.66006600660066	0	0	42.5742574257426	0	0	0	0	0	0	0	0	0	5.94059405940594	0	0	0	0	0	0	0.66006600660066	0	0.66006600660066	0	0	0.66006600660066	5.61056105610561	9.9009900990099	0	0.33003300330033	0	0.99009900990099	0	0	0
3368	4367	"Quintanar de la Sierra"	42.03333	-3.01667	610	"AWI"	610	14842	15903	15354	0	1.56862745098039	1.96078431372549	21.1764705882353	0	3.92156862745098	0	0	1.96078431372549	0	0.784313725490196	0	0	0	0	0	2.74509803921569	1.17647058823529	0.392156862745098	0	0	1.56862745098039	0	0	0	0	2.35294117647059	0	0	35.2941176470588	0	0	0	0	0	0	0	0	0	5.09803921568627	0	0	0	0	0	0	0.392156862745098	0	0.392156862745098	0	0	1.56862745098039	5.88235294117647	10.1960784313725	0	0.784313725490196	0	0.784313725490196	0	0	0
3368	4367	"Quintanar de la Sierra"	42.03333	-3.01667	620	"AWI"	620	15183	16153	15667	0	1.0989010989011	2.56410256410256	11.7216117216117	0	7.32600732600733	0	0	1.0989010989011	0	0.366300366300366	0	0	0	0	0	10.6227106227106	0.366300366300366	0	0	0	3.66300366300366	0	0	0	0	0	0	0	28.5714285714286	0	0	0	0	0	0	0	0	0	8.79120879120879	0	4.02930402930403	0	0	0	0	1.0989010989011	0	0.366300366300366	0	0	0.732600732600733	5.12820512820513	11.3553113553114	0	0	0	1.0989010989011	0	0	0
3368	4367	"Quintanar de la Sierra"	42.03333	-3.01667	630	"AWI"	630	15481	16426	15961	0	1.44927536231884	2.89855072463768	10.8695652173913	0	2.53623188405797	0	1.08695652173913	1.08695652173913	0	2.17391304347826	0	0	0	0	0	8.33333333333333	5.43478260869565	0.72463768115942	0	0	0.72463768115942	0	0	0	0	1.44927536231884	0	0	40.9420289855072	0	0	0	0	0	0	0	0	0	6.15942028985507	0	0	0	0	0	0	0.36231884057971	0	0	0.36231884057971	0	1.08695652173913	4.34782608695652	6.88405797101449	0	0	0	1.08695652173913	0	0	0
3368	4367	"Quintanar de la Sierra"	42.03333	-3.01667	640	"AWI"	640	15721	16735	16226	0	1.67364016736402	2.51046025104602	22.1757322175732	0	1.67364016736402	0.836820083682008	0	0.836820083682008	0	1.25523012552301	0	0	0	0	0	12.9707112970711	3.34728033472803	2.51046025104602	0	0	5.85774058577406	0	0	0	0	1.25523012552301	0	0	11.2970711297071	0	0	0	0	0	0	0	0	0	13.3891213389121	0	0	0	0	0	0	0.836820083682008	0	0.418410041841004	0	0	2.51046025104602	4.60251046025105	7.53138075313808	0	0	0	2.51046025104602	0	0	0
3368	4367	"Quintanar de la Sierra"	42.03333	-3.01667	650	"AWI"	650	15925	17035	16470	0	2.38095238095238	1.58730158730159	20.2380952380952	0	2.38095238095238	0	0.793650793650794	1.98412698412698	0	0.793650793650794	0	0	0	0.396825396825397	0	20.2380952380952	2.77777777777778	0.793650793650794	0	0	2.38095238095238	0	0	0	0	0.396825396825397	0	0	13.4920634920635	0	0	0	0	0	0	0	0	0	13.8888888888889	0	0	0	0	0	0	1.19047619047619	0	0	0	0	1.58730158730159	6.74603174603175	4.76190476190476	0	0	0	1.19047619047619	0	0	0
3368	4367	"Quintanar de la Sierra"	42.03333	-3.01667	660	"AWI"	660	16080	17422	16688	0	2.01005025125628	1.00502512562814	13.0653266331658	3.51758793969849	1.00502512562814	0.251256281407035	0.753768844221105	0.251256281407035	0	0.251256281407035	0	0	0	0	0	10.3015075376884	1.25628140703518	1.25628140703518	0	0	1.50753768844221	0	0	0	0	0.50251256281407	0	0	6.53266331658291	0	0	0	0	0	0	0	0	0	15.3266331658291	0	0	0	35.678391959799	0	0	0	0	0.251256281407035	0	0	1.25628140703518	2.01005025125628	1.75879396984925	0	0	0	0.251256281407035	0	0	0
3368	4367	"Quintanar de la Sierra"	42.03333	-3.01667	670	"AWI"	670	16242	17773	16902	0	1.44230769230769	0.961538461538462	26.4423076923077	8.17307692307692	3.84615384615385	0	0	1.92307692307692	0	0.480769230769231	0	0	0	0	0	11.0576923076923	1.92307692307692	1.92307692307692	0	0	1.92307692307692	0	0	0.480769230769231	0	1.44230769230769	0	0	13.9423076923077	0	0.480769230769231	0	0	0	0	0	0	0	12.5	0	0	0.480769230769231	0	0	0	0.480769230769231	0	0.961538461538462	0	0	3.36538461538462	1.92307692307692	1.92307692307692	0	0	0	1.92307692307692	0	0	0
3368	4367	"Quintanar de la Sierra"	42.03333	-3.01667	680	"AWI"	680	16386	18190	17121	0	4.09356725146199	2.33918128654971	24.5614035087719	0	2.33918128654971	0	0	0.584795321637427	0	0	0	0	0	0	0	16.9590643274854	2.92397660818713	1.16959064327485	0	0	3.50877192982456	0	0	0	0	0	0	0	1.75438596491228	0	0	0	0	0	0	0	0	0	27.4853801169591	0	0	0.584795321637427	0	0	0	0.584795321637427	0	0.584795321637427	0	0	0.584795321637427	4.67836257309941	2.92397660818713	0	1.75438596491228	0	0.584795321637427	0	0	0
3368	4367	"Quintanar de la Sierra"	42.03333	-3.01667	690	"AWI"	690	16527	18552	17341	0	7.65027322404372	3.27868852459016	23.4972677595628	0	1.63934426229508	0	1.09289617486339	0.546448087431694	0	0	0	0	0	0.546448087431694	0	10.9289617486339	1.63934426229508	2.18579234972678	0	0	0.546448087431694	0	0	0	0	1.09289617486339	0	0	7.65027322404372	0	0	0	0	0	0	0	0	0	20.2185792349727	0	9.83606557377049	0	0	0.546448087431694	0	0	0	1.09289617486339	0	0	1.09289617486339	1.09289617486339	2.18579234972678	0	0.546448087431694	0	1.09289617486339	0	0	0
3368	4367	"Quintanar de la Sierra"	42.03333	-3.01667	700	"AWI"	700	16685	18853	17568	0	4.04858299595142	0	27.5303643724696	0	0	0	0	0.404858299595142	0	0.809716599190283	0	0	0	0	0	22.2672064777328	0.404858299595142	0.809716599190283	0	0	0.404858299595142	0	0	0	0	0.404858299595142	0	0	1.61943319838057	0	0	0	0	0	0	0	0	0	37.6518218623482	0	0	0.809716599190283	0	0	0	0	0	0	0	0	0.404858299595142	0	1.61943319838057	0	0	0	0.809716599190283	0	0	0
3368	4367	"Quintanar de la Sierra"	42.03333	-3.01667	710	"AWI"	710	16854	19157	17795	0	4.22960725075529	0.604229607250755	17.8247734138973	0	0.604229607250755	0	0.604229607250755	0	0	0.604229607250755	0	0	0	0	0	4.83383685800604	0.302114803625378	0.906344410876133	0	0	0	0	0	0	0	0	0	0	2.7190332326284	0	0	0	0	0	0	0	0	0	19.9395770392749	0	0	0.302114803625378	38.368580060423	0	0	0.604229607250755	0	0	0	0	0.302114803625378	1.51057401812689	3.92749244712991	0	0	0	1.81268882175227	0	0	0
3368	4367	"Quintanar de la Sierra"	42.03333	-3.01667	720	"AWI"	720	17020	19431	18027	0	7.56972111553785	0.796812749003984	27.0916334661355	0	0.796812749003984	0	0	0	0	0.796812749003984	0	0	0	0.796812749003984	0	15.5378486055777	0.796812749003984	5.1792828685259	0	0	0	0	0	0	0	0	0.398406374501992	0	3.18725099601594	0	0	0	0	0	0	0	0	0.796812749003984	21.5139442231076	0	0	0.398406374501992	0	0	0	0.398406374501992	0	0.796812749003984	0.796812749003984	0	0.398406374501992	4.38247011952191	6.37450199203187	0	0.398406374501992	0	0.796812749003984	0	0	0
3368	4367	"Quintanar de la Sierra"	42.03333	-3.01667	730	"AWI"	730	17166	19753	18258	0	9.58333333333333	0.833333333333333	34.1666666666667	0	1.66666666666667	0	0	0.416666666666667	0	0.833333333333333	0	0	0	0	0	8.75	0.416666666666667	1.25	0	0	0.833333333333333	0	0	0	0	0	0.416666666666667	0	2.5	0	0	0	0	0	0.416666666666667	0	0	0	32.5	0	0	0.416666666666667	0	0	0	0.833333333333333	0	0	0	0	0.833333333333333	1.66666666666667	1.25	0	0	0	0.416666666666667	0	0	0
3368	4367	"Quintanar de la Sierra"	42.03333	-3.01667	740	"AWI"	740	17331	20027	18485	0	3.67647058823529	1.10294117647059	32.7205882352941	0	1.83823529411765	0	0	0	0	0.735294117647059	0	0	0	0.367647058823529	0	10.6617647058824	1.47058823529412	1.10294117647059	0	0	0.367647058823529	0	0	0	0	0.367647058823529	0	0	1.10294117647059	0	0	0	0	0	0	0	0	0	40.8088235294118	0	0	0.735294117647059	0	0	0	0	0	0	0	0	1.10294117647059	0.367647058823529	0.367647058823529	0	0	0	1.10294117647059	0	0	0
3368	4367	"Quintanar de la Sierra"	42.03333	-3.01667	750	"AWI"	750	17532	20304	18709	0	3.00546448087432	0.819672131147541	18.5792349726776	0	0.546448087431694	0	0.273224043715847	0	0	0.819672131147541	0	0	0	0	0	3.27868852459016	0.546448087431694	0.819672131147541	0	0	0.273224043715847	0	0	0	0	0	0	0	0.546448087431694	0	0	0	0	0	0	0	0	0	19.3989071038251	0	4.37158469945355	0	43.7158469945355	0	0	0.273224043715847	0	0.273224043715847	0	0	0.546448087431694	0.819672131147541	0.819672131147541	0	0	0	0.273224043715847	0	0	0
3368	4367	"Quintanar de la Sierra"	42.03333	-3.01667	760	"AWI"	760	17707	20607	18936	0	3.88349514563107	1.29449838187702	43.3656957928803	0	1.29449838187702	0	0	0.323624595469256	0	0.970873786407767	0	0	0	0.970873786407767	0.323624595469256	9.06148867313916	0.323624595469256	1.61812297734628	0	0	0	0	0	0	0	0.323624595469256	0	0	1.61812297734628	0	0	0	0	0	0	0	0	0	31.3915857605178	0	0	0	0	0	0	0	0	0.647249190938511	0	0	0.647249190938511	0.323624595469256	0.647249190938511	0	0	0	0.970873786407767	0	0	0
3368	4367	"Quintanar de la Sierra"	42.03333	-3.01667	770	"AWI"	770	17861	20904	19162	0	3.74531835205993	2.24719101123596	41.5730337078652	0	0.374531835205993	0	0	1.12359550561798	0	0.374531835205993	0	0	0	0.374531835205993	0	5.99250936329588	0	1.12359550561798	0	0	0.374531835205993	0	0	0	0	0	0	0	5.61797752808989	0	0	0	0	0	0	0	0	0	31.0861423220974	0	0	0	0	0	0	0.374531835205993	0	0.749063670411985	0	0	1.87265917602996	2.24719101123596	0	0	0	0	0.749063670411985	0	0	0
3368	4367	"Quintanar de la Sierra"	42.03333	-3.01667	780	"AWI"	780	18019	21231	19398	0	7.17703349282297	0.717703349282297	37.3205741626794	2.87081339712919	0.239234449760766	0	0	0	0	0.239234449760766	0	0	0	0	0	6.69856459330144	0	1.19617224880383	0	0	0	0	0	0	0	0	0	0	0.239234449760766	0	0	0	0	0	0	0	0	0	20.3349282296651	0	3.58851674641148	0	16.5071770334928	0	0	0.239234449760766	0	0.478468899521531	0	0	1.19617224880383	0	0	0	0.239234449760766	0	0.717703349282297	0	0	0
