"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asphodelaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ericales"	"Euonymus"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Grossulariaceae"	"Hypericaceae"	"Ilex"	"Juglans"	"Lamiaceae"	"Ligustrum"	"Linaceae"	"Lythraceae"	"Myrica"	"Nartheciaceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygalaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Verbenaceae"	"Viburnum"	"Violaceae"	"Vitaceae"
15925	24528	"La Verderie"	48.35	-0.42778	5	"AWI"	5	-107	62	-15	3	0	23	2	2	2	2	0	0	107	0	2	0	0	0	0	8	0	0	0	8	0	6	3	0	3	0	2	4	0	0	0	0	2	1	1	1	0	0	0	9	0	2	0	2	12	0	222	0	0	0	0	1	33	0	4	0	0	0	4	23	0	0	0	0	0	2	2	1	4	0	2	0
15925	24528	"La Verderie"	48.35	-0.42778	10	"AWI"	10	-85	152	25	3	0	41	2	2	2	1	0	0	109	0	1	0	1	0	2	13	0	0	0	13	0	4	3	0	0	0	4	3	0	0	0	1	3	1	1	2	0	0	1	33	0	1	0	1	12	0	330	0	0	0	0	0	39	0	0	0	0	0	0	21	0	0	0	0	0	2	2	2	3	0	0	0
15925	24528	"La Verderie"	48.35	-0.42778	15	"AWI"	15	-40	176	75	2	0	7	2	5	1	1	0	7	25	0	0	0	3	0	2	7	0	0	1	19	0	15	7	0	0	0	4	3	0	0	2	0	0	2	2	2	0	0	0	60	0	1	0	1	21	0	0	0	0	0	0	1	60	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0
15925	24528	"La Verderie"	48.35	-0.42778	20	"AWI"	20	-19	219	124	1	0	7	4	8	0	1	0	0	16	0	1	0	3	0	0	6	0	0	0	21	0	33	6	0	0	0	8	3	0	0	0	2	0	1	4	0	0	0	0	90	0	0	0	1	22	0	0	0	0	0	0	0	71	0	0	0	0	1	0	2	0	0	0	0	2	0	3	0	0	0	0	0
15925	24528	"La Verderie"	48.35	-0.42778	25	"AWI"	25	52	233	190	3	0	9	2	15	0	2	0	7	10	0	11	3	3	0	2	8	0	0	0	4	0	60	8	0	0	0	4	2	0	0	1	2	0	2	0	2	0	0	0	8	0	2	0	2	9	0	0	2	0	0	0	1	37	2	0	1	0	2	0	3	0	0	0	0	1	2	2	0	0	0	0	1
15925	24528	"La Verderie"	48.35	-0.42778	30	"AWI"	30	93	278	252	0	0	50	2	28	1	0	1	0	38	0	0	4	11	0	0	12	0	0	0	18	0	88	31	0	0	0	16	4	0	0	1	0	1	2	2	0	0	0	0	24	0	1	0	0	7	0	0	1	0	0	13	1	64	0	0	0	0	0	0	8	0	0	0	0	0	2	3	0	0	0	0	1
15925	24528	"La Verderie"	48.35	-0.42778	32.5	"AWI"	32.5	293.5	478.5	428	1	0	142	2	8	0	1	0	0	69	0	0	2	5	0	0	2	0	0	0	59	3	25	11	0	6	0	14	0	0	0	0	2	3	1	2	0	0	0	1	10	0	1	0	0	1	0	0	0	0	0	0	0	53	1	3	0	0	0	17	30	0	0	0	0	0	2	2	0	0	1	0	1
15925	24528	"La Verderie"	48.35	-0.42778	35	"AWI"	35	466	695	604	2	0	175	2	2	2	2	0	0	61	0	1	1	3	0	2	2	0	0	0	61	0	19	7	0	0	0	22	1	0	2	0	2	6	2	1	1	1	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	51	0	0	2	0	2	0	11	0	1	0	0	0	10	2	0	0	2	0	0
15925	24528	"La Verderie"	48.35	-0.42778	40	"AWI"	40	740	1140	967	2	0	279	2	2	3	2	0	8	58	0	0	0	1	0	1	0	0	0	0	74	0	15	4	0	2	0	20	1	0	1	0	1	6	2	3	0	0	0	0	0	0	1	1	0	4	0	0	1	0	0	0	0	86	0	0	3	0	2	0	39	0	0	0	0	0	11	1	0	0	0	0	0
15925	24528	"La Verderie"	48.35	-0.42778	45	"AWI"	45	933	1220	1078	1	1	248	2	2	2	2	0	10	96	0	0	2	1	0	1	4	0	0	0	78	0	7	8	2	0	0	30	0	0	1	0	1	7	2	1	1	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	84	0	0	2	0	0	0	37	0	0	0	0	0	16	2	0	0	2	0	0
15925	24528	"La Verderie"	48.35	-0.42778	50	"AWI"	50	998	1425	1186	0	0	331	1	1	2	2	0	0	44	0	1	0	1	0	2	0	0	0	0	73	0	7	5	1	0	0	19	1	0	0	0	0	7	0	2	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	90	1	0	0	0	0	0	11	0	0	0	0	0	13	2	0	0	1	0	1
15925	24528	"La Verderie"	48.35	-0.42778	55	"AWI"	55	1067	1482	1261	0	0	367	1	2	2	1	0	0	45	1	0	0	0	0	0	0	0	0	0	76	0	4	4	0	0	0	31	0	0	0	1	0	6	0	1	0	0	0	0	0	0	0	1	0	2	0	0	0	0	1	0	0	123	1	0	2	0	1	0	10	1	1	0	0	0	19	2	0	0	0	0	0
15925	24528	"La Verderie"	48.35	-0.42778	60	"AWI"	60	1110	1584	1335	1	0	341	2	0	2	4	0	0	57	0	2	0	1	0	2	0	0	0	0	74	0	8	4	0	0	0	28	0	0	2	1	0	5	0	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	2	91	0	0	1	0	0	0	13	0	1	0	0	0	9	2	0	0	1	0	0
15925	24528	"La Verderie"	48.35	-0.42778	65	"AWI"	65	1215	1630	1405	0	0	193	0	2	2	1	0	0	81	0	2	0	1	0	2	1	1	0	0	86	0	19	5	0	0	0	44	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	101	0	0	2	0	1	0	41	0	2	0	0	0	22	0	0	0	1	0	0
15925	24528	"La Verderie"	48.35	-0.42778	71	"AWI"	71	1311	1743	1496	0	0	65	2	2	2	2	0	0	93	0	0	0	0	0	2	0	0	0	0	24	0	0	4	0	0	0	22	2	0	0	0	0	3	0	0	1	0	0	1	0	0	2	0	0	2	4	0	0	0	0	0	0	64	1	0	2	0	2	0	100	0	0	0	0	1	2	3	0	0	1	0	0
15925	24528	"La Verderie"	48.35	-0.42778	76	"AWI"	76	1414	1896	1604	0	0	136	1	2	2	2	0	0	125	0	0	0	0	0	1	0	0	0	0	54	0	3	4	1	0	0	62	2	0	1	1	1	3	0	1	0	0	0	1	0	0	1	0	0	2	0	0	0	0	0	0	1	152	2	0	0	0	2	0	146	0	0	1	0	0	9	2	0	0	0	0	0
