"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Arctostaphylos"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fraxinus"	"Juniperus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Sorbus"	"Thalictrum"	"Ulmus"	"Urticaceae"
3419	4431	"Skvarran"	57.1894	16.15266	830	"AWI"	830	7884	11098	10148	1	1	0	0	2	0	0	0	0	1	0	0	85	1	3	0	0	0	1	0	0	302	0	12	3	0	0	0	0	0	0	2	0	0	0	0	12	0
3419	4431	"Skvarran"	57.1894	16.15266	837	"AWI"	837	8643	11278	10478	0	1	0	0	5	0	0	0	0	1	0	0	18	7	1	0	0	0	0	1	0	244	0	7	3	0	0	0	0	0	0	7	0	0	0	0	0	0
3419	4431	"Skvarran"	57.1894	16.15266	844	"AWI"	844	9326	11462	10799	0	1	0	0	1	0	401	0	0	0	0	0	0	7	0	0	0	0	1	1	0	201	0	10	1	0	0	0	0	0	0	4	0	0	0	1	2	0
3419	4431	"Skvarran"	57.1894	16.15266	850	"AWI"	850	9852	11631	11089	0	0	0	1	4	0	491	0	0	0	0	0	0	6	0	0	0	0	0	26	0	85	0	19	0	0	0	0	0	1	0	15	0	0	0	1	7	0
3419	4431	"Skvarran"	57.1894	16.15266	855	"AWI"	855	10620	11711	11275	0	4	0	0	0	0	534	0	0	0	0	0	0	5	5	0	0	0	0	42	0	48	0	17	1	0	0	0	0	0	1	7	0	0	0	0	1	0
3419	4431	"Skvarran"	57.1894	16.15266	860	"AWI"	860	11133	11851	11497	0	3	0	0	11	0	358	0	0	0	0	0	0	9	2	0	0	1	0	23	1	98	0	23	6	0	0	0	0	0	4	28	0	0	1	0	1	0
3419	4431	"Skvarran"	57.1894	16.15266	864	"AWI"	864	11346	11940	11614	0	0	0	0	17	0	251	0	0	0	0	1	0	9	0	0	0	0	0	3	0	149	0	36	0	0	0	0	0	0	8	26	0	0	0	1	0	0
3419	4431	"Skvarran"	57.1894	16.15266	868	"AWI"	868	11450	12118	11738	0	3	0	0	10	0	224	0	0	0	0	0	0	16	0	0	0	0	0	19	0	134	0	32	0	0	0	0	0	1	7	27	0	0	0	2	0	0
3419	4431	"Skvarran"	57.1894	16.15266	871	"AWI"	871	11556	12251	11842	0	6	0	0	31	0	198	0	0	0	0	0	0	32	0	0	0	0	0	26	0	110	0	41	0	0	0	0	0	0	17	34	0	0	0	1	0	0
3419	4431	"Skvarran"	57.1894	16.15266	874	"AWI"	874	11724	12317	11978	1	18	0	0	85	0	184	0	0	0	0	0	0	35	0	1	0	2	0	11	0	99	0	41	0	0	0	0	0	2	14	15	0	0	0	2	0	0
3419	4431	"Skvarran"	57.1894	16.15266	877	"AWI"	877	11816	12422	12124	1	27	0	0	97	0	149	0	1	0	0	0	0	34	0	1	0	1	0	13	0	157	0	57	0	0	0	0	0	0	18	8	2	0	0	4	0	0
3419	4431	"Skvarran"	57.1894	16.15266	880	"AWI"	880	11882	12614	12257	0	24	0	0	112	0	168	0	0	0	0	1	0	32	0	0	0	2	0	18	0	92	0	46	0	0	0	0	0	1	19	15	0	0	0	2	0	0
3419	4431	"Skvarran"	57.1894	16.15266	883	"AWI"	883	12212	12711	12469	0	35	0	0	124	0	107	0	0	0	0	0	0	32	0	0	0	2	0	32	0	59	2	46	0	0	0	0	0	0	7	11	0	0	0	1	0	0
3419	4431	"Skvarran"	57.1894	16.15266	886	"AWI"	886	12504	12863	12678	0	34	0	0	91	0	129	0	0	0	0	0	0	33	0	0	0	2	0	40	0	108	0	62	0	0	0	0	0	0	24	17	0	0	0	1	0	0
3419	4431	"Skvarran"	57.1894	16.15266	889	"AWI"	889	12698	13109	12881	1	13	0	0	76	0	129	0	0	0	0	0	0	25	0	0	0	0	0	6	1	130	0	43	0	0	0	0	0	3	18	8	0	0	0	5	0	0
3419	4431	"Skvarran"	57.1894	16.15266	890.5	"AWI"	890.5	12772	13217	12972	0	10	0	0	26	0	160	0	0	0	0	0	0	16	0	0	0	0	0	5	1	133	0	31	0	0	0	0	0	0	9	14	0	0	0	2	0	0
3419	4431	"Skvarran"	57.1894	16.15266	892	"AWI"	892	12866	13247	13034	0	10	0	0	28	0	195	0	0	0	0	0	0	11	0	0	0	0	0	11	0	154	0	30	0	0	0	0	0	0	6	14	0	0	0	2	0	0
3419	4431	"Skvarran"	57.1894	16.15266	893.5	"AWI"	893.5	12947.5	13282.5	13096.5	2	13	0	1	20	0	176	0	0	0	0	0	0	10	0	0	0	0	0	8	0	161	0	31	0	0	0	0	0	1	9	16	0	0	0	3	0	0
