"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Berberidaceae"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Crataegus"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Geraniaceae"	"Hypericaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Linaceae"	"Malvaceae"	"Myrtus"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Poaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Rutaceae"	"Salix"	"Sambucus"	"Saxifragaceae"	"Solanaceae"	"Thymelaeaceae"	"Tilia"	"Ulmus"	"Urticaceae"	"Violaceae"
3186	24356	"Lake Orestiás"	40.55194	21.32222	55	"AWI"	55	838	2272	1422	4	1	0	5	1	52	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	16	0	1	1	5	0	0	0	1	0	0	0	0	0	86	0	1	83	0	17	1	0	0	0	4	0	1	1	0	0	0	0	0	0	0
3186	24356	"Lake Orestiás"	40.55194	21.32222	59	"AWI"	59	960	2354	1532	1	0	0	4	1	13	0	0	3	0	0	0	0	0	0	1	1	3	0	0	0	0	0	0	37	0	0	0	19	0	0	0	0	0	0	0	6	0	83	0	1	92	0	7	2	0	0	0	4	0	0	0	2	3	0	0	1	0	0
3186	24356	"Lake Orestiás"	40.55194	21.32222	63	"AWI"	63	1078	2433	1641	0	0	0	5	0	0	0	0	9	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	8	0	0	0	4	0	0	0	0	0	1	0	1	0	9	0	0	177	4	58	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3186	24356	"Lake Orestiás"	40.55194	21.32222	67	"AWI"	67	1177	2520	1747	1	0	2	2	0	9	0	0	0	0	0	2	2	0	0	1	1	0	1	1	0	1	0	1	17	0	0	0	7	0	0	1	0	0	0	0	8	3	41	1	1	148	0	30	1	0	0	0	2	1	1	0	0	0	1	1	2	1	0
3186	24356	"Lake Orestiás"	40.55194	21.32222	71	"AWI"	71	1255	2594	1854	2	0	0	7	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	8	0	0	0	0	4	0	0	1	1	22	0	0	186	0	37	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
3186	24356	"Lake Orestiás"	40.55194	21.32222	75	"AWI"	75	1458	2757	2040	3	0	0	1	0	16	0	0	2	1	0	0	8	0	0	0	1	2	0	0	0	0	0	0	25	2	0	0	0	1	0	0	0	0	0	0	5	0	58	0	1	159	0	9	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0
3186	24356	"Lake Orestiás"	40.55194	21.32222	80	"AWI"	80	1913	3036	2418	0	0	0	2	0	10	0	0	2	0	2	0	0	0	0	0	2	1	1	0	0	0	0	1	19	0	2	0	2	0	0	0	0	0	0	0	1	2	17	0	1	195	0	31	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
3186	24356	"Lake Orestiás"	40.55194	21.32222	84	"AWI"	84	2281	3260	2719	1	0	0	2	0	20	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	3	0	24	0	1	0	4	0	2	1	0	0	0	0	7	0	41	0	1	153	0	27	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0
3186	24356	"Lake Orestiás"	40.55194	21.32222	92	"AWI"	92	2997	3718	3321	4	0	1	0	1	0	0	0	4	0	2	0	0	2	1	0	1	0	1	0	0	1	0	2	1	0	0	0	3	1	3	0	0	0	0	0	7	1	31	0	1	177	0	37	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0
3186	24356	"Lake Orestiás"	40.55194	21.32222	98	"AWI"	98	3510	4070	3777	0	0	0	4	0	7	0	0	1	0	1	0	7	0	0	0	1	0	1	0	0	0	0	0	10	0	0	0	5	1	0	0	0	0	0	0	8	0	32	0	1	177	0	31	4	3	0	0	1	0	0	0	0	0	0	0	0	0	0
