"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cedrus"	"Convolvulaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Hypericaceae"	"Iridaceae"	"Juglans"	"Lamiaceae"	"Liliaceae"	"Lythraceae"	"Malvaceae"	"Myrica"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Scrophulariaceae"	"Solanaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Viburnum"	"Vitaceae"
15965	24611	"La Prairie du Cassoir"	47.25667	0.1475	5	"AWI"	5	97	577	412	1	0	163	8	13	1	1	0	6	0	4	0	0	0	0	2	3	0	1	0	9	21	0	0	2	5	2	1	1	0	1	0	0	1	1	1	0	0	7	9	52	0	0	0	56	0	6	0	0	1	3	4	0	2	1	1	1	7	0	0
15965	24611	"La Prairie du Cassoir"	47.25667	0.1475	10	"AWI"	10	196	586	444	1	0	83	16	16	0	1	0	2	0	2	0	0	0	0	0	0	0	0	0	8	9	0	0	2	2	7	0	0	2	0	0	0	1	0	0	0	0	46	2	47	0	0	0	34	0	6	0	0	0	0	2	0	0	0	0	1	1	0	2
15965	24611	"La Prairie du Cassoir"	47.25667	0.1475	15	"AWI"	15	289	595	474	4	0	113	18	35	0	1	29	2	0	2	0	0	1	0	0	0	0	1	0	4	20	0	0	0	3	1	0	0	0	0	0	1	0	0	0	0	0	35	2	44	0	0	0	29	0	3	1	0	0	0	6	0	1	0	0	0	2	0	0
15965	24611	"La Prairie du Cassoir"	47.25667	0.1475	20	"AWI"	20	334	606	505	0	0	136	15	26	1	0	0	1	0	1	0	0	0	0	1	0	0	3	0	11	6	0	0	3	4	1	0	0	1	0	0	1	1	0	0	0	0	10	2	41	0	0	0	30	2	3	0	0	0	0	2	0	1	0	0	2	1	0	0
15965	24611	"La Prairie du Cassoir"	47.25667	0.1475	25	"AWI"	25	367	628	536	0	0	102	10	20	1	0	0	2	3	1	0	0	4	0	2	0	0	0	0	5	11	0	0	0	2	0	0	0	1	0	1	0	0	0	0	1	1	25	5	45	0	0	0	33	0	5	0	0	0	0	2	0	0	0	0	3	7	0	0
15965	24611	"La Prairie du Cassoir"	47.25667	0.1475	30	"AWI"	30	392	645	554	0	0	109	7	12	0	1	0	0	0	2	0	0	8	0	1	0	2	0	0	10	15	0	0	2	1	0	0	0	0	0	0	0	1	0	0	2	0	37	1	82	0	0	0	34	0	1	0	0	0	0	4	0	1	0	0	1	1	0	0
15965	24611	"La Prairie du Cassoir"	47.25667	0.1475	40	"AWI"	40	459	704	597	0	0	18	9	12	1	1	0	0	0	13	0	0	0	0	2	0	0	0	0	1	63	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	28	4	131	0	0	0	9	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1
15965	24611	"La Prairie du Cassoir"	47.25667	0.1475	50	"AWI"	50	493	790	633	1	0	5	10	5	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	94	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	18	5	88	0	0	0	11	0	10	0	0	0	0	1	0	0	0	0	0	0	0	0
15965	24611	"La Prairie du Cassoir"	47.25667	0.1475	55	"AWI"	55	520	805	651	0	0	8	5	6	0	0	0	2	0	6	0	0	0	0	1	0	0	0	0	3	135	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	13	4	121	0	0	0	10	0	6	0	0	4	0	0	1	0	0	0	0	0	0	0
15965	24611	"La Prairie du Cassoir"	47.25667	0.1475	60	"AWI"	60	542	823	669	0	0	29	10	9	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	18	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	11	5	40	0	0	0	7	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0
15965	24611	"La Prairie du Cassoir"	47.25667	0.1475	70	"AWI"	70	565	876	708	0	0	18	14	22	0	0	39	2	0	2	0	0	0	1	2	0	0	0	0	3	120	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	3	5	104	0	0	0	8	0	9	0	0	0	4	0	0	0	0	1	0	1	0	0
15965	24611	"La Prairie du Cassoir"	47.25667	0.1475	75	"AWI"	75	573	910	727	0	0	52	3	15	0	0	0	1	0	4	0	0	0	0	1	0	0	0	0	1	66	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	5	4	96	0	0	0	18	0	1	0	0	3	0	1	0	1	0	0	0	1	0	0
15965	24611	"La Prairie du Cassoir"	47.25667	0.1475	80	"AWI"	80	598	925	743	1	0	10	3	17	0	0	0	2	0	4	0	0	0	0	1	0	0	0	0	0	160	0	0	2	2	1	0	1	1	0	0	0	0	0	0	1	0	7	8	83	0	0	0	11	0	4	0	0	1	0	2	0	1	0	0	1	0	0	0
15965	24611	"La Prairie du Cassoir"	47.25667	0.1475	85	"AWI"	85	621	947	761	0	0	53	2	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	38	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	32	0	0	0	14	0	1	0	0	0	0	0	0	0	0	0	1	4	0	0
15965	24611	"La Prairie du Cassoir"	47.25667	0.1475	90	"AWI"	90	635	972	779	0	0	110	5	17	1	1	0	3	0	1	0	0	1	0	4	0	0	0	0	2	15	0	0	5	0	1	0	0	1	0	0	3	0	0	0	0	0	3	3	55	0	0	0	24	0	3	0	0	2	0	0	0	1	0	0	0	1	0	2
15965	24611	"La Prairie du Cassoir"	47.25667	0.1475	95	"AWI"	95	651	1003	796	0	0	144	2	18	1	0	10	7	0	2	5	0	0	0	0	1	0	0	0	5	4	0	0	3	0	2	0	0	1	0	0	0	0	0	0	0	0	3	12	42	0	0	0	31	1	2	0	0	0	4	3	0	4	0	0	1	18	0	2
15965	24611	"La Prairie du Cassoir"	47.25667	0.1475	100	"AWI"	100	660	1035	813	0	0	170	6	8	0	0	12	2	0	1	0	0	0	1	1	0	0	1	0	1	10	0	0	1	1	1	0	0	2	0	0	3	0	0	0	0	0	1	6	43	0	0	0	34	0	3	0	0	0	2	3	0	1	0	0	0	1	0	1
15965	24611	"La Prairie du Cassoir"	47.25667	0.1475	105	"AWI"	105	698	1058	831	0	1	300	1	3	1	0	0	2	0	1	0	0	1	0	1	0	0	0	1	4	4	0	0	0	4	2	0	0	2	0	1	0	1	0	0	2	0	2	1	10	0	0	0	23	1	3	0	0	0	0	0	0	1	0	0	0	9	0	2
