"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Hypericaceae"	"Ilex"	"Juniperus"	"Lythraceae"	"Malvaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Solanaceae"	"Taxus"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
16122	24904	"Tourbière de Chavannes"	46.85222	2.37611	60	"AWI"	60	960	2063	1497	0	0	6	1	0	0	3	0	2	1	0	0	2	20	120	1	0	41	2	0	0	0	1	0	0	0	10	3	17	0	0	0	92	1	0	0	0	1	0	0	3	2	0	0	0
16122	24904	"Tourbière de Chavannes"	46.85222	2.37611	100	"AWI"	100	1970	3075	2562	0	1	11	0	1	0	0	0	4	0	1	0	0	27	109	0	0	63	6	0	0	0	0	0	0	0	11	3	21	0	0	0	126	1	0	0	1	0	0	0	1	4	0	0	1
16122	24904	"Tourbière de Chavannes"	46.85222	2.37611	110	"AWI"	110	2241	3300	2820	0	0	27	1	2	0	0	0	3	0	0	0	0	78	91	0	0	61	14	0	1	0	0	0	0	0	4	2	0	0	1	0	111	0	0	0	0	7	0	0	1	8	2	0	0
16122	24904	"Tourbière de Chavannes"	46.85222	2.37611	115	"AWI"	115	2404	3411	2954	0	0	7	0	0	0	0	0	0	0	0	0	0	32	79	0	0	26	8	0	0	0	0	0	0	0	3	0	0	0	0	0	103	0	0	0	1	1	0	0	3	4	2	1	0
16122	24904	"Tourbière de Chavannes"	46.85222	2.37611	120	"AWI"	120	2549	3516	3088	1	0	4	1	0	0	0	0	0	0	0	0	0	22	116	0	0	28	11	2	0	0	0	0	0	0	9	2	0	0	0	0	97	0	0	0	1	0	1	0	5	5	0	0	1
16122	24904	"Tourbière de Chavannes"	46.85222	2.37611	130	"AWI"	130	2874	3724	3349	1	0	8	0	0	0	0	0	1	0	0	0	3	29	255	0	0	10	12	1	0	0	0	0	2	0	8	0	0	0	0	0	68	2	0	0	0	0	0	0	5	3	0	0	0
16122	24904	"Tourbière de Chavannes"	46.85222	2.37611	140	"AWI"	140	3211	3888	3623	2	0	15	1	1	0	0	0	1	0	0	0	0	117	36	0	0	10	4	0	0	0	0	0	1	0	9	0	0	0	0	0	83	0	0	1	0	1	0	2	4	9	0	0	0
16122	24904	"Tourbière de Chavannes"	46.85222	2.37611	150	"AWI"	150	3672	4048	3885	4	0	8	1	0	3	0	0	0	1	0	0	0	50	41	0	0	19	6	0	0	0	0	0	0	0	13	0	0	0	0	0	128	0	0	0	0	2	0	1	12	6	0	0	1
16122	24904	"Tourbière de Chavannes"	46.85222	2.37611	160	"AWI"	160	3810	4267	4034	3	0	18	0	0	0	0	0	1	0	0	0	0	68	27	0	0	9	8	0	0	0	0	0	0	0	13	1	55	0	0	1	158	2	0	0	0	0	0	3	2	2	0	0	0
16122	24904	"Tourbière de Chavannes"	46.85222	2.37611	180	"AWI"	180	4086	4625	4334	0	0	16	0	0	0	1	0	1	0	0	0	1	31	119	0	0	12	6	0	0	0	0	0	1	0	10	1	0	0	0	0	159	1	0	0	0	1	0	0	5	1	0	0	0
