"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Celastraceae"	"Cistaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Dioscoreaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Genista"	"Gentianaceae"	"Hypericaceae"	"Ilex"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Liliaceae"	"Olea"	"Onagraceae"	"Orchidaceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Violaceae"	"Vitaceae"
15746	40452	"Etang de la Gruère"	47.24056	7.05	47	"AWI"	47	598	1066	866	85	2	0	1	0	0	0	5	0	0	54	0	0	0	0	0	0	0	2	0	0	0	0	84	0	14	0	0	0	0	0	0	137	1	0	0	0	0	0	2	7	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0	1	55	0	0	0	1	0	5	0	0	0	0	2	0	1	0	4	3	0	0	0
15746	40452	"Etang de la Gruère"	47.24056	7.05	51	"AWI"	51	689	1127	935	111	2	8	0	0	0	0	5	0	0	20	0	1	0	0	0	0	0	1	0	0	0	0	34	0	10	0	0	0	0	0	0	118	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	105	8	0	0	0	0	0	0	1	34	0	1	0	0	0	6	0	0	0	0	0	0	0	0	7	3	0	0	0
15746	40452	"Etang de la Gruère"	47.24056	7.05	55	"AWI"	55	880	1159	1003	122	0	31	0	0	0	0	7	0	0	37	0	0	0	0	0	0	0	1	0	0	0	0	31	0	7	0	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	30	0	0	0	2	0	4	0	0	0	0	0	0	0	0	3	1	0	0	0
15746	40452	"Etang de la Gruère"	47.24056	7.05	59	"AWI"	59	957	1230	1081	79	0	32	0	0	0	0	2	0	0	23	0	2	0	0	0	0	0	0	0	0	0	0	19	0	9	0	0	0	0	0	0	155	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	37	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	2	0	0	1
15746	40452	"Etang de la Gruère"	47.24056	7.05	63	"AWI"	63	1018	1288	1136	83	0	27	0	0	0	0	4	0	0	14	0	1	0	0	0	0	0	0	0	0	0	0	24	0	8	0	0	0	0	0	0	213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	55	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	2	0	0	1
15746	40452	"Etang de la Gruère"	47.24056	7.05	67	"AWI"	67	1060	1338	1196	68	2	58	1	0	0	0	4	0	0	34	0	0	0	0	4	0	0	1	0	0	0	0	30	0	11	0	0	0	0	0	0	216	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	51	0	0	0	2	0	5	0	0	0	0	1	0	0	0	3	3	0	0	1
15746	40452	"Etang de la Gruère"	47.24056	7.05	71	"AWI"	71	1126	1418	1266	133	0	50	0	0	0	0	2	0	0	18	0	0	0	0	2	0	0	5	0	0	0	0	31	0	8	0	0	0	0	0	0	175	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	39	0	0	0	0	0	1	0	0	0	0	0	0	1	0	6	3	0	0	0
15746	40452	"Etang de la Gruère"	47.24056	7.05	75	"AWI"	75	1210	1550	1373	116	0	0	1	0	0	0	0	0	0	26	0	0	0	0	0	0	0	1	0	0	0	0	30	0	0	0	0	0	0	0	0	128	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	98	0	0	0	0	0	0	0	0	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0
15746	40452	"Etang de la Gruère"	47.24056	7.05	79	"AWI"	79	1241	1808	1471	73	0	68	1	0	0	0	2	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	45	0	8	0	0	0	0	0	0	169	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	80	0	0	0	0	0	0	0	0	70	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	1	0	0	0
15746	40452	"Etang de la Gruère"	47.24056	7.05	83	"AWI"	83	1329	1925	1579	96	1	55	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	30	0	11	0	0	0	0	0	0	104	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	70	0	0	0	0	0	1	0	0	41	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
