"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Geraniaceae"	"Ilex"	"Juniperus"	"Lamiaceae"	"Myrica"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
13430	20131	"Mekelermeer"	52.770122	6.62688	158	"AWI"	158	2275	5632	3841	0	40.0900900900901	0	0	0	0.45045045045045	0	19.3693693693694	0	0	0	0	0	13.5135135135135	1.35135135135135	0	0	0	3.15315315315315	0.900900900900901	0	0	0	0	0	0	0.45045045045045	0	5.40540540540541	0	0	0	0	0	11.7117117117117	0	0	0	1.8018018018018	0.45045045045045	0	0	0	1.35135135135135	0	0
13430	20131	"Mekelermeer"	52.770122	6.62688	160	"AWI"	160	2326	5709	3909	0	31.5555555555556	0.444444444444444	0	0	0	0	22.2222222222222	0	0	0	0	0	18.6666666666667	0	0	0	0	2.66666666666667	1.77777777777778	0	0	0	0	0	0	0.444444444444444	0	4	0	0	0	0	0	13.3333333333333	0	0	0	0.888888888888889	0	0	0	0.444444444444444	3.55555555555556	0	0
13430	20131	"Mekelermeer"	52.770122	6.62688	162	"AWI"	162	2364	5802	3979	0	41.8918918918919	0.45045045045045	0	0	0	0	13.0630630630631	0	0	0	0	0	15.3153153153153	0.45045045045045	0	0	0	4.05405405405405	1.35135135135135	0	0	0	0	0	0	0	0	7.20720720720721	0	0	0	0	0	12.1621621621622	0	0	0	1.8018018018018	0	0	0	0.45045045045045	1.8018018018018	0	0
13430	20131	"Mekelermeer"	52.770122	6.62688	164	"AWI"	164	2414	5877	4048	0	38.6266094420601	0.429184549356223	0	0	0	0	17.5965665236052	0	0	0	0	0	15.8798283261803	0.429184549356223	0	0	0	1.28755364806867	0.858369098712446	0	0	0	0	0.429184549356223	0	0.429184549356223	0	6.86695278969957	0	0	0	0	0	12.4463519313305	0	0	0	2.14592274678112	0.858369098712446	0	0	0	1.71673819742489	0	0
13430	20131	"Mekelermeer"	52.770122	6.62688	166	"AWI"	166	2476	5929	4103	0	44.2553191489362	0	0	0	0	0	11.063829787234	0	0	0	0	0	16.5957446808511	0.425531914893617	0	0	0	4.25531914893617	0	0	0	0	0	0.425531914893617	0	0.851063829787234	0	7.23404255319149	0	0	0	0	0	11.9148936170213	0	0	0	0.851063829787234	0	0	0	0.425531914893617	1.70212765957447	0	0
13430	20131	"Mekelermeer"	52.770122	6.62688	168	"AWI"	168	2536	5986	4168	0	33.739837398374	1.21951219512195	0.40650406504065	0	0.40650406504065	0	15.4471544715447	0	0	0	0	0	19.1056910569106	0.40650406504065	0	0	0	2.03252032520325	0.40650406504065	0	0	0	0	0	0	0	0	6.91056910569106	0	0	0	0	0	15.8536585365854	0.40650406504065	0	0	0.813008130081301	0.40650406504065	0	0	0.813008130081301	1.6260162601626	0	0
13430	20131	"Mekelermeer"	52.770122	6.62688	170	"AWI"	170	2602	6035	4230	0.421940928270042	34.1772151898734	0.421940928270042	0	0	0.843881856540084	0	16.0337552742616	0	0	0	0	0	21.9409282700422	1.68776371308017	0	0	0	1.26582278481013	0.421940928270042	0	0	0	0	0	0	0	0	5.48523206751055	0	0	0	0	0	12.6582278481013	0	0	0	0.843881856540084	0.421940928270042	0	0	0.843881856540084	2.53164556962025	0	0
13430	20131	"Mekelermeer"	52.770122	6.62688	172	"AWI"	172	2651	6088	4292	0	36.4372469635627	0	0	0	0	0	9.7165991902834	0	0	0	0	0	24.6963562753036	1.21457489878543	0	0	0	1.21457489878543	0.404858299595142	0	0.404858299595142	0	0	0	0	0.404858299595142	0	4.8582995951417	0	0	0	0	0	15.3846153846154	0	0	0	3.23886639676113	0	0	0	0	2.02429149797571	0	0
13430	20131	"Mekelermeer"	52.770122	6.62688	174	"AWI"	174	2694	6157	4354	0	41.7721518987342	0.421940928270042	0.421940928270042	0	0	0	13.5021097046413	0	0	0	0	0	19.831223628692	0.421940928270042	0	0	0	1.26582278481013	0.843881856540084	0	0	0	0	0	0	0.843881856540084	0	5.48523206751055	0	0	0	0	0	10.9704641350211	0	0	0	2.10970464135021	0	0	0	0.421940928270042	1.68776371308017	0	0
13430	20131	"Mekelermeer"	52.770122	6.62688	176	"AWI"	176	2718	6229	4419	0	36.5853658536585	0.40650406504065	0	0	0	0	12.6016260162602	0	0	0	0	0	26.8292682926829	1.6260162601626	0	0	0	0.813008130081301	1.21951219512195	0	0	0	0	0	0	0	0	3.2520325203252	0	0	0	0	0.40650406504065	14.2276422764228	0	0	0	0.813008130081301	0	0	0	0	1.21951219512195	0	0
13430	20131	"Mekelermeer"	52.770122	6.62688	178	"AWI"	178	2766	6308	4486	0	40.6779661016949	0	0	0	0	0	10.5932203389831	0	0	0	0	0	19.9152542372881	0.847457627118644	0	0	0	0	0.423728813559322	0	0	0	0	0	0	0	0	5.93220338983051	0	0	0	0	0	16.1016949152542	0	0	0	2.96610169491525	0.423728813559322	0	0	0	2.11864406779661	0	0
13430	20131	"Mekelermeer"	52.770122	6.62688	180	"AWI"	180	2835	6350	4543	0	42.5196850393701	0.393700787401575	0	0	0	0	12.5984251968504	0	0	0	0	0	20.8661417322835	1.96850393700787	0	0	0	1.5748031496063	1.5748031496063	0	0	0	0	0	0	0	0	4.33070866141732	0	0	0	0	0	11.4173228346457	0	0	0	0.78740157480315	0	0	0	0.393700787401575	1.5748031496063	0	0
13430	20131	"Mekelermeer"	52.770122	6.62688	182	"AWI"	182	2914	6401	4610	0.418410041841004	38.0753138075314	0	0	0	0.418410041841004	0	14.6443514644351	0	0	0	0	0	20.0836820083682	0.836820083682008	0	0	0	1.67364016736402	0.418410041841004	0	0	0	0	0	0	0	0	4.18410041841004	0	0	0	0	0	13.8075313807531	0	0	0	1.67364016736402	0	0	0	0.836820083682008	2.92887029288703	0	0
13430	20131	"Mekelermeer"	52.770122	6.62688	184	"AWI"	184	2972	6468	4673	0	40.5857740585774	0.418410041841004	0	0	0.418410041841004	0	11.7154811715481	0	0	0	0	0	15.4811715481172	0.836820083682008	0	0	0	2.92887029288703	0	0	0	0	0	0	0	0	0	4.60251046025105	0	0	0	0	0	18.8284518828452	0	0	0	2.51046025104602	0	0	0	0.418410041841004	1.25523012552301	0	0
13430	20131	"Mekelermeer"	52.770122	6.62688	186	"AWI"	186	3026	6547	4743	0.460829493087558	39.63133640553	0	0	0	0	0	16.5898617511521	0	0	0	0	0	20.2764976958525	1.84331797235023	0	0	0	1.38248847926267	2.30414746543779	0	0	0	0	0	0	0	0	3.68663594470046	0	0	0	0	0	10.1382488479263	0	0	0	2.30414746543779	0	0	0	0.460829493087558	0.921658986175115	0	0
13430	20131	"Mekelermeer"	52.770122	6.62688	188	"AWI"	188	3069	6608	4813	0	43.6681222707424	1.31004366812227	0	0	0	0	4.80349344978166	0	0	0	0	0	17.4672489082969	2.18340611353712	0	0	0	1.31004366812227	0.436681222707424	0	0	0	0	0	0	0	0	4.80349344978166	0	0	0	0	0	17.4672489082969	0	0	0	2.62008733624454	0	0	0	0.436681222707424	3.49344978165939	0	0
13430	20131	"Mekelermeer"	52.770122	6.62688	190	"AWI"	190	3109	6670	4871	0	45.0892857142857	0	0	0	0	0	14.2857142857143	0	0	0	0	0	20.0892857142857	2.23214285714286	0	0	0	0.892857142857143	1.33928571428571	0	0	0	0	0	0	0	0	3.57142857142857	0	0	0	0	0	8.48214285714286	0	0	0	0.446428571428571	0	0	0	1.78571428571429	1.33928571428571	0.446428571428571	0
13430	20131	"Mekelermeer"	52.770122	6.62688	192	"AWI"	192	3159	6745	4928	0	40.3508771929825	0.43859649122807	0	0	0	0	6.57894736842105	0	0	0	0	0	23.6842105263158	2.19298245614035	0	0	0	0.43859649122807	0	0	0	0	0	0	0	0	0	5.70175438596491	0	0	0	0	0	16.2280701754386	0	0	0	2.19298245614035	0	0	0	0.87719298245614	1.31578947368421	0	0
13430	20131	"Mekelermeer"	52.770122	6.62688	194	"AWI"	194	3258	6790	4996	0	37.1428571428571	0.408163265306122	0.408163265306122	0	0	0	13.0612244897959	0	0	0	0	0	18.7755102040816	2.04081632653061	0	0	0	1.22448979591837	0.408163265306122	0	0	0	0	0	0	0	0	1.63265306122449	0	0	0	0	0	17.9591836734694	0	0	0	3.6734693877551	0	0	0	0	3.26530612244898	0	0
13430	20131	"Mekelermeer"	52.770122	6.62688	196	"AWI"	196	3325	6824	5061	0	36.9918699186992	0.40650406504065	0.40650406504065	0	0.40650406504065	0	11.3821138211382	0	0	0	0	0	20.7317073170732	2.03252032520325	0	0	0	0.813008130081301	1.6260162601626	0	0	0	0	0	0	0	0	4.0650406504065	0	0	0	0	0.40650406504065	17.0731707317073	0	0	0	1.21951219512195	0	0	0	0.40650406504065	1.21951219512195	0.40650406504065	0.40650406504065
13430	20131	"Mekelermeer"	52.770122	6.62688	198	"AWI"	198	3385	6868	5122	0	36.8421052631579	1.21457489878543	0	0	0	0	16.1943319838057	0	0	0	0	0	17.4089068825911	1.21457489878543	0	0	0	0.404858299595142	1.21457489878543	0	0	0	0	0	0	0	0	6.88259109311741	0	0	0	0	0	12.9554655870445	0	0	0	2.02429149797571	1.61943319838057	0	0	0.404858299595142	1.61943319838057	0	0
13430	20131	"Mekelermeer"	52.770122	6.62688	200	"AWI"	200	3450	6927	5183	0	42.0233463035019	0	0	0	0	0	13.6186770428016	0	0	0	0	0	20.2334630350195	1.16731517509728	0	0	0	0.389105058365759	1.94552529182879	0	0	0	0	0	0	0	0	4.28015564202335	0	0	0	0	0	11.6731517509728	0	0	0	1.94552529182879	0	0	0	0.389105058365759	2.33463035019455	0	0
13430	20131	"Mekelermeer"	52.770122	6.62688	202	"AWI"	202	3482	6995	5240	0	39.2996108949416	0	0	0	0.389105058365759	0	12.4513618677043	0	0	0	0	0	19.0661478599222	1.16731517509728	0	0	0	0.778210116731518	3.50194552529183	0	0	0	0	0	0	0	0	4.28015564202335	0	0	0	0	0	16.3424124513619	0	0	0	0.389105058365759	0	0	0	0.778210116731518	1.55642023346304	0	0
13430	20131	"Mekelermeer"	52.770122	6.62688	204	"AWI"	204	3535	7062	5301	0	39.9209486166008	0.395256916996047	0.395256916996047	0	0	0	9.88142292490119	0	0	0	0.395256916996047	0	21.3438735177866	0.790513833992095	0	0	0	0.395256916996047	3.55731225296443	0	0	0	0	0	0	0	0	4.74308300395257	0	0	0	0	0	14.2292490118577	0	0	0	2.37154150197628	0.395256916996047	0	0	0.790513833992095	0.395256916996047	0	0
13430	20131	"Mekelermeer"	52.770122	6.62688	206	"AWI"	206	3573	7141	5360	0	38.6266094420601	0.858369098712446	0	0	0.429184549356223	0	9.44206008583691	0	0	0	0	0	24.0343347639485	1.28755364806867	0	0	0	0.858369098712446	3.43347639484979	0	0	0	0	0	0	0	0	3.00429184549356	0	0	0	0	0	15.450643776824	0	0	0	0	0.858369098712446	0	0	1.28755364806867	0.429184549356223	0	0
13430	20131	"Mekelermeer"	52.770122	6.62688	208	"AWI"	208	3672	7199	5423	0	34.156378600823	0.411522633744856	0	0	0	0	9.87654320987654	0	0	0	0	0	26.7489711934156	0.411522633744856	0	0	0	0	2.05761316872428	0	0	0	0	0	0	0	0	2.05761316872428	0	0	0	0	0	19.3415637860082	0	0	0	0	0.823045267489712	0	0	0.411522633744856	3.7037037037037	0	0
13430	20131	"Mekelermeer"	52.770122	6.62688	210	"AWI"	210	3753	7252	5496	0	32.9365079365079	0.396825396825397	0	0	0	0	11.1111111111111	0	0	0	0.396825396825397	0	22.6190476190476	1.58730158730159	0	0	0	1.19047619047619	0.793650793650794	0	0	0	0	0	0	0	0	7.93650793650794	0	0	0	0	0	14.6825396825397	0	0	0	0.396825396825397	0	0	0	2.38095238095238	3.57142857142857	0	0
13430	20131	"Mekelermeer"	52.770122	6.62688	212	"AWI"	212	3815	7324	5568	0	41.897233201581	0	0	0	0	0	10.6719367588933	0	0	0	0	0	18.5770750988142	0	0	0	0	0	0.790513833992095	0	0	0	0	0	0	0	0	5.92885375494071	0	0	0	0	0.395256916996047	18.5770750988142	0	0	0	0.395256916996047	0.790513833992095	0	0	0.790513833992095	1.18577075098814	0	0
13430	20131	"Mekelermeer"	52.770122	6.62688	214	"AWI"	214	3885	7370	5633	0	37.9166666666667	0.833333333333333	0	0	0	0	10.4166666666667	0	0	0	0	0	20.8333333333333	0	0	0	0	0	6.25	0	0	0	0	0	0	0	0	5.41666666666667	0	0	0	0	0	15.4166666666667	0	0	0	0.416666666666667	0	0	0	1.25	1.25	0	0
13430	20131	"Mekelermeer"	52.770122	6.62688	216	"AWI"	216	3934	7431	5704	0	37.6470588235294	0.392156862745098	0.392156862745098	0	0	0	11.7647058823529	0	0	0	0	0	23.1372549019608	0.784313725490196	0	0	0	0	1.17647058823529	0	0	0	0	0	0	0	0	5.88235294117647	0	0	0	0	0	16.4705882352941	0	0	0	0	0	0	0	1.17647058823529	1.17647058823529	0	0
13430	20131	"Mekelermeer"	52.770122	6.62688	218	"AWI"	218	3980	7496	5766	0	44.672131147541	0.409836065573771	0	0	0	0	10.655737704918	0	0	0	0	0	17.6229508196721	0.409836065573771	0	0	0	0.409836065573771	3.27868852459016	0	0	0	0	0	0	0	0	3.68852459016393	0	0	0	0	0	16.3934426229508	0	0	0	0	0	0	0	0.819672131147541	1.63934426229508	0	0
13430	20131	"Mekelermeer"	52.770122	6.62688	220	"AWI"	220	4021	7603	5839	0	35.8778625954198	0.381679389312977	0	0	0	0	12.9770992366412	0	0	0	0	0	21.7557251908397	0.381679389312977	0	0	0	0	3.43511450381679	0	0	0	0	0	0	0	0	3.43511450381679	0	0	0	0	0	16.412213740458	0	0	0	1.90839694656489	0.763358778625954	0	0	0	2.67175572519084	0	0
13430	20131	"Mekelermeer"	52.770122	6.62688	224	"AWI"	224	4192	7687	5968	0	36.71875	0.78125	0	0	0	0	12.5	0	0	0	0	0	19.140625	1.5625	0	0	0	0	4.296875	0	0	0	0	0	0	0	0	4.296875	0	0	0	0	0.390625	16.796875	0	0	0	0.390625	0	0	0	0.78125	2.34375	0	0
13430	20131	"Mekelermeer"	52.770122	6.62688	226	"AWI"	226	4283	7730	6030	0	32	0	0	0	0.4	0	14	0	0	0	0	0	19.6	0.4	0	0	0	0.4	3.2	0	0	0	0	0	0	0	0	4.8	0	0	0	0	0	19.2	0	0	0	0.8	0.8	0	0	1.6	2.8	0	0
13430	20131	"Mekelermeer"	52.770122	6.62688	228	"AWI"	228	4342	7789	6088	0	35.3174603174603	0	0	0	0	0	13.0952380952381	0	0	0	0	0	21.8253968253968	0.793650793650794	0	0	0	0	2.77777777777778	0	0	0	0	0	0	0	0	4.36507936507936	0	0	0	0	0	17.4603174603175	0	0	0	0.793650793650794	0.396825396825397	0	0	1.98412698412698	1.19047619047619	0	0
13430	20131	"Mekelermeer"	52.770122	6.62688	230	"AWI"	230	4396	7855	6153	0	35.4581673306773	0.398406374501992	0	0	0	0	8.76494023904383	0	0	0	0	0	26.6932270916335	1.59362549800797	0	0	0	0	2.78884462151394	0	0	0	0	0	0	0	0	6.37450199203187	0	0	0	0	0	14.7410358565737	0	0	0	0.398406374501992	0	0	0	1.19521912350598	1.59362549800797	0	0
13430	20131	"Mekelermeer"	52.770122	6.62688	232	"AWI"	232	4437	7908	6218	0	30.6513409961686	0.383141762452107	0	0	0.383141762452107	0	13.4099616858238	0	0	0	0	0	23.3716475095785	0.766283524904214	0	0	0	0	3.06513409961686	0	0	0	0	0	0	0	0	9.19540229885057	0	0	0	0	0	13.7931034482759	0	0	0	0.383141762452107	0	0	0	2.68199233716475	1.91570881226054	0	0
13430	20131	"Mekelermeer"	52.770122	6.62688	234	"AWI"	234	4486	8001	6284	0	36.9230769230769	0.769230769230769	0	0	0	0	11.1538461538462	0	0	0	0	0	20.3846153846154	0.769230769230769	0	0	0	0	1.92307692307692	0	0	0	0	0	0	0	0	6.15384615384615	0	0	0	0	0.384615384615385	15.3846153846154	0	0	0	1.15384615384615	0	0	0	1.53846153846154	3.46153846153846	0	0
13430	20131	"Mekelermeer"	52.770122	6.62688	236	"AWI"	236	4554	8053	6346	0	35.9848484848485	0	0	0	0	0	9.09090909090909	0	0	0	0	0	25.3787878787879	0	0	0	0	0	1.51515151515152	0	0	0	0	0	0	0	0	7.95454545454545	0	0	0	0	0	15.9090909090909	0	0	0	0	0.378787878787879	0	0	1.13636363636364	2.65151515151515	0	0
13430	20131	"Mekelermeer"	52.770122	6.62688	238	"AWI"	238	4643	8094	6414	0	31.7991631799163	0	0	0	0.418410041841004	0	16.3179916317992	0	0	0	0	0	18.4100418410042	1.67364016736402	0	0	0	0	2.09205020920502	0	0	0	0	0	0	0	0	6.27615062761506	0	0	0	0	0	17.9916317991632	0	0	0	1.67364016736402	0	0	0	0	3.34728033472803	0	0
13430	20131	"Mekelermeer"	52.770122	6.62688	240	"AWI"	240	4703	8155	6481	0.40650406504065	31.7073170731707	0	0	0	0.40650406504065	0	14.2276422764228	0	0	0	0	0	21.1382113821138	0.40650406504065	0	0	0	0	1.21951219512195	0	0	0	0	0	0	0	0	10.1626016260163	0	0	0	0	0	14.6341463414634	0	0	0	2.4390243902439	0	0	0	0.813008130081301	2.4390243902439	0	0
13430	20131	"Mekelermeer"	52.770122	6.62688	242	"AWI"	242	4778	8202	6545	0	34.0909090909091	0.378787878787879	0	0	0	0	12.1212121212121	0	0	0	0	0	27.2727272727273	0.378787878787879	0	0	0	0	1.89393939393939	0	0	0	0	0	0	0	0	6.81818181818182	0	0	0	0	0	11.3636363636364	0	0	0	1.89393939393939	0.378787878787879	0	0	1.13636363636364	2.27272727272727	0	0
13430	20131	"Mekelermeer"	52.770122	6.62688	244	"AWI"	244	4837	8264	6612	0	33.7164750957854	0	0	0	0	0	19.1570881226054	0	0	0	0	0	15.3256704980843	0.766283524904214	0	0	0	0	2.68199233716475	0	0	0	0	0	0	0	0	7.66283524904215	0	0	0	0	0	17.6245210727969	0	0	0	0.383141762452107	0	0	0	0.383141762452107	2.29885057471264	0	0
13430	20131	"Mekelermeer"	52.770122	6.62688	246	"AWI"	246	4893	8328	6675	0	37.7862595419847	0	0	0	0.381679389312977	0	13.7404580152672	0	0	0	0	0	17.9389312977099	1.14503816793893	0	0	0	0	1.52671755725191	0	0	0	0	0.381679389312977	0	0	0	6.48854961832061	0	0	0	0	0	14.8854961832061	0	0	0	0.763358778625954	0.763358778625954	0	0	1.14503816793893	3.05343511450382	0	0
13430	20131	"Mekelermeer"	52.770122	6.62688	248	"AWI"	248	4931	8392	6740	0.389105058365759	33.0739299610895	0	0	0	0	0	12.4513618677043	0	0	0	0	0	25.2918287937743	1.55642023346304	0	0	0	0	2.33463035019455	0	0	0	0	0	0	0	0	9.72762645914397	0	0	0	0	0	11.6731517509728	0	0	0	0	0	0	0	1.16731517509728	2.33463035019455	0	0
13430	20131	"Mekelermeer"	52.770122	6.62688	250	"AWI"	250	5017	8441	6810	0	31.3725490196078	0.392156862745098	0	0	0	0	14.5098039215686	0	0	0	0	0	20	1.56862745098039	0	0	0	0	1.17647058823529	0	0	0	0	0	0	0	0	10.1960784313725	0	0	0	0	0	14.9019607843137	0	0	0	0.392156862745098	0.392156862745098	0	0	1.17647058823529	3.92156862745098	0	0
13430	20131	"Mekelermeer"	52.770122	6.62688	252	"AWI"	252	5091	8481	6867	0	29.8850574712644	0	0	0	0	0	16.0919540229885	0	0	0	0	0	23.3716475095785	1.53256704980843	0	0	0	0	0.383141762452107	0	0	0	0	0	0	0	0	8.04597701149425	0	0	0	0	0	11.8773946360153	0	0	0	0	0.383141762452107	0	0	3.06513409961686	5.3639846743295	0	0
13430	20131	"Mekelermeer"	52.770122	6.62688	254	"AWI"	254	5189	8528	6929	0	34.9442379182156	1.11524163568773	0	0	0	0	13.0111524163569	0	0	0	0	0	21.1895910780669	2.60223048327138	0	0	0	0	1.11524163568773	0	0	0	0	0	0	0	0	4.83271375464684	0	0	0	0	0	13.7546468401487	0	0	0	0.371747211895911	0.371747211895911	0	0	1.48698884758364	5.20446096654275	0	0
13430	20131	"Mekelermeer"	52.770122	6.62688	256	"AWI"	256	5255	8574	7001	0	32.2222222222222	0.37037037037037	0	0	0	0	11.8518518518519	0	0	0	0	0	23.3333333333333	1.11111111111111	0	0	0	0	1.11111111111111	0	0	0	0	0.37037037037037	0	0	0	10	0	0	0	0	0	13.7037037037037	0	0	0	0.37037037037037	0.37037037037037	0	0	2.22222222222222	2.96296296296296	0	0
13430	20131	"Mekelermeer"	52.770122	6.62688	258	"AWI"	258	5335	8628	7068	0	32.1705426356589	0.387596899224806	0	0	0	0	16.2790697674419	0	0	0	0	0	24.031007751938	1.55038759689922	0	0	0	0	3.10077519379845	0	0	0	0	0	0	0	0	5.81395348837209	0	0	0	0	0	14.3410852713178	0	0	0	0	0	0	0	0	2.32558139534884	0	0
