"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Corylus"	"Crataegus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Liliaceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
16654	26431	"Fuschlsee"	47.8042	13.27474	3	"AWI"	3	-121	47	-34	0	6	67	2	9	2	9	0	0	42	1	0	0	0	0	0	0	21	0	29	0	0	0	0	0	57	0	17	0	2	4	0	0	0	0	15	116	131	69	0	0	0	0	33	0	0	0	5	48	2	0	0	0	0	0	0	2	0	0	0
16654	26431	"Fuschlsee"	47.8042	13.27474	8	"AWI"	8	-105	121	-7	23	5	51	0	0	0	3	0	0	41	1	0	5	0	0	4	0	19	0	20	0	0	0	0	0	58	0	18	0	1	7	0	0	0	0	7	111	0	40	0	0	0	0	39	0	0	0	3	24	0	0	0	0	0	0	0	2	2	0	0
16654	26431	"Fuschlsee"	47.8042	13.27474	13	"AWI"	13	-91	212	20	7	2	47	5	2	0	0	0	0	44	4	0	1	0	0	0	0	13	0	20	0	0	0	0	0	51	0	9	0	3	1	0	0	0	0	10	144	145	34	0	0	0	0	44	0	0	0	2	10	3	0	0	0	0	0	0	8	0	0	0
16654	26431	"Fuschlsee"	47.8042	13.27474	23	"AWI"	23	-45	300	90	9	5	58	4	7	0	4	0	0	33	11	0	1	0	0	0	1	16	0	18	0	0	0	0	0	56	0	16	0	0	3	0	0	0	0	7	150	104	62	187	0	0	0	41	0	0	0	3	20	3	0	0	0	0	0	0	8	2	0	0
16654	26431	"Fuschlsee"	47.8042	13.27474	33	"AWI"	33	-7	400	157	8	0	56	1	1	0	3	0	0	39	8	0	8	0	0	0	0	137	0	26	0	0	0	0	0	46	0	11	0	0	1	0	0	0	0	6	143	0	60	0	0	0	0	51	0	0	0	4	0	4	0	0	2	0	0	0	3	4	0	0
16654	26431	"Fuschlsee"	47.8042	13.27474	43	"AWI"	43	33	474	223	10	2	63	4	9	1	7	0	0	56	8	0	0	0	0	0	0	20	0	41	2	0	0	0	0	51	0	12	0	0	5	0	0	0	0	11	126	154	50	0	0	0	0	45	0	0	0	3	44	8	0	0	0	0	0	0	4	4	0	0
16654	26431	"Fuschlsee"	47.8042	13.27474	48	"AWI"	48	58	511	257	19	5	57	2	1	0	0	0	0	48	2	1	14	0	0	1	0	13	0	17	0	0	0	0	0	69	0	8	0	2	18	0	1	0	0	7	86	0	26	133	0	0	0	36	0	0	0	2	12	4	0	0	0	0	0	0	2	2	0	0
16654	26431	"Fuschlsee"	47.8042	13.27474	53	"AWI"	53	86	542	290	10	4	48	2	0	0	1	0	0	30	4	0	4	0	0	0	0	33	0	24	0	0	0	0	0	70	0	2	0	2	1	0	0	0	0	18	134	134	23	0	0	0	0	78	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0
16654	26431	"Fuschlsee"	47.8042	13.27474	58	"AWI"	58	104	585	323	23	2	72	0	0	0	3	0	0	29	2	0	11	0	0	0	0	23	0	21	0	0	0	0	0	34	0	0	0	4	7	0	0	0	0	10	94	179	10	0	0	0	0	52	0	0	0	0	0	2	0	0	0	1	0	0	1	0	0	0
16654	26431	"Fuschlsee"	47.8042	13.27474	63	"AWI"	63	129	620	357	9	4	57	1	0	0	3	0	0	75	3	0	7	0	0	0	0	22	0	12	0	0	0	0	0	70	0	1	0	2	11	0	0	0	0	5	50	0	28	0	0	0	0	94	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0
16654	26431	"Fuschlsee"	47.8042	13.27474	68	"AWI"	68	159	648	392	8	0	40	0	0	0	0	0	0	39	1	0	10	0	0	0	0	25	0	31	0	0	0	0	0	65	0	2	1	1	17	0	0	0	0	7	54	0	16	0	0	0	0	102	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0
