"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cedrus"	"Celastraceae"	"Cistaceae"	"Convolvulaceae"	"Crassulaceae"	"Crataegus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Genista"	"Gentianaceae"	"Geraniaceae"	"Heliotropium"	"Hypericaceae"	"Ilex"	"Iridaceae"	"Juniperus"	"Lamiaceae"	"Ligustrum"	"Liliaceae"	"Lythraceae"	"Olea"	"Orobanchaceae"	"Phillyrea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Prunus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Resedaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Scrophulariaceae"	"Sorbus"	"Thymelaeaceae"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
26050	45184	"Arroyo de Valdeconejos"	40.86104	-4.06103	1	"AWI"	1	-135	13	-51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	22	0	0	0	4	0	2	0	0	0	0	0	4	0	1	0	0	3	0	0	320	0	0	0	0	0	0	14	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26050	45184	"Arroyo de Valdeconejos"	40.86104	-4.06103	4	"AWI"	4	-126	18	-45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	21	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	224	0	0	0	0	0	0	8	8	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0
26050	45184	"Arroyo de Valdeconejos"	40.86104	-4.06103	8	"AWI"	8	-115	25	-38	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	0	0	0	0	1	0	3	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
26050	45184	"Arroyo de Valdeconejos"	40.86104	-4.06103	12	"AWI"	12	-107	36	-30	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	26	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	6	0	0	153	1	0	113	0	0	0	6	4	0	0	0	0	0	5	0	1	0	0	0	0	0	0	0
26050	45184	"Arroyo de Valdeconejos"	40.86104	-4.06103	16	"AWI"	16	-101	50	-22	1	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	15	0	0	0	1	0	1	0	0	0	0	0	4	0	0	0	0	4	0	0	128	0	0	0	0	0	0	5	5	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
26050	45184	"Arroyo de Valdeconejos"	40.86104	-4.06103	20	"AWI"	20	-90	56	-14	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	6	0	0	0	0	14	0	0	0	2	1	0	0	0	0	0	0	2	0	0	0	0	5	0	0	86	0	0	0	0	1	0	6	3	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0
26050	45184	"Arroyo de Valdeconejos"	40.86104	-4.06103	24	"AWI"	24	-81	64	-6	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	6	0	0	0	0	27	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	104	0	0	0	0	0	0	10	3	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
26050	45184	"Arroyo de Valdeconejos"	40.86104	-4.06103	28	"AWI"	28	-74	73	2	0	0	0	0	0	2	0	0	0	0	1	2	0	0	0	4	0	0	0	0	14	0	0	0	1	0	0	0	0	0	0	0	3	0	1	0	0	3	0	0	41	0	0	174	0	0	0	4	3	0	0	0	0	0	9	0	0	1	0	1	0	0	0	0
26050	45184	"Arroyo de Valdeconejos"	40.86104	-4.06103	32	"AWI"	32	-67	82	9	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	28	0	0	0	0	1	6	0	0	0	0	0	1	0	0	0	0	4	0	0	151	0	0	0	0	0	0	3	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
26050	45184	"Arroyo de Valdeconejos"	40.86104	-4.06103	36	"AWI"	36	-54	88	17	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	3	0	0	154	0	0	0	0	0	0	11	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
26050	45184	"Arroyo de Valdeconejos"	40.86104	-4.06103	40	"AWI"	40	-45	97	24	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	5	0	0	0	0	19	0	0	0	2	1	0	0	0	0	0	0	4	0	0	0	0	7	0	0	107	0	0	138	0	0	0	6	4	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0
26050	45184	"Arroyo de Valdeconejos"	40.86104	-4.06103	44	"AWI"	44	-38	106	32	0	0	0	0	0	3	0	0	0	0	2	1	0	0	0	3	0	0	0	0	24	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	3	0	0	80	0	0	154	0	2	0	11	5	0	0	0	0	0	6	0	1	0	0	0	2	0	0	0
26050	45184	"Arroyo de Valdeconejos"	40.86104	-4.06103	48	"AWI"	48	-26	113	39	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	2	2	0	0	0	0	0	11	0	0	2	0	0	0	0	0	0
26050	45184	"Arroyo de Valdeconejos"	40.86104	-4.06103	52	"AWI"	52	-13	119	47	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	12	0	0	0	0	0	1	0	0	0	0	0	3	0	0	1	0	3	0	0	56	0	0	0	0	0	0	9	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26050	45184	"Arroyo de Valdeconejos"	40.86104	-4.06103	56	"AWI"	56	-1	126	54	0	1	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	20	0	0	0	0	3	2	0	0	0	0	1	5	0	0	1	0	3	0	0	89	0	0	0	0	0	0	4	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0
26050	45184	"Arroyo de Valdeconejos"	40.86104	-4.06103	62	"AWI"	62	14	141	68	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	2	0	0	73	0	0	0	0	2	0	10	3	0	1	0	0	1	8	0	0	0	0	0	0	0	0	1
26050	45184	"Arroyo de Valdeconejos"	40.86104	-4.06103	64	"AWI"	64	22	146	75	0	0	0	0	0	2	0	0	0	0	1	1	0	0	0	2	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	87	0	0	0	0	1	0	4	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
26050	45184	"Arroyo de Valdeconejos"	40.86104	-4.06103	68	"AWI"	68	34	160	91	0	0	0	0	0	1	0	0	0	0	1	2	0	0	0	5	0	0	1	0	30	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	130	0	0	128	0	0	0	8	6	0	0	0	0	0	2	0	1	0	0	0	1	0	0	0
26050	45184	"Arroyo de Valdeconejos"	40.86104	-4.06103	72	"AWI"	72	41	181	106	0	0	0	0	0	1	0	0	0	0	3	0	0	0	1	7	0	0	0	0	14	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	4	0	0	78	0	0	0	0	0	0	17	3	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0
26050	45184	"Arroyo de Valdeconejos"	40.86104	-4.06103	76	"AWI"	76	47	209	120	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	0	0	0	28	0	0	0	0	3	1	0	0	0	0	0	2	0	0	0	0	2	0	0	66	0	0	0	0	1	0	9	2	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0
26050	45184	"Arroyo de Valdeconejos"	40.86104	-4.06103	80	"AWI"	80	66	218	138	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	1	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	111	0	0	127	0	0	0	18	4	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0
26050	45184	"Arroyo de Valdeconejos"	40.86104	-4.06103	84	"AWI"	84	79	228	157	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	5	0	0	0	0	32	0	0	1	0	0	1	0	0	0	0	0	3	0	0	0	0	3	0	0	80	1	0	0	0	0	0	20	3	0	0	0	0	1	3	1	1	1	0	0	0	0	0	0
26050	45184	"Arroyo de Valdeconejos"	40.86104	-4.06103	88	"AWI"	88	90	241	175	0	0	0	0	0	4	0	0	0	0	4	0	0	0	0	6	0	0	0	0	17	0	0	0	0	1	2	0	0	0	0	0	3	0	0	0	0	1	0	0	83	0	0	158	0	0	0	15	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
