"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asphodelaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Ilex"	"Juglans"	"Lamiaceae"	"Ligustrum"	"Liliaceae"	"Lythraceae"	"Malvaceae"	"Myrica"	"Onagraceae"	"Ostrya.Carpinus"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Scrophulariaceae"	"Solanaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Violaceae"	"Vitaceae"
15977	24641	"Ecours"	46.61222	-1.84278	80	"AWI"	80	3408	4776	4089	0	21	1076	3	0	1	0	0	3	0	0	0	0	0	0	0	1	0	0	0	12	0	5	1	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	1	3	0	0	104	0	0	0	0	33	0	2	0	0	8	0	0	0	0	2	0	1	0	0	0	0	0	0
15977	24641	"Ecours"	46.61222	-1.84278	85	"AWI"	85	3517	4791	4151	0	4	516	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	9	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	43	0	0	0	0	11	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15977	24641	"Ecours"	46.61222	-1.84278	90	"AWI"	90	3622	4806	4213	0	4	272	1	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	16	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
15977	24641	"Ecours"	46.61222	-1.84278	95	"AWI"	95	3728	4828	4275	0	14	615	1	1	1	0	0	12	0	0	0	0	0	0	0	0	0	0	0	18	0	13	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	164	0	0	0	0	81	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
15977	24641	"Ecours"	46.61222	-1.84278	100	"AWI"	100	3833	4847	4338	0	27	149	10	2	3	0	0	19	0	0	0	1	0	0	0	0	0	0	0	45	0	16	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	16	0	1	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0
15977	24641	"Ecours"	46.61222	-1.84278	105	"AWI"	105	3938	4867	4400	0	16	170	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	20	0	1	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	8	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
15977	24641	"Ecours"	46.61222	-1.84278	110	"AWI"	110	4040	4886	4462	0	4	233	3	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	14	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	159	0	0	0	0	16	0	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
15977	24641	"Ecours"	46.61222	-1.84278	115	"AWI"	115	4140	4915	4526	0	8	257	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	4	0	4	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	16	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	1
15977	24641	"Ecours"	46.61222	-1.84278	120	"AWI"	120	4238	4937	4590	0	9	331	1	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	6	0	3	4	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	19	0	0	108	0	0	0	0	17	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0
15977	24641	"Ecours"	46.61222	-1.84278	125	"AWI"	125	4334	4966	4652	0	9	154	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	7	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	15	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0
15977	24641	"Ecours"	46.61222	-1.84278	130	"AWI"	130	4428	4997	4712	0	6	194	3	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	10	0	5	7	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	22	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0
15977	24641	"Ecours"	46.61222	-1.84278	135	"AWI"	135	4513	5043	4775	0	4	364	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	6	0	6	3	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	25	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	1	0	0
15977	24641	"Ecours"	46.61222	-1.84278	140	"AWI"	140	4594	5088	4836	0	8	381	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	5	0	7	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	16	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
15977	24641	"Ecours"	46.61222	-1.84278	145	"AWI"	145	4673	5138	4897	0	3	257	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	4	4	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	26	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0
15977	24641	"Ecours"	46.61222	-1.84278	150	"AWI"	150	4747	5196	4958	0	5	269	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	12	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	35	0	0	0	0	1	0	2	0	0	0	0	0	0	1	1	0	0	0
15977	24641	"Ecours"	46.61222	-1.84278	155	"AWI"	155	4802	5267	5018	0	2	313	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	33	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
15977	24641	"Ecours"	46.61222	-1.84278	160	"AWI"	160	4835	5275	5035	0	7	294	4	0	2	0	0	5	0	1	0	0	0	0	0	0	0	0	0	6	0	9	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0
15977	24641	"Ecours"	46.61222	-1.84278	165	"AWI"	165	4858	5284	5054	0	8	241	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	25	0	1	6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	23	0	0	0	0	0	0	1	0	0	0	0	1	1	1	1	0	0	0
15977	24641	"Ecours"	46.61222	-1.84278	170	"AWI"	170	4873	5293	5072	0	17	552	0	1	0	0	0	5	0	0	0	0	0	0	0	1	0	0	0	56	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	14	0	0	0	0	0	0	0	58	0	0	0	0	2	0	0	0	0	0	0	0	3	1	1	0	0	1
15977	24641	"Ecours"	46.61222	-1.84278	175	"AWI"	175	4885	5306	5088	0	7	150	4	0	5	0	0	2	0	2	0	0	0	0	0	0	0	0	0	16	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	39	0	0	0	0	0	0	0	14	0	1	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0
15977	24641	"Ecours"	46.61222	-1.84278	180	"AWI"	180	4897	5318	5109	0	7	66	12	0	7	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	31	0	0	85	0	0	0	0	6	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
