"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Lamiaceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
3304	4288	"Mustusuo"	61.80556	33.5	25	"AWI"	25	101	1191	474	0	40	0	0	2	0	0	1	0	0	7	0	0	0	0	18	154	0	7	1	0	1	3	0	0	3	0	0	0	0	0
3304	4288	"Mustusuo"	61.80556	33.5	50	"AWI"	50	447	1944	1043	0	15	1	0	4	0	95	0	0	0	6	0	0	0	0	7	183	0	7	0	0	0	2	0	0	1	1	0	0	0	0
3304	4288	"Mustusuo"	61.80556	33.5	75	"AWI"	75	873	2617	1619	0	26	1	0	0	0	0	0	1	0	8	0	0	0	0	15	179	0	9	0	1	2	1	0	0	1	2	0	0	0	0
3304	4288	"Mustusuo"	61.80556	33.5	100	"AWI"	100	1308	3291	2189	0	19	2	1	1	0	120	0	0	0	3	0	3	0	0	18	112	0	6	0	2	0	0	0	0	0	3	0	0	0	0
3304	4288	"Mustusuo"	61.80556	33.5	125	"AWI"	125	1798	3893	2779	1	13	0	0	2	0	0	0	0	1	7	0	0	1	0	20	113	1	1	0	0	2	2	0	0	0	0	1	1	4	1
3304	4288	"Mustusuo"	61.80556	33.5	150	"AWI"	150	2296	4496	3361	2	25	2	0	1	0	118	0	0	2	9	0	7	0	0	65	114	0	2	0	0	2	2	0	0	0	1	0	0	5	0
3304	4288	"Mustusuo"	61.80556	33.5	175	"AWI"	175	2848	5070	3938	1	30	0	0	1	0	0	0	0	0	5	0	0	0	1	53	109	0	2	0	0	2	1	1	0	1	1	0	1	5	0
3304	4288	"Mustusuo"	61.80556	33.5	200	"AWI"	200	3389	5614	4525	3	38	0	0	2	0	127	0	0	15	12	0	0	0	1	55	120	0	3	0	1	5	0	0	0	0	2	0	1	4	0
3304	4288	"Mustusuo"	61.80556	33.5	225	"AWI"	225	4000	6145	5102	2	60	0	0	0	1	0	0	0	6	3	0	0	0	0	47	85	0	3	0	0	2	1	1	1	0	2	0	2	9	0
3304	4288	"Mustusuo"	61.80556	33.5	250	"AWI"	250	4616	6675	5698	3	31	1	0	1	1	0	0	0	11	3	0	0	0	0	43	117	0	5	0	0	4	1	0	0	0	2	0	1	9	0
3304	4288	"Mustusuo"	61.80556	33.5	275	"AWI"	275	5235	7137	6281	2	45	0	0	1	0	194	0	0	9	5	0	0	0	1	30	92	0	2	0	1	1	2	1	0	0	1	0	3	4	0
3304	4288	"Mustusuo"	61.80556	33.5	300	"AWI"	300	5864	7610	6860	0	54	1	1	1	0	0	0	0	10	3	0	0	0	1	24	72	0	2	0	1	1	3	0	0	0	1	0	1	10	1
3304	4288	"Mustusuo"	61.80556	33.5	325	"AWI"	325	6598	8015	7436	0	33	0	0	0	0	0	1	0	5	4	1	0	0	0	4	104	0	4	0	0	1	0	1	0	0	3	0	1	9	0
3304	4288	"Mustusuo"	61.80556	33.5	350	"AWI"	350	7362	8371	7998	0	5	0	0	1	0	240	0	0	3	1	0	0	0	0	1	26	0	2	0	0	0	0	0	0	0	3	0	0	3	0
3304	4288	"Mustusuo"	61.80556	33.5	375	"AWI"	375	7980	8719	8408	0	0	1	1	0	0	0	0	0	4	13	0	0	4	0	2	74	0	0	0	1	1	1	0	1	0	1	0	0	4	1
3304	4288	"Mustusuo"	61.80556	33.5	400	"AWI"	400	8263	9062	8682	0	0	0	0	0	0	0	0	0	2	26	1	0	3	0	1	71	0	3	0	2	0	3	0	0	0	5	0	0	1	0
3304	4288	"Mustusuo"	61.80556	33.5	425	"AWI"	425	8535	9354	8963	0	0	0	0	2	0	0	0	0	0	32	0	0	2	0	2	53	0	1	0	0	0	0	0	1	0	2	0	0	0	0
3304	4288	"Mustusuo"	61.80556	33.5	450	"AWI"	450	8820	9634	9249	0	0	0	0	2	0	0	0	0	0	35	0	0	4	0	9	39	0	6	0	0	0	1	1	1	0	9	0	0	0	0
3304	4288	"Mustusuo"	61.80556	33.5	475	"AWI"	475	9187	9908	9526	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	2	10	0	0	0	0	0	0	0	0	0	4	0	0	0	0
3304	4288	"Mustusuo"	61.80556	33.5	500	"AWI"	500	9456	10216	9792	0	6	0	2	3	1	0	0	0	0	86	0	0	0	0	5	33	0	15	0	1	1	3	6	0	0	3	0	0	1	0
