"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Arctostaphylos"	"Artemisia"	"Asteraceae"	"Berberidaceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Celastraceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Grossulariaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Lythraceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rhododendron"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Solanaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
14630	22942	"Woryty"	53.7525	20.206322	20	"AWI"	20	-6	783	269	0	0	23.4567901234568	0.617283950617284	0	0	0	9.87654320987654	0	0	0	0	6.17283950617284	0.617283950617284	5.55555555555556	0	0	0	0	4.93827160493827	0	0	0	0	0	0	5.55555555555556	0	0.617283950617284	0	0	9.25925925925926	0	0	0	0	0	8.02469135802469	0	7.40740740740741	0	0	0	0	0	0	0	17.2839506172839	0	0	0	0	0	0	0	0.617283950617284	0	0	0	0	0	0	0	0	0	0
14630	22942	"Woryty"	53.7525	20.206322	40	"AWI"	40	107	1405	571	0	0	28.6549707602339	1.16959064327485	0	0	0	6.4327485380117	0	0	0	0	7.60233918128655	1.75438596491228	8.7719298245614	0	0	0	0	7.60233918128655	0	0	0	0	0	0	4.67836257309941	1.16959064327485	0	0	0	6.4327485380117	0	0	0	0	0	7.60233918128655	0	6.4327485380117	0	0	0	0	0	0	0	10.5263157894737	0	0	0	0	0	0	0	0	0	0	1.16959064327485	0	0	0	0	0	0	0
14630	22942	"Woryty"	53.7525	20.206322	60	"AWI"	60	235	1603	886	0	0	32.0197044334975	0.492610837438424	0	0	0	1.72413793103448	0	0	0	0	0.985221674876847	0	2.70935960591133	0	0	0	0	7.63546798029557	0	0	0	0	0	0	5.17241379310345	0	0.985221674876847	0	0	0.492610837438424	0	0	0.246305418719212	0	0.492610837438424	26.3546798029557	0	1.97044334975369	0	0	0	0	0	0	0	15.0246305418719	0	0	0	0	0	0	0	0	0.246305418719212	0	0.246305418719212	0.492610837438424	0	0	0	2.70935960591133	0	0
14630	22942	"Woryty"	53.7525	20.206322	80	"AWI"	80	528	1806	1202	0	0	27.027027027027	0	0	0	0	0.168918918918919	0	0	0	0	0	0	0.337837837837838	0	0	0	0	6.41891891891892	0	0	0	0	0	0	4.39189189189189	0	1.01351351351351	0	0	0.337837837837838	0	0	0	0	0	36.1486486486487	0	0.675675675675676	0	0	0	0	0	0	0.168918918918919	15.5405405405405	0	0	0	0	0	0	0	0	0	0	0	0.168918918918919	0	0	5.57432432432432	2.02702702702703	0	0
14630	22942	"Woryty"	53.7525	20.206322	100	"AWI"	100	794	2021	1547	0	0	46.4530892448513	0	0	0	0	1.60183066361556	0	0	0	0	0	0	1.1441647597254	0	0	0	0	10.2974828375286	0	0	0	0	0	0	2.74599542334096	0.45766590389016	2.05949656750572	0	0	0	0	0	0	0	0	10.9839816933638	0	0.91533180778032	0	0	0	0	0	0	0	20.8237986270023	0	0	0	0	0	0	0	0.22883295194508	0	0	0	0	0	0	1.1441647597254	1.1441647597254	0	0
14630	22942	"Woryty"	53.7525	20.206322	120	"AWI"	120	1413	2118	1797	0	0.202020202020202	45.6565656565657	0.404040404040404	0	0	0	2.02020202020202	0	0	0	0	0.404040404040404	0	1.01010101010101	0	0	0	0	12.1212121212121	0	0	0	0	0	0	1.01010101010101	0	1.21212121212121	0	0	0	0	0	0	0	0	9.09090909090909	0	1.01010101010101	0	0	0	0	0	0	0	24.2424242424242	0	0	0	0	0	0	0	0	0	0	0.404040404040404	0	0	0.202020202020202	0	1.01010101010101	0	0
14630	22942	"Woryty"	53.7525	20.206322	130	"AWI"	130	1648	2193	1929	0.213675213675214	0	38.2478632478632	0.427350427350427	0	0	0	4.48717948717949	0	0	0	0	0.427350427350427	0.427350427350427	0	0	0	0	0	12.6068376068376	3.41880341880342	0	0	0	0	0	2.13675213675214	0	1.28205128205128	0	0	0.213675213675214	0	0	0	0	0	11.5384615384615	0	0.641025641025641	0	0	0	0	0	0	0	22.008547008547	0	0	0	0	0	0	0	0	0	0	0	0.213675213675214	0	0.213675213675214	0	1.4957264957265	0	0
14630	22942	"Woryty"	53.7525	20.206322	140	"AWI"	140	1783	2283	2033	0.175746924428822	0	41.8277680140597	0.351493848857645	0	0	0	3.86643233743409	0	0	0	0	0	0	1.23022847100176	0	0	0	0	6.32688927943761	0	0	0	0	0	0	1.5817223198594	0.351493848857645	1.23022847100176	0.351493848857645	0	0	0	0	0	0	0	16.5202108963093	0	0.70298769771529	0	0	0	0	0.878734622144113	0	0	19.6836555360281	0	0	0	0	0	0	0	0	0.175746924428822	0	0	0	0	0.175746924428822	2.81195079086116	1.75746924428823	0	0
14630	22942	"Woryty"	53.7525	20.206322	150	"AWI"	150	1887	2341	2112	0	0.359712230215827	36.3309352517986	0.359712230215827	0	0	0	0.359712230215827	0	0	0	0	0	0	0	0	0	0	0	5.2158273381295	0	0	0	0	0	0	1.2589928057554	0	1.2589928057554	0	0	0	0	0	0	0	0	31.4748201438849	0	0.719424460431655	0	0	0	0	0	0	0.179856115107914	17.0863309352518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.23741007194245	2.15827338129496	0	0
14630	22942	"Woryty"	53.7525	20.206322	160	"AWI"	160	1950	2465	2183	0	0.336700336700337	37.2053872053872	0	0	0	0	0	0	0	0	0	0	0.168350168350168	0.505050505050505	0	0	0	0	10.6060606060606	0	0	0	0	0	0	0.505050505050505	0	1.68350168350168	0	0	0	0	0	0.168350168350168	0	0	24.5791245791246	0	0.673400673400673	0	0	0	0	0	0	0	16.3299663299663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.53535353535354	1.01010101010101	2.69360269360269	0
