"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Genista"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Indeterminable"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Liliaceae"	"Olea"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Solanaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
24783	43513	"Lej da Champfèr"	46.46994	9.80624	1	"AWI"	1	-111	59	-32	10	2	79	3	0	9	0	31	0	2	1	0	0	0	3	11	2	0	18	0	24	0	0	5	0	0	6	5	0	0	0	1	5	1	5	0	35	0	1	0	0	7	68	214	0	0	0	1	0	9	1	0	0	2	0	5	0	0	1	0	2	2	1	2	0	1
24783	43513	"Lej da Champfèr"	46.46994	9.80624	10	"AWI"	10	34	215	128	7	0	66	2	0	3	0	14	0	2	0	0	0	0	7	3	0	0	4	0	34	0	0	5	0	0	4	0	0	0	0	0	0	1	6	0	41	0	1	0	0	3	129	177	0	0	0	2	0	11	0	0	0	2	0	4	0	0	0	0	5	0	1	0	0	0
24783	43513	"Lej da Champfèr"	46.46994	9.80624	30	"AWI"	30	254	603	489	2	2	219	4	0	6	0	15	0	1	0	0	0	0	2	3	0	0	3	0	27	0	0	13	0	0	2	0	0	0	0	1	7	3	11	0	12	0	0	0	0	0	69	107	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	4	0	0
24783	43513	"Lej da Champfèr"	46.46994	9.80624	50	"AWI"	50	476	1018	851	4	1	62	3	0	5	0	15	0	2	0	0	19	0	6	38	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	14	5	35	0	33	0	1	0	0	3	87	132	0	0	0	0	0	10	0	0	0	3	0	0	0	0	0	0	2	0	0	6	0	1
24783	43513	"Lej da Champfèr"	46.46994	9.80624	70	"AWI"	70	690	1437	1211	4	2	57	3	0	2	0	21	0	1	0	0	10	0	2	14	0	0	2	0	35	0	0	0	0	0	7	0	0	0	0	1	10	5	35	0	25	0	0	0	0	6	76	157	0	0	0	0	0	10	0	0	0	2	13	4	0	0	0	0	1	0	0	3	0	1
24783	43513	"Lej da Champfèr"	46.46994	9.80624	80	"AWI"	80	803	1577	1341	3	0	42	6	0	3	0	14	0	0	0	0	4	0	3	4	0	0	2	0	35	0	0	0	0	0	6	0	0	0	0	0	12	8	47	0	20	0	0	0	0	0	131	232	0	0	0	0	0	27	0	0	0	2	0	4	0	0	0	0	1	0	1	1	0	0
24783	43513	"Lej da Champfèr"	46.46994	9.80624	90	"AWI"	90	929	1588	1380	9	0	45	2	0	5	0	13	0	0	0	2	0	0	5	6	0	0	4	0	47	0	0	0	1	0	6	0	0	0	0	0	8	7	12	0	34	0	1	0	0	0	90	196	0	0	0	0	0	7	0	0	0	1	0	2	0	2	0	0	3	0	0	2	0	0
24783	43513	"Lej da Champfèr"	46.46994	9.80624	110	"AWI"	110	1171	1617	1463	8	0	69	2	0	9	0	27	0	0	0	0	0	0	2	5	0	1	5	0	15	0	0	0	0	0	24	0	1	0	0	0	8	5	12	0	137	0	0	0	0	3	151	213	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0
24783	43513	"Lej da Champfèr"	46.46994	9.80624	130	"AWI"	130	1373	1663	1542	7	0	114	1	0	1	0	18	0	3	0	0	0	0	1	5	0	0	16	0	32	0	0	0	0	0	20	0	0	0	0	0	10	12	5	0	79	0	0	0	0	4	117	180	0	0	0	0	0	50	0	0	0	1	0	0	0	0	0	0	1	0	4	1	0	0
24783	43513	"Lej da Champfèr"	46.46994	9.80624	150	"AWI"	150	1486	1764	1617	12	0	96	0	0	2	0	18	0	1	0	0	0	0	3	7	0	0	13	0	21	6	0	0	0	0	20	0	0	0	1	0	11	9	0	0	94	0	1	0	0	0	120	175	0	0	0	0	0	57	0	0	0	2	0	0	0	0	0	1	1	0	0	0	0	0
24783	43513	"Lej da Champfèr"	46.46994	9.80624	170	"AWI"	170	1747	1991	1855	4	0	65	3	0	2	0	16	0	0	0	0	0	0	0	0	0	0	9	0	18	0	0	3	0	0	15	0	0	0	0	0	7	5	7	0	81	0	0	0	0	0	179	163	0	0	0	0	0	44	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
24783	43513	"Lej da Champfèr"	46.46994	9.80624	190	"AWI"	190	1970	2239	2134	17	3	105	2	0	4	0	24	0	1	0	0	0	0	4	0	0	0	14	0	21	19	0	0	0	0	15	0	0	0	0	0	10	1	2	0	71	0	0	0	0	0	131	158	1	0	0	0	0	53	0	0	0	0	0	0	0	0	0	1	3	0	4	4	0	0
24783	43513	"Lej da Champfèr"	46.46994	9.80624	210	"AWI"	210	2171	2520	2416	10	0	53	0	0	1	0	13	0	1	0	0	0	0	2	0	0	0	10	0	4	0	0	0	0	0	15	0	0	0	0	0	2	0	1	0	32	0	0	0	0	4	98	90	0	0	0	0	0	43	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0
24783	43513	"Lej da Champfèr"	46.46994	9.80624	230	"AWI"	230	2362	2818	2689	8	0	47	1	0	2	0	9	0	0	0	0	0	0	0	0	0	0	6	0	13	0	0	0	0	0	16	0	0	0	0	0	2	1	4	0	37	0	0	0	0	0	74	140	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0
24783	43513	"Lej da Champfèr"	46.46994	9.80624	250	"AWI"	250	2557	2867	2776	14	1	92	1	0	8	0	25	0	0	1	0	0	0	2	0	0	0	12	0	25	0	0	5	0	0	19	0	0	0	0	0	7	2	7	0	37	0	1	0	0	3	135	203	0	0	0	0	0	32	0	0	0	1	13	0	0	0	0	0	1	1	2	1	0	0
24783	43513	"Lej da Champfèr"	46.46994	9.80624	270	"AWI"	270	2721	2993	2851	14	0	62	0	0	3	0	21	0	0	0	0	0	0	1	0	0	0	6	0	7	0	0	0	0	0	43	0	0	0	0	0	4	0	4	0	34	0	0	0	0	9	142	200	1	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	3	0	5	0	0	0
24783	43513	"Lej da Champfèr"	46.46994	9.80624	290	"AWI"	290	2817	3156	2940	9	2	116	4	0	6	0	33	0	0	0	0	0	0	0	0	0	0	14	0	15	0	0	3	0	0	24	0	0	0	0	0	0	0	8	0	41	0	0	0	0	3	178	222	0	0	0	0	0	36	0	0	0	1	0	2	0	0	0	0	0	1	0	0	0	0
24783	43513	"Lej da Champfèr"	46.46994	9.80624	310	"AWI"	310	2909	3388	3097	18	0	201	1	0	1	0	20	0	0	0	0	0	0	0	0	0	0	6	0	7	0	0	3	0	0	27	0	0	0	0	0	0	0	2	0	41	0	3	0	0	0	171	193	0	0	0	0	0	49	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
24783	43513	"Lej da Champfèr"	46.46994	9.80624	330	"AWI"	330	3060	4001	3327	28	1	139	0	0	2	0	12	0	1	0	0	0	0	1	0	0	0	4	0	4	0	0	0	0	0	16	0	0	0	0	0	8	0	3	0	28	0	0	0	0	7	248	169	0	0	0	0	0	29	0	0	0	1	0	1	0	0	0	0	0	1	4	0	0	0
24783	43513	"Lej da Champfèr"	46.46994	9.80624	350	"AWI"	350	3179	4672	3500	19	0	125	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	14	0	0	0	1	0	9	0	0	0	5	0	0	0	0	0	249	265	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0
24783	43513	"Lej da Champfèr"	46.46994	9.80624	370	"AWI"	370	3279	5388	3697	27	0	143	0	0	0	0	15	0	1	0	0	0	0	1	0	0	0	3	0	4	0	0	0	0	0	23	0	0	0	1	0	4	0	0	0	8	0	0	0	0	0	247	295	0	0	0	0	0	21	0	0	0	0	0	1	0	0	0	0	2	2	3	1	0	1
24783	43513	"Lej da Champfèr"	46.46994	9.80624	390	"AWI"	390	3876	6132	4307	15	0	65	0	0	3	0	9	0	0	0	0	0	0	0	0	0	0	6	0	5	0	0	7	0	0	3	0	0	0	0	0	0	0	1	0	6	0	0	0	0	0	188	382	0	0	0	0	0	21	0	0	0	0	0	2	0	0	0	0	0	2	2	1	0	0
24783	43513	"Lej da Champfèr"	46.46994	9.80624	410	"AWI"	410	5321	6903	5605	36	0	39	0	0	3	0	24	0	0	0	0	0	0	1	0	0	0	2	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	19	0	0	0	0	0	225	393	0	0	0	0	0	24	0	0	0	0	0	2	0	0	0	0	1	3	7	0	0	0
24783	43513	"Lej da Champfèr"	46.46994	9.80624	420	"AWI"	420	6035	7293	6258	10	0	5	0	0	1	0	6	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	147	301	0	0	0	0	0	9	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
24783	43513	"Lej da Champfèr"	46.46994	9.80624	430	"AWI"	430	6751	7692	6936	23	1	26	0	0	1	0	13	0	0	0	0	0	0	1	0	0	0	6	0	1	0	0	7	0	0	3	0	0	0	0	0	0	0	1	0	24	0	0	0	0	0	155	363	0	0	0	0	1	17	0	0	0	0	0	0	0	0	0	0	0	7	6	2	0	1
24783	43513	"Lej da Champfèr"	46.46994	9.80624	436	"AWI"	436	7178	7936	7348	33	0	28	3	0	0	0	19	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	329	380	0	0	0	0	0	46	0	0	0	0	0	4	0	0	0	0	1	3	3	0	0	0
24783	43513	"Lej da Champfèr"	46.46994	9.80624	440	"AWI"	440	7462	8099	7620	22	1	23	0	0	1	0	28	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	148	378	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	3	4	0	0	0
