"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Convolvulaceae"	"Corylus"	"Cyperaceae"	"Fabaceae"	"Fraxinus"	"Gentianaceae"	"Iridaceae"	"Lamiaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Salix"	"Tilia"	"Ulmus"
3449	4466	"Sudoble Lake"	54.03333	28.1	15	"AWI"	15	-63	642	149	0	101	4	1	2	1	167	10	0	0	32	3	1	0	0	0	0	4	29	214	26	0	12	17	3	0	1	2	1	8
3449	4466	"Sudoble Lake"	54.03333	28.1	30	"AWI"	30	63	1014	422	0	102	0	1	5	2	163	1	0	0	26	9	0	0	0	0	0	0	13	198	29	0	10	19	1	0	0	0	2	9
3449	4466	"Sudoble Lake"	54.03333	28.1	45	"AWI"	45	224	1338	700	1	68	0	1	5	1	118	3	1	0	25	3	0	0	0	0	0	1	25	223	22	0	10	11	2	0	0	0	5	5
3449	4466	"Sudoble Lake"	54.03333	28.1	65	"AWI"	65	505	1663	1057	1	110	0	0	2	0	146	4	0	0	22	3	0	0	0	0	0	6	14	162	16	0	9	20	2	0	1	0	3	4
3449	4466	"Sudoble Lake"	54.03333	28.1	85	"AWI"	85	824	1993	1433	0	91	1	0	2	5	129	7	0	0	15	0	0	0	0	0	0	3	13	129	6	0	7	22	0	0	1	0	4	4
3449	4466	"Sudoble Lake"	54.03333	28.1	105	"AWI"	105	1199	2289	1807	0	76	0	0	5	1	173	5	0	0	32	3	0	0	0	1	0	4	22	177	27	0	8	23	0	2	0	0	5	9
3449	4466	"Sudoble Lake"	54.03333	28.1	125	"AWI"	125	1716	2512	2140	0	102	0	1	4	2	150	10	0	0	33	4	0	0	0	0	0	2	17	156	16	0	8	31	0	0	0	0	7	7
3449	4466	"Sudoble Lake"	54.03333	28.1	145	"AWI"	145	2123	2788	2453	0	119	1	0	7	1	153	13	0	0	33	1	2	0	0	0	0	8	20	153	14	0	8	32	1	2	0	0	7	12
3449	4466	"Sudoble Lake"	54.03333	28.1	165	"AWI"	165	2323	3165	2716	0	108	1	0	4	1	124	4	0	0	36	0	2	0	0	0	0	3	15	128	7	0	5	29	0	1	0	0	7	11
3449	4466	"Sudoble Lake"	54.03333	28.1	190	"AWI"	190	2567	3550	3044	0	138	0	0	2	1	152	5	0	0	51	1	0	0	0	0	0	4	57	200	7	0	4	39	0	1	0	0	18	14
3449	4466	"Sudoble Lake"	54.03333	28.1	215	"AWI"	215	2862	3911	3385	0	122	3	0	8	0	153	7	0	0	53	2	1	0	0	0	0	6	25	157	13	0	9	27	0	0	0	0	11	6
3449	4466	"Sudoble Lake"	54.03333	28.1	245	"AWI"	245	3275	4236	3791	0	115	1	1	3	0	112	8	0	0	45	3	0	0	0	0	0	2	26	119	5	0	6	30	2	0	1	0	3	7
3449	4466	"Sudoble Lake"	54.03333	28.1	265	"AWI"	265	3563	4447	4062	1	143	3	0	5	0	112	14	0	0	50	0	0	0	0	0	0	4	22	147	10	0	7	27	1	0	0	0	8	20
3449	4466	"Sudoble Lake"	54.03333	28.1	290	"AWI"	290	4102	4726	4383	0	158	0	0	1	0	105	16	0	0	41	1	0	0	0	0	0	0	15	145	7	0	5	31	4	0	0	0	8	22
3449	4466	"Sudoble Lake"	54.03333	28.1	305	"AWI"	305	4290	4958	4599	1	146	1	1	1	1	102	8	0	0	40	0	0	0	0	0	0	1	19	121	8	0	4	34	1	0	0	0	7	25
3449	4466	"Sudoble Lake"	54.03333	28.1	315	"AWI"	315	4403	5152	4741	2	130	0	0	8	1	100	12	0	0	43	0	0	0	0	0	0	4	17	115	3	0	6	30	2	0	1	0	8	18
3449	4466	"Sudoble Lake"	54.03333	28.1	335	"AWI"	335	4637	5431	5040	0	128	0	0	6	0	101	8	0	0	51	5	0	1	0	0	0	0	14	110	5	0	6	41	1	2	1	0	8	33
3449	4466	"Sudoble Lake"	54.03333	28.1	365	"AWI"	365	5127	5744	5481	0	174	0	0	2	0	86	7	0	0	31	3	0	0	0	0	0	2	24	207	11	0	3	41	0	0	0	0	13	38
3449	4466	"Sudoble Lake"	54.03333	28.1	385	"AWI"	385	5529	5974	5745	0	142	0	0	5	0	101	12	0	0	44	5	0	0	0	0	0	0	15	162	7	0	8	35	1	0	0	0	8	36
3449	4466	"Sudoble Lake"	54.03333	28.1	400	"AWI"	400	5641	6265	5912	0	152	1	0	1	1	103	12	0	0	43	2	0	0	0	0	0	0	12	123	12	0	7	42	2	0	1	0	15	46
3449	4466	"Sudoble Lake"	54.03333	28.1	410	"AWI"	410	5725	6409	6028	0	144	0	1	3	0	101	10	0	0	57	4	0	0	0	0	0	0	7	129	18	0	4	46	3	0	0	0	14	58
3449	4466	"Sudoble Lake"	54.03333	28.1	420	"AWI"	420	5807	6523	6134	0	103	0	0	2	0	83	9	0	0	37	5	0	0	0	0	0	0	7	135	18	0	8	38	3	0	0	0	14	49
3449	4466	"Sudoble Lake"	54.03333	28.1	430	"AWI"	430	5898	6657	6246	0	102	0	0	4	0	71	11	0	0	43	3	0	0	0	0	0	0	9	126	44	0	9	35	2	0	0	0	12	48
3449	4466	"Sudoble Lake"	54.03333	28.1	440	"AWI"	440	6000	6757	6368	0	106	0	0	2	0	60	10	0	0	38	5	0	0	0	0	0	0	10	122	13	0	7	35	1	0	0	0	16	56
3449	4466	"Sudoble Lake"	54.03333	28.1	455	"AWI"	455	6156	6924	6543	0	106	3	0	3	0	73	8	0	0	50	6	1	0	0	0	0	0	4	140	22	0	8	33	1	0	0	0	10	56
3449	4466	"Sudoble Lake"	54.03333	28.1	470	"AWI"	470	6380	7089	6709	0	100	1	1	4	1	60	10	0	0	27	7	1	0	0	0	0	0	6	183	21	0	9	28	2	0	0	0	18	67
3449	4466	"Sudoble Lake"	54.03333	28.1	495	"AWI"	495	6778	7653	7130	0	101	0	0	4	0	70	12	0	0	48	3	0	0	0	0	0	0	3	166	19	0	7	26	3	0	0	0	10	63
3449	4466	"Sudoble Lake"	54.03333	28.1	505	"AWI"	505	6909	8162	7393	0	74	0	0	6	0	110	6	0	0	32	4	0	0	0	0	0	0	7	167	11	0	7	17	3	0	0	0	22	28
3449	4466	"Sudoble Lake"	54.03333	28.1	520	"AWI"	520	7177	8576	7814	0	46	2	0	2	0	108	3	0	0	14	1	1	0	0	0	0	0	4	126	11	0	1	14	1	0	0	0	7	17
3449	4466	"Sudoble Lake"	54.03333	28.1	535	"AWI"	535	7512	8930	8241	0	25	1	0	5	0	140	6	0	0	23	2	0	0	0	0	0	0	2	156	11	0	2	9	1	0	1	0	8	19
3449	4466	"Sudoble Lake"	54.03333	28.1	545	"AWI"	545	7728	9166	8533	0	41	2	0	2	0	129	4	0	0	33	3	0	0	0	0	0	0	2	145	13	0	2	6	1	0	0	0	7	25
3449	4466	"Sudoble Lake"	54.03333	28.1	555	"AWI"	555	8070	9286	8808	0	12	2	0	7	0	136	4	0	0	17	5	0	0	0	0	0	0	2	152	13	0	5	2	1	0	1	0	9	18
3449	4466	"Sudoble Lake"	54.03333	28.1	570	"AWI"	570	8720	9463	9199	0	14	1	1	3	0	137	5	0	0	13	3	0	0	0	0	0	0	2	154	15	0	2	4	1	0	0	0	6	16
3449	4466	"Sudoble Lake"	54.03333	28.1	585	"AWI"	585	9050	9690	9478	0	4	3	0	8	0	152	4	0	0	12	5	0	0	0	0	0	0	3	170	9	0	2	0	0	0	0	0	0	10
3449	4466	"Sudoble Lake"	54.03333	28.1	600	"AWI"	600	9187	9939	9619	0	2	1	1	4	0	192	3	0	0	7	3	0	0	0	0	0	0	3	211	16	0	2	3	1	0	0	0	1	10
3449	4466	"Sudoble Lake"	54.03333	28.1	615	"AWI"	615	9328	10150	9760	0	1	0	0	9	1	227	3	0	0	2	7	0	0	0	0	0	0	2	231	15	0	2	0	2	0	0	0	0	8
3449	4466	"Sudoble Lake"	54.03333	28.1	635	"AWI"	635	9538	10414	9953	0	0	3	0	4	0	216	0	0	0	3	5	0	0	0	0	0	0	0	200	16	0	4	0	2	0	0	0	0	6
3449	4466	"Sudoble Lake"	54.03333	28.1	650	"AWI"	650	9715	10613	10101	0	0	1	1	4	0	221	3	0	0	0	2	2	0	0	0	0	0	0	162	19	0	4	0	1	0	0	0	1	2
