"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Fabaceae"	"Juniperus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Thalictrum"	"Ulmus"	"Urticaceae"	"Violaceae"
3171	4127	"Borkovická blata"	49.232262	14.621568	0	"AWI"	0	9228	10353	9854	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	340	0	1	0	0	0	0	0	0	0	60	0
3171	4127	"Borkovická blata"	49.232262	14.621568	10	"AWI"	10	9604	10616	10157	2	0	0	0	0	26	0	0	0	0	0	2	0	0	0	2	258	0	36	0	0	0	0	0	0	3	0	0
3171	4127	"Borkovická blata"	49.232262	14.621568	20	"AWI"	20	9959	10859	10455	0	0	0	0	0	15	0	0	0	0	1	2	0	0	1	1	338	0	22	0	0	0	0	23	0	0	0	0
3171	4127	"Borkovická blata"	49.232262	14.621568	30	"AWI"	30	10330	11086	10753	1	0	0	0	0	9	0	0	0	0	0	5	0	0	1	0	290	0	9	0	0	0	0	12	0	0	0	0
3171	4127	"Borkovická blata"	49.232262	14.621568	40	"AWI"	40	10743	11310	11079	0	0	0	0	0	8	0	0	0	0	1	8	0	0	0	1	395	0	15	0	0	0	0	5	0	1	0	0
3171	4127	"Borkovická blata"	49.232262	14.621568	50	"AWI"	50	10987	11704	11352	0	0	0	0	0	1	0	0	0	0	0	12	0	0	0	1	171	0	1	0	0	0	0	1	0	0	0	0
3171	4127	"Borkovická blata"	49.232262	14.621568	60	"AWI"	60	11260	12033	11647	0	0	0	1	0	55	0	0	0	0	0	39	0	0	1	0	275	2	96	0	0	5	0	27	0	0	0	0
3171	4127	"Borkovická blata"	49.232262	14.621568	70	"AWI"	70	11535	12349	11948	0	0	0	0	0	63	0	1	0	0	0	45	0	0	1	0	342	0	4	0	0	15	0	17	0	1	0	0
3171	4127	"Borkovická blata"	49.232262	14.621568	80	"AWI"	80	11834	12657	12246	3	0	0	0	0	16	0	0	0	0	0	41	0	0	0	1	235	0	4	0	2	0	0	4	0	0	0	0
3171	4127	"Borkovická blata"	49.232262	14.621568	90	"AWI"	90	12139	12943	12550	1	0	0	0	0	23	0	0	0	0	0	77	0	0	1	1	341	0	2	0	0	1	0	1	0	0	0	0
3171	4127	"Borkovická blata"	49.232262	14.621568	100	"AWI"	100	12467	13233	12854	0	0	0	0	0	10	0	0	1	0	0	108	0	0	2	1	197	0	14	0	0	2	0	2	1	0	0	0
3171	4127	"Borkovická blata"	49.232262	14.621568	110	"AWI"	110	12807	13498	13156	1	0	0	1	0	13	0	0	1	0	0	145	0	1	3	0	385	0	12	0	0	5	0	21	2	0	1	0
3171	4127	"Borkovická blata"	49.232262	14.621568	120	"AWI"	120	13180	13758	13449	0	0	1	0	0	20	0	0	0	0	0	76	0	1	3	0	293	0	13	1	0	1	0	14	1	0	0	0
3171	4127	"Borkovická blata"	49.232262	14.621568	125	"AWI"	125	13286	13971	13593	0	0	0	1	0	42	1	0	1	0	0	66	0	0	2	3	333	0	16	0	5	8	0	13	1	0	0	1
3171	4127	"Borkovická blata"	49.232262	14.621568	130	"AWI"	130	13405	14158	13742	1	0	0	1	0	62	1	0	1	0	0	77	0	0	3	0	422	0	23	0	0	4	1	4	0	0	0	0
3171	4127	"Borkovická blata"	49.232262	14.621568	135	"AWI"	135	13518	14346	13888	0	0	0	2	0	41	0	0	0	0	0	80	1	0	8	0	245	0	12	0	0	3	0	18	1	0	0	0
3171	4127	"Borkovická blata"	49.232262	14.621568	140	"AWI"	140	13644	14534	14040	0	1	1	1	0	20	0	0	0	0	0	116	0	1	5	0	202	0	27	0	0	1	0	11	1	0	0	0
3171	4127	"Borkovická blata"	49.232262	14.621568	145	"AWI"	145	13764	14718	14193	0	1	2	3	0	44	0	0	1	0	0	108	0	0	2	0	271	0	43	0	0	7	0	18	2	0	0	0
3171	4127	"Borkovická blata"	49.232262	14.621568	150	"AWI"	150	13889	14899	14346	0	0	0	2	0	40	2	0	0	0	0	40	0	0	2	0	177	0	3	0	0	6	0	7	2	0	0	0
3171	4127	"Borkovická blata"	49.232262	14.621568	155	"AWI"	155	14011	15073	14497	0	0	2	1	0	34	1	0	0	1	0	63	0	0	3	0	187	0	9	1	0	4	0	7	0	0	0	0
3171	4127	"Borkovická blata"	49.232262	14.621568	160	"AWI"	160	14144	15262	14646	0	0	0	2	0	67	0	0	0	0	0	96	0	0	2	0	254	0	16	0	0	11	0	10	0	0	0	0
3171	4127	"Borkovická blata"	49.232262	14.621568	165	"AWI"	165	14270	15439	14798	0	1	1	0	0	33	0	0	0	0	0	73	0	0	5	0	162	0	13	1	0	3	0	9	1	0	0	0
3171	4127	"Borkovická blata"	49.232262	14.621568	170	"AWI"	170	14395	15611	14949	0	0	1	1	0	44	0	0	1	0	0	105	0	0	0	0	186	0	22	0	0	4	0	6	1	0	0	0
3171	4127	"Borkovická blata"	49.232262	14.621568	175	"AWI"	175	14525	15780	15102	0	0	1	1	0	20	0	0	0	0	0	83	0	0	0	0	184	0	9	0	0	4	1	4	3	0	0	0
3171	4127	"Borkovická blata"	49.232262	14.621568	180	"AWI"	180	14648	15951	15251	0	1	4	3	0	45	1	0	0	0	0	147	0	0	5	0	138	0	10	0	0	1	0	19	1	0	0	0
3171	4127	"Borkovická blata"	49.232262	14.621568	185	"AWI"	185	14775	16138	15400	0	0	1	1	0	45	1	0	2	0	0	161	0	0	7	0	0	0	14	0	0	3	0	7	1	0	0	0
