"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Corylus"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Ilex"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Olea"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
3361	4359	"Moulin de Prugnolas"	45.84972	1.64583	0	"AWI"	0	-147	18	-69	1	0	5	1	0	0	1	0	38	0	1	0	0	0	0	0	2	8	1	106	0	1	12	1	0	0	0	0	1	0	0	0	0	0	1	3	13	0	73	0	0	48	0	1	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0
3361	4359	"Moulin de Prugnolas"	45.84972	1.64583	5	"AWI"	5	-46	874	224	0	0	5	1	0	0	0	0	41	0	2	0	0	0	0	0	3	22	2	81	0	1	12	0	0	0	0	0	0	1	0	0	2	0	1	3	22	3	69	0	0	50	0	1	1	0	0	1	0	0	0	0	0	0	1	0	1	1	0
3361	4359	"Moulin de Prugnolas"	45.84972	1.64583	10	"AWI"	10	-2	1815	516	2	0	4	0	0	0	0	0	37	1	1	0	0	0	0	0	6	10	5	88	0	0	16	1	0	0	0	0	1	1	0	0	1	0	5	7	29	0	36	0	0	54	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0
3361	4359	"Moulin de Prugnolas"	45.84972	1.64583	15	"AWI"	15	166	2128	892	0	1	7	0	1	0	0	0	29	0	3	0	0	0	0	0	2	9	3	72	0	0	11	2	0	0	0	0	0	5	0	0	0	1	2	2	34	0	82	0	0	38	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0
3361	4359	"Moulin de Prugnolas"	45.84972	1.64583	20	"AWI"	20	263	2721	1232	2	0	2	1	0	0	1	0	47	1	1	1	0	0	0	0	0	15	2	47	0	0	11	0	0	0	0	0	0	0	0	0	1	0	2	6	37	9	131	0	0	28	0	2	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0
3361	4359	"Moulin de Prugnolas"	45.84972	1.64583	25	"AWI"	25	544	2971	1607	1	0	4	0	0	0	0	0	28	0	3	0	0	0	0	0	8	4	4	24	0	0	8	0	0	0	0	0	0	0	0	0	0	0	4	0	17	3	102	0	0	26	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0
3361	4359	"Moulin de Prugnolas"	45.84972	1.64583	30	"AWI"	30	698	3424	1960	1	0	6	0	1	0	0	0	27	0	0	0	1	2	0	0	1	15	7	54	0	0	10	3	0	0	0	0	1	2	0	0	0	0	3	0	23	6	104	0	1	18	0	1	0	0	0	2	0	0	0	0	1	0	0	2	0	0	0
3361	4359	"Moulin de Prugnolas"	45.84972	1.64583	40	"AWI"	40	1233	3996	2686	0	0	6	0	0	0	1	0	35	0	0	0	0	0	0	1	4	11	1	37	0	0	12	2	0	0	0	0	1	1	0	0	0	0	2	0	31	4	72	0	0	30	0	3	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0
3361	4359	"Moulin de Prugnolas"	45.84972	1.64583	45	"AWI"	45	1716	4206	3048	0	0	7	1	3	0	0	0	12	0	2	0	1	3	0	2	7	5	5	94	0	0	6	0	0	0	0	0	0	0	0	0	0	1	1	0	1	8	48	0	0	27	0	3	0	0	1	11	0	0	0	0	0	0	0	0	0	0	0
3361	4359	"Moulin de Prugnolas"	45.84972	1.64583	50	"AWI"	50	1942	4570	3422	0	0	18	0	0	0	1	0	15	0	0	0	0	0	0	0	0	8	1	111	0	1	14	0	0	0	0	0	0	0	0	0	1	0	0	0	4	4	66	0	0	13	0	1	0	0	0	7	0	0	0	0	1	0	0	0	0	0	0
3361	4359	"Moulin de Prugnolas"	45.84972	1.64583	55	"AWI"	55	2455	4691	3766	0	0	23	0	0	0	1	0	72	0	0	0	0	0	0	0	1	12	0	35	0	0	47	0	0	0	0	0	1	0	0	0	0	7	1	0	1	0	21	0	0	32	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
3361	4359	"Moulin de Prugnolas"	45.84972	1.64583	60	"AWI"	60	2757	4945	4150	1	0	23	0	0	0	1	0	19	0	0	0	0	0	0	0	0	35	0	33	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	16	0	0	22	0	1	0	0	0	2	0	0	0	0	0	0	4	1	0	0	0
3361	4359	"Moulin de Prugnolas"	45.84972	1.64583	65	"AWI"	65	3543	5039	4458	1	0	32	0	0	0	0	0	27	0	0	0	0	0	0	0	0	28	2	40	0	1	133	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	25	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
3361	4359	"Moulin de Prugnolas"	45.84972	1.64583	70	"AWI"	70	4014	5242	4826	0	0	53	0	0	0	0	0	35	0	0	0	0	0	0	0	0	64	0	16	0	0	55	4	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	73	0	1	0	0	0	1	0	0	0	0	0	0	7	0	0	0	0
3361	4359	"Moulin de Prugnolas"	45.84972	1.64583	75	"AWI"	75	4205	5342	4947	0	0	32	0	0	0	0	0	32	0	0	0	0	0	0	0	0	48	0	36	0	0	134	1	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	42	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	1
3361	4359	"Moulin de Prugnolas"	45.84972	1.64583	80	"AWI"	80	4342	5528	5060	0	0	50	0	1	0	0	0	32	0	0	0	0	0	0	0	0	50	9	20	0	0	44	0	0	0	1	0	0	0	0	0	0	1	0	0	11	0	0	0	0	98	0	0	0	0	0	0	1	0	0	0	0	0	10	0	0	0	0
3361	4359	"Moulin de Prugnolas"	45.84972	1.64583	90	"AWI"	90	4660	5768	5275	0	0	51	0	0	0	1	0	23	0	0	0	0	0	0	0	0	75	33	18	0	0	7	0	0	0	0	1	0	0	0	0	0	40	0	0	5	0	0	0	0	71	0	1	1	0	1	0	0	0	0	0	0	0	6	0	0	0	0
3361	4359	"Moulin de Prugnolas"	45.84972	1.64583	100	"AWI"	100	4962	5989	5490	0	1	55	1	0	0	0	0	25	0	0	0	0	0	0	0	0	66	1	20	0	0	14	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	115	0	0	0	0	0	1	1	0	0	0	0	0	11	0	0	0	0
3361	4359	"Moulin de Prugnolas"	45.84972	1.64583	110	"AWI"	110	5283	6175	5707	0	0	46	1	0	0	0	0	27	0	0	0	0	0	0	0	0	87	11	32	0	0	5	0	0	0	0	0	0	0	0	0	0	5	4	0	5	0	0	0	0	104	1	2	0	0	0	0	1	0	0	0	0	0	5	0	0	0	0
3361	4359	"Moulin de Prugnolas"	45.84972	1.64583	120	"AWI"	120	5615	6563	5988	3	0	37	0	0	0	0	0	25	0	0	0	0	0	0	0	0	80	4	26	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	22	0	0	74	0	2	0	0	0	0	1	0	0	0	0	0	9	1	0	0	0
3361	4359	"Moulin de Prugnolas"	45.84972	1.64583	130	"AWI"	130	5824	7428	6386	0	0	53	0	0	0	1	0	12	0	0	0	0	0	0	0	0	53	5	15	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	1	80	0	1	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0
3361	4359	"Moulin de Prugnolas"	45.84972	1.64583	135	"AWI"	135	5958	7691	6614	0	0	45	0	0	0	0	0	56	0	0	0	0	0	0	0	0	54	2	0	0	2	3	1	0	0	0	0	0	0	0	0	0	2	0	0	2	0	114	0	0	55	0	2	0	0	0	0	0	0	0	0	1	0	8	0	0	0	0
3361	4359	"Moulin de Prugnolas"	45.84972	1.64583	140	"AWI"	140	6047	8128	6837	0	0	43	0	0	0	0	0	64	0	0	0	0	0	0	0	0	21	9	0	0	5	0	2	0	0	0	0	0	0	0	0	0	28	0	0	2	0	54	0	0	74	0	2	2	0	0	0	1	0	0	0	0	0	6	1	0	0	1
3361	4359	"Moulin de Prugnolas"	45.84972	1.64583	150	"AWI"	150	6294	8738	7255	1	0	35	0	0	0	0	0	59	0	0	0	0	0	0	0	0	24	10	0	0	1	0	0	0	0	0	0	0	0	0	0	0	6	0	0	3	0	0	0	0	58	0	1	2	0	0	1	0	0	0	0	0	0	13	0	0	0	1
3361	4359	"Moulin de Prugnolas"	45.84972	1.64583	160	"AWI"	160	6583	9305	7688	1	0	45	0	1	0	0	0	65	0	1	0	0	0	0	0	1	16	41	0	0	0	0	2	0	0	0	0	0	0	0	0	0	6	0	0	1	0	0	0	1	38	0	2	0	0	0	0	0	0	0	0	0	0	6	1	0	0	0
3361	4359	"Moulin de Prugnolas"	45.84972	1.64583	165	"AWI"	165	6766	9534	7916	0	1	70	0	1	0	1	0	50	0	0	0	0	0	0	0	0	26	82	0	0	1	1	0	0	1	0	0	0	1	0	0	0	6	0	0	2	0	0	0	0	47	0	1	2	0	0	0	0	0	0	0	0	0	2	2	0	0	0
3361	4359	"Moulin de Prugnolas"	45.84972	1.64583	170	"AWI"	170	6895	9853	8136	0	0	112	0	0	0	0	0	93	0	0	0	0	0	0	0	0	16	22	0	0	2	0	0	0	0	0	0	0	0	0	0	0	11	0	0	2	0	0	0	0	52	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0
3361	4359	"Moulin de Prugnolas"	45.84972	1.64583	180	"AWI"	180	7210	10339	8582	0	0	189	0	0	0	1	0	26	0	0	0	0	0	0	1	0	16	30	0	0	0	0	1	0	0	0	0	0	0	0	0	0	6	0	0	2	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0
3361	4359	"Moulin de Prugnolas"	45.84972	1.64583	190	"AWI"	190	7566	10874	9037	0	0	90	0	1	1	0	0	56	0	0	0	0	0	0	0	0	25	1	2	0	1	0	2	0	0	0	0	0	0	1	1	0	4	1	0	2	0	0	0	0	34	0	0	2	0	0	0	1	0	1	0	0	0	2	2	0	0	0
3361	4359	"Moulin de Prugnolas"	45.84972	1.64583	200	"AWI"	200	7893	11386	9476	0	0	33	0	0	0	1	0	47	0	0	0	1	0	0	0	0	99	3	0	0	2	0	1	0	0	0	0	0	0	0	0	0	3	0	0	12	0	0	0	0	92	0	1	6	0	0	0	0	0	0	0	0	0	15	4	0	0	0
3361	4359	"Moulin de Prugnolas"	45.84972	1.64583	205	"AWI"	205	8126	11571	9704	0	0	19	0	2	0	0	0	32	0	0	0	0	0	0	0	0	73	2	2	0	1	1	1	0	0	0	0	0	0	0	0	0	14	0	0	4	0	0	0	0	49	0	1	19	0	1	0	0	1	0	0	0	0	4	6	0	0	0
3361	4359	"Moulin de Prugnolas"	45.84972	1.64583	210	"AWI"	210	8273	11826	9931	0	0	14	0	0	0	0	0	24	0	1	0	0	0	0	0	0	91	7	0	0	1	1	0	0	0	0	0	0	0	0	0	0	23	0	0	5	0	0	0	0	55	0	2	9	0	0	0	2	1	0	0	2	0	1	6	0	0	0
3361	4359	"Moulin de Prugnolas"	45.84972	1.64583	220	"AWI"	220	8618	12393	10363	0	0	0	0	1	0	1	0	36	0	0	0	0	0	0	0	0	131	2	0	0	1	0	0	0	0	0	0	0	0	0	2	0	14	0	0	2	0	0	0	0	74	0	4	3	0	0	1	3	0	0	0	1	0	0	3	0	0	0
3361	4359	"Moulin de Prugnolas"	45.84972	1.64583	230	"AWI"	230	8986	12882	10804	0	0	0	0	1	1	0	0	22	0	0	0	0	0	0	0	0	123	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	3	0	0	0	0	32	0	0	0	0	0	0	7	0	0	0	0	0	0	5	0	0	0
3361	4359	"Moulin de Prugnolas"	45.84972	1.64583	240	"AWI"	240	9364	13405	11255	0	0	0	0	3	0	2	0	29	0	1	0	0	0	0	0	0	140	12	0	0	1	0	0	0	0	0	0	0	0	0	0	0	30	0	0	8	0	0	0	0	67	0	5	0	0	1	2	20	0	0	0	0	0	0	7	0	0	0
3361	4359	"Moulin de Prugnolas"	45.84972	1.64583	245	"AWI"	245	9594	13605	11480	0	0	0	0	10	0	11	0	95	0	2	0	0	0	0	1	0	57	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	17	0	6	0	0	0	3	8	0	0	3	0	0	0	1	0	0	0
3361	4359	"Moulin de Prugnolas"	45.84972	1.64583	250	"AWI"	250	9764	13867	11700	0	0	1	2	2	0	18	0	17	0	2	0	0	0	0	14	0	7	20	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	10	0	0	0	1	3	0	5	0	0	0	7	3	0	0	0	1	1	0	0	0	0	0
3361	4359	"Moulin de Prugnolas"	45.84972	1.64583	255	"AWI"	255	9987	14059	11924	0	0	1	0	1	0	31	0	2	0	4	0	0	0	0	10	0	0	38	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	1	0	3	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
3361	4359	"Moulin de Prugnolas"	45.84972	1.64583	260	"AWI"	260	10126	14285	12143	0	0	0	2	2	0	18	0	31	0	2	0	0	0	0	8	0	7	34	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	5	0	6	0	0	0	9	3	0	0	1	0	1	0	0	0	0	0
