"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Geraniaceae"	"Hypericaceae"	"Juniperus"	"Lamiaceae"	"Linaceae"	"Lythraceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
3452	4469	"Svatoborice-Mistrín"	48.943358	17.068908	50	"AWI"	50	378	1282	796	5	0	33	16	2	0	36	0	4	0	0	0	0	0	0	0	0	0	284	0	0	0	2	1	0	0	0	0	0	0	0	0	0	12	65	0	0	0	0	20	0	0	0	2	2	0	0	1	3	0	0
3452	4469	"Svatoborice-Mistrín"	48.943358	17.068908	55	"AWI"	55	470	1341	887	6	1	23	2	2	0	31	0	6	0	0	0	0	0	0	0	0	0	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	79	0	0	0	0	16	0	0	0	0	3	0	0	2	2	0	0
3452	4469	"Svatoborice-Mistrín"	48.943358	17.068908	60	"AWI"	60	522	1431	976	13	0	55	14	4	0	56	0	10	0	0	2	0	0	0	0	0	5	244	0	0	1	2	0	0	0	0	0	0	0	0	0	0	17	167	0	0	0	0	27	0	0	0	0	3	0	0	2	2	2	0
3452	4469	"Svatoborice-Mistrín"	48.943358	17.068908	65	"AWI"	65	624	1504	1061	6	0	34	10	4	0	41	0	6	0	0	1	0	0	0	0	0	2	124	0	0	0	1	0	0	0	0	0	0	0	0	0	1	13	95	10	0	0	0	15	0	0	0	4	0	0	0	0	8	5	0
3452	4469	"Svatoborice-Mistrín"	48.943358	17.068908	70	"AWI"	70	693	1587	1143	17	0	37	14	3	0	42	0	9	0	0	1	0	0	0	0	0	2	145	0	0	5	0	1	2	0	0	0	0	0	0	0	1	9	133	0	0	0	0	28	0	0	0	0	3	0	0	1	2	4	0
3452	4469	"Svatoborice-Mistrín"	48.943358	17.068908	75	"AWI"	75	795	1640	1232	0	15	61	6	5	0	32	0	5	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	154	0	0	0	0	15	0	0	0	0	2	0	0	1	2	1	0
3452	4469	"Svatoborice-Mistrín"	48.943358	17.068908	80	"AWI"	80	864	1718	1318	31	1	74	8	2	0	39	0	9	0	0	0	0	0	0	0	0	1	95	0	0	1	2	0	0	0	0	0	0	0	0	0	2	12	172	0	0	0	0	12	0	0	0	1	2	0	0	1	0	0	0
3452	4469	"Svatoborice-Mistrín"	48.943358	17.068908	85	"AWI"	85	1007	1781	1404	35	0	124	19	3	0	44	0	14	0	0	0	0	0	0	0	0	0	133	0	0	9	0	0	0	0	0	0	0	0	0	0	1	11	224	0	0	0	0	39	0	0	0	0	2	0	0	0	1	0	0
3452	4469	"Svatoborice-Mistrín"	48.943358	17.068908	90	"AWI"	90	1103	1871	1493	7	0	63	5	4	0	34	0	6	0	0	0	0	0	0	0	0	3	47	0	0	3	2	0	0	0	0	0	0	0	0	0	0	10	70	0	0	0	0	13	0	0	0	0	4	0	0	0	2	1	0
3452	4469	"Svatoborice-Mistrín"	48.943358	17.068908	95	"AWI"	95	1254	1924	1573	15	0	55	10	1	0	36	0	6	0	0	0	0	0	0	0	0	0	62	0	0	0	1	0	2	0	0	0	0	0	0	0	0	3	89	0	0	0	0	1	0	0	0	0	2	0	0	0	1	1	0
3452	4469	"Svatoborice-Mistrín"	48.943358	17.068908	100	"AWI"	100	1351	2018	1657	10	0	118	3	0	0	49	0	10	0	0	0	0	0	0	0	0	2	55	0	0	2	0	0	0	0	0	0	0	0	0	0	1	19	120	0	0	0	0	7	0	0	0	0	6	0	0	0	4	3	0
3452	4469	"Svatoborice-Mistrín"	48.943358	17.068908	105	"AWI"	105	1564	2115	1772	17	0	184	1	3	0	45	0	10	0	0	0	0	0	0	0	0	4	36	0	0	3	0	1	0	0	0	0	0	0	0	0	6	22	170	0	0	0	0	7	0	0	0	0	7	0	0	0	6	3	0
3452	4469	"Svatoborice-Mistrín"	48.943358	17.068908	110	"AWI"	110	1639	2302	1886	12	1	347	3	2	0	49	0	8	0	0	0	0	0	0	0	0	4	44	0	0	5	0	1	0	0	0	0	0	0	0	0	2	22	236	0	0	0	0	9	0	0	0	0	7	1	0	0	5	2	0
3452	4469	"Svatoborice-Mistrín"	48.943358	17.068908	115	"AWI"	115	1767	2537	2093	26	0	246	3	5	0	37	0	12	0	0	0	0	0	0	1	0	9	26	0	0	1	0	0	0	0	0	0	0	0	0	0	0	35	202	0	0	0	0	12	0	0	0	0	6	0	0	0	3	1	0
3452	4469	"Svatoborice-Mistrín"	48.943358	17.068908	120	"AWI"	120	1840	2974	2292	4	0	157	4	0	0	31	0	9	0	0	0	0	0	0	0	0	2	43	0	0	1	2	0	0	0	0	0	0	0	0	0	0	13	92	0	0	0	0	6	0	0	1	0	7	0	0	0	6	0	0
3452	4469	"Svatoborice-Mistrín"	48.943358	17.068908	125	"AWI"	125	2009	3102	2506	11	0	290	1	1	0	30	0	17	0	0	1	0	0	0	0	0	7	36	0	0	6	0	0	0	0	0	0	0	0	0	0	0	41	151	9	0	0	0	23	0	0	4	0	3	0	0	0	5	7	0
3452	4469	"Svatoborice-Mistrín"	48.943358	17.068908	130	"AWI"	130	2103	3333	2715	20	1	225	6	0	0	42	0	4	0	0	3	0	0	0	0	0	4	36	0	0	0	2	0	1	0	0	0	0	0	0	0	0	30	125	0	0	0	1	10	0	0	22	0	10	0	0	0	6	5	0
3452	4469	"Svatoborice-Mistrín"	48.943358	17.068908	135	"AWI"	135	2364	3427	2949	22	2	236	16	2	0	51	0	17	0	10	0	0	0	0	0	0	2	115	0	0	2	0	2	0	0	0	0	0	0	0	0	3	29	143	0	0	0	3	37	0	0	0	2	6	0	1	1	8	6	0
3452	4469	"Svatoborice-Mistrín"	48.943358	17.068908	140	"AWI"	140	2523	3599	3184	15	0	300	4	5	0	83	0	1	0	0	0	0	0	1	0	0	1	178	0	0	0	0	3	0	0	1	0	0	0	0	0	1	30	170	0	0	0	0	73	0	0	5	0	4	0	0	0	4	0	0
3452	4469	"Svatoborice-Mistrín"	48.943358	17.068908	145	"AWI"	145	3011	3678	3372	32	0	183	5	4	0	78	0	1	0	0	1	0	0	0	0	0	1	133	0	0	0	1	9	0	0	0	0	0	0	0	1	0	33	181	0	0	0	0	51	0	0	5	2	1	0	0	0	0	0	0
3452	4469	"Svatoborice-Mistrín"	48.943358	17.068908	150	"AWI"	150	3366	3799	3569	26	1	100	39	4	0	113	0	6	0	0	3	0	0	0	1	0	3	172	0	0	5	4	11	0	0	0	0	0	1	0	0	6	30	127	0	0	0	0	131	0	0	1	2	9	0	0	0	12	3	0
