"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Arctostaphylos"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Colchicaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Geraniaceae"	"Ilex"	"Iridaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Liliaceae"	"Linaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygalaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
23520	40642	"Etang d'y Cor Montana"	46.31167	7.47917	0	"AWI"	0	-72	96	11	1.63934426229508	0	0	0	0	0	0	0	0	0	0.409836065573771	0	0	0	0	0	0	0	0.819672131147541	11.8852459016393	0	0	0	0	0	0.409836065573771	0	0	0	0.409836065573771	0.819672131147541	0	0	1.63934426229508	0.819672131147541	0	0	0	80.327868852459	0	0	0	0	0.409836065573771	0	0.409836065573771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23520	40642	"Etang d'y Cor Montana"	46.31167	7.47917	20	"AWI"	20	32	1003	402	0.673400673400673	0	0	0	0	0	0	0.673400673400673	0	0	1.34680134680135	0	0	0	0	0	0	0	0.336700336700337	17.8451178451178	0	0	0	0	0	0.336700336700337	0	0	0	0	2.69360269360269	0	0	1.68350168350168	1.68350168350168	0	0	0	70.7070707070707	0	0	0	0	0	0	2.02020202020202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23520	40642	"Etang d'y Cor Montana"	46.31167	7.47917	30	"AWI"	30	84	1458	598	0.970873786407767	0	3.39805825242718	0	0	0	0	0.485436893203883	0	0	2.42718446601942	0	0	0	0	0	0	0	1.94174757281553	43.2038834951456	0	0	0	0	0	0.485436893203883	0.485436893203883	0	0	0	4.85436893203883	0	0	0.970873786407767	0	0	0	0	35.9223300970874	0	0	0	0	0.970873786407767	0	2.9126213592233	0.970873786407767	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23520	40642	"Etang d'y Cor Montana"	46.31167	7.47917	40	"AWI"	40	238	1562	823	5.15463917525773	0	0	0	0	0	0	3.09278350515464	0	0	0	0	0	0	0	0	0	0	1.03092783505155	38.1443298969072	0	0	0	0	1.03092783505155	1.03092783505155	0	0	0	0	2.06185567010309	0	0	1.03092783505155	0	0	0	0	40.2061855670103	0	0	0	0	5.15463917525773	0	1.03092783505155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.03092783505155
23520	40642	"Etang d'y Cor Montana"	46.31167	7.47917	50	"AWI"	50	335	1798	1074	2.33160621761658	0	3.62694300518135	0	0	0	0	1.55440414507772	0	0	0.518134715025907	0	0	0	0	0.259067357512953	0	0	0.77720207253886	65.0259067357513	0.518134715025907	0	0	0	0	1.03626943005181	0	0	0	0	0	0.259067357512953	0	0.259067357512953	0	0	0	0	21.7616580310881	0	0	0	0.259067357512953	0.259067357512953	0	1.29533678756477	0	0	0	0.259067357512953	0	0	0	0	0	0	0	0	0	0	0
23520	40642	"Etang d'y Cor Montana"	46.31167	7.47917	60	"AWI"	60	477	2091	1289	7.37704918032787	0	0	0	0	0	0	0	0	0	3.27868852459016	0	0	0	0	0	0	0	0	17.2131147540984	0	0	0	0	0	0.819672131147541	0	0	0	0	0.819672131147541	0	0	0.819672131147541	0	0	0	0	67.2131147540984	0	0	0	0	0	0	1.63934426229508	0	0	0	0	0	0	0	0	0	0	0	0	0.819672131147541	0	0
23520	40642	"Etang d'y Cor Montana"	46.31167	7.47917	70	"AWI"	70	846	2171	1535	3.9344262295082	0	2.95081967213115	0	0	0	0	2.29508196721311	0	0	1.9672131147541	0	0	0	0	0	0	0	1.31147540983607	49.8360655737705	0.983606557377049	0	0	0	0.327868852459016	0.983606557377049	0	0	0	0	0.655737704918033	0.655737704918033	0	2.62295081967213	0	0	0	0	28.1967213114754	0	0	0	0.327868852459016	0	0	1.9672131147541	0	0	0	0.655737704918033	0	0.327868852459016	0	0	0	0	0	0	0	0	0
23520	40642	"Etang d'y Cor Montana"	46.31167	7.47917	80	"AWI"	80	1076	2285	1792	3.6036036036036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.900900900900901	0	0	0	34.2342342342342	0	0	0	0	0	0	0	0	0	0	0	0	0	0.900900900900901	0	0	0	0	59.4594594594595	0	0	0	0	0	0	0.900900900900901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23520	40642	"Etang d'y Cor Montana"	46.31167	7.47917	90	"AWI"	90	1338	2433	2027	4.25531914893617	0	0.851063829787234	0.425531914893617	0	0	0	0	0	0	0.425531914893617	0	0	0	0	0	0	0	0	49.3617021276596	0	0	0	0	0	0	0	0	0	0	0	0.851063829787234	0	1.70212765957447	0	0	0	0	38.7234042553192	0	0	0	0	0	0	2.5531914893617	0	0	0	0.425531914893617	0	0.425531914893617	0	0	0	0	0	0	0	0	0
23520	40642	"Etang d'y Cor Montana"	46.31167	7.47917	100	"AWI"	100	1835	2515	2206	2.54545454545455	0	0	0.363636363636364	0	0	0	0.363636363636364	0	0	0	0	0.363636363636364	0	0	0	0	0	0.363636363636364	16	0	0	0	0	0.363636363636364	0.727272727272727	0	0	0	0	0.363636363636364	0	0	2.18181818181818	0	0	0	0	18.5454545454545	54.5454545454545	0	0	0	0	0	3.27272727272727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
