"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Lamiaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Tilia"	"Ulmus"	"Urticaceae"
3498	4523	"Vôhma Mire"	58.5205	25.42171	110	"AWI"	110	452	639	534	1	70	2	0	2	0	150	0	0	4	0	8	0	0	0	0	1	59	210	0	14	1	0	0	0	0	0	3	4	0
3498	4523	"Vôhma Mire"	58.5205	25.42171	120	"AWI"	120	553	944	702	0	84	1	0	3	0	156	0	1	8	0	0	0	0	0	0	1	63	218	0	11	5	0	0	0	0	0	2	3	0
3498	4523	"Vôhma Mire"	58.5205	25.42171	130	"AWI"	130	680	1125	883	0	86	2	1	1	0	202	0	0	7	0	0	0	0	0	0	0	69	286	0	4	1	1	0	0	0	0	4	3	0
3498	4523	"Vôhma Mire"	58.5205	25.42171	140	"AWI"	140	841	1266	1060	0	92	1	0	4	0	242	0	0	8	6	17	0	0	0	0	2	77	316	0	8	14	0	0	0	0	4	1	2	0
3498	4523	"Vôhma Mire"	58.5205	25.42171	150	"AWI"	150	998	1375	1252	0	54	0	0	1	0	162	0	0	9	2	3	0	0	0	0	2	41	135	0	4	8	0	0	0	0	0	2	5	0
3498	4523	"Vôhma Mire"	58.5205	25.42171	160	"AWI"	160	1101	1490	1335	0	93	0	0	0	0	107	0	0	12	0	5	0	1	1	0	0	45	115	0	0	8	0	0	0	0	3	1	2	0
3498	4523	"Vôhma Mire"	58.5205	25.42171	170	"AWI"	170	1198	1591	1413	0	86	0	0	6	0	146	0	0	19	3	11	1	0	0	0	2	74	144	0	0	13	0	0	0	0	0	2	1	0
3498	4523	"Vôhma Mire"	58.5205	25.42171	180	"AWI"	180	1306	1681	1488	0	68	0	0	0	0	194	0	0	8	2	15	0	0	1	0	0	74	262	1	6	12	0	0	0	0	0	4	3	0
3498	4523	"Vôhma Mire"	58.5205	25.42171	190	"AWI"	190	1421	1777	1569	0	63	0	0	3	0	118	2	0	13	3	15	0	0	0	0	0	50	218	1	0	11	0	0	0	0	1	2	3	0
3498	4523	"Vôhma Mire"	58.5205	25.42171	200	"AWI"	200	1544	1958	1743	0	91	0	0	0	0	173	0	0	15	1	10	0	0	0	0	2	99	222	0	0	5	0	0	0	0	0	1	5	0
3498	4523	"Vôhma Mire"	58.5205	25.42171	210	"AWI"	210	1684	2091	1894	0	95	0	0	2	0	149	0	0	11	6	4	0	0	0	0	1	69	133	0	0	3	0	0	0	0	2	0	1	0
3498	4523	"Vôhma Mire"	58.5205	25.42171	220	"AWI"	220	1846	2228	2048	0	118	0	0	2	0	125	0	0	12	1	11	0	0	1	0	1	68	135	0	0	7	0	0	0	0	2	2	5	0
3498	4523	"Vôhma Mire"	58.5205	25.42171	230	"AWI"	230	2039	2347	2196	0	97	0	0	1	0	186	0	0	16	4	7	0	0	3	0	1	24	142	0	0	5	1	0	0	0	0	1	6	0
3498	4523	"Vôhma Mire"	58.5205	25.42171	240	"AWI"	240	2143	2474	2299	0	101	1	1	2	0	165	0	0	16	5	6	0	0	2	0	3	50	145	0	0	4	0	0	0	0	2	2	3	0
